event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,11564,14322,2758,Total time spent analyzing index of patch parts
ArenaAllocBytes,90660864,135102464,44441600,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,22134,32984,10850,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,150,150,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,19801,21668,1867,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,179,190,11,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,59649,59649,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,158186624,235353523,77166899,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,10421244014915,15504981979273,5083737964358,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,17378,23829,6451,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,26270536529,43393480416,17122943887,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptionResumes,614368,970011,355643,Total number of CPU preemption resumed
ConcurrencyControlPreemptions,625028,985552,360524,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,17378,23829,6451,Total number of CPU slots acquired
ConcurrencyControlUpscales,17378,23829,6451,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,18236274777,33649324121,15413049344,Total time a query was waiting on resource requests for CPU slots.
ContextLock,1324564,2438108,1113544,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,56971,224470,167499,Context lock wait time in microseconds
CreatedReadBufferOrdinary,452530,685261,232731,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1253773120,1822816782,569043662,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,10,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,6562653,9574441,3011788,Number of dequeues invoked at all FairPolicyNodes
FileOpen,3612,4413,801,Number of files opened.
FilterTransformPassedBytes,309557768,840014854,530457086,Number of bytes that passed the filter in the query
FilterTransformPassedRows,7731,15643,7912,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,10220,16309,6089,Time spent filtering parts by PK.
FunctionExecute,54588854,80929662,26340808,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,1081,1086,5,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,10563024,16537306,5974282,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,54900,99811,44911,Counts the number of jobs that have been pushed to the global thread pool.
