event,value,description
RecomputeWeight,2118,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,9574441,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,1064,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,16313,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,16313,"Same as Query, but only for SELECT queries."
InitialQuery,16313,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,17139,Count queries with all subqueries
SelectQueriesWithSubqueries,17139,Count SELECT queries with all subqueries
QueryTimeMicroseconds,33770760416,Total time of all queries.
SelectQueryTimeMicroseconds,33770760416,Total time of SELECT queries.
FileOpen,4413,Number of files opened.
Seek,84856,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,668495,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,4917242454682,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,4754023204745,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,235353523,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,15504981979273,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,680975,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,4266,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,554749,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,1627792,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,238485866800,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,32984,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,135102464,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,80929662,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,684629,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,154,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,7396,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,7500,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,685261,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1822816782,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,150836,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,6259603,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,5098177,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,55713679,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1086,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,200665,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,604403,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,99811,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,16537306,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,82910,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,82862,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,7045118,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,2115972,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,98120,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,218742990951,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,16553364,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,14322,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,59649,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,1176,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,173930208606,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,695720834424,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,2197,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,591544,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,3593523,Total time spent executing query plan optimizations.
SelectedParts,7448,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,7448,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,7448,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,39042948,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,39042948,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,319220507191,Number of rows SELECTed from all tables.
SelectedBytes,15458330640760,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,319220163864,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,319220163864,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,37,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,19156,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,16309,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,3205517,Time spent loading marks
LoadedMarksFiles,154,Number of mark files loaded.
LoadedMarksCount,807433,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,3662208,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,131786,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,21668,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,190,Time spent resetting task for Common executor.
ContextLock,2438108,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,224470,Context lock wait time in microseconds
RWLockAcquiredReadLocks,17288,Number of times a read lock was acquired (in a heavy RWLock).
RWLockReadersWaitMilliseconds,41,Total time spent waiting for a read lock to be acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,16097,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,1,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,326,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,60863,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,157,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,72853,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,286188563620,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,93780016641,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,2716356827,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,326839683,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,6283747099,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,96492774867,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadChars,4919155381555,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,130496,"Number of bytes written to filesystem, including page cache, as well as network and other files."
ThreadPoolReaderPageCacheHit,39570490,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,4915630964943,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,1780554394,Time spent reading data from page cache in ThreadPoolReader.
SynchronousReadWaitMicroseconds,1821631929,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,90,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,16305,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,2372,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,4050,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,371,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,1709,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,150,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LoggerElapsedNanoseconds,1149228,Cumulative time spend in logging
InterfaceHTTPSendBytes,55713679,Number of bytes sent through HTTP interfaces
InterfaceHTTPReceiveBytes,5098177,Number of bytes received through HTTP interfaces
