timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
12587.43,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
14591.25,253952,62,24969,1644078558,0,0,0,0,39,39,5547,118,675,114257,13,2834,54,43,140034434,1352,1,0,53,53,17,14,182,675,0,0,0,2284669,30,531338610,0,675,223,2,1,14,14,294,1,535296816,484379476,2510223,37014381,37014381,1,2,1,1628632764,73389,73389,14,14,14,37014381,5,3,469527,116237,778429,4103,535296816,114257,1506346,1538
16595.01,253952,62,47803,3148756594,0,0,0,0,39,39,5547,122,675,199771,13,9251,54,43,140565338,1352,1,0,53,53,17,14,182,675,0,0,0,6207800,62,974144878,0,675,223,2,1,14,14,294,1,975174448,924290660,8356716,71206396,71206396,1,2,1,3133081424,73389,73389,14,14,14,71206396,5,3,470479,203825,876525,7459,975174448,199771,5331563,1538
18598.89,253952,62,70480,4643145478,0,0,0,0,39,39,5547,125,675,285761,13,15632,54,43,141361694,1352,1,0,53,53,17,14,182,675,0,0,0,10239302,101,1410398050,0,675,223,2,1,14,14,294,1,1411250992,1361146878,14448300,105160843,105177227,1,2,1,4627077092,73389,73389,14,14,14,105160843,5,3,476363,291880,995516,10786,1411250992,285761,9244246,1538
20602.43,253952,62,92742,6109806018,0,0,0,0,39,39,5547,129,675,374716,13,21923,54,43,141892598,1352,1,0,53,53,17,14,182,675,0,0,0,14290532,130,1838388228,0,675,223,2,1,14,14,294,1,1839987504,1789908914,20448439,138505208,138505208,1,2,1,6094229152,73389,73389,14,14,14,138505208,5,3,482923,383010,1100929,14057,1839987504,374716,13190232,1538
22606.07,253952,62,115360,7600328278,0,0,0,0,39,39,5547,132,675,466532,13,28256,54,43,142423502,1352,1,0,53,53,17,14,182,675,0,0,0,18370115,209,2273984119,0,675,223,2,1,14,14,294,1,2275539760,2225638812,26477389,172377735,172377735,1,2,1,7584620340,73389,73389,14,14,14,172377735,5,3,484241,476984,1224047,17380,2275539760,466532,17146871,1538
24609.73,253952,62,137618,9066992126,0,0,0,0,39,39,5547,136,675,556136,13,34547,54,43,142942340,1352,1,0,53,53,17,14,182,675,0,0,0,22396068,320,2701319188,0,675,223,2,1,14,14,294,1,2704014128,2654362384,51135129,205711749,205711749,1,2,1,9051316956,73389,73389,14,14,14,205711749,5,3,488388,568791,1318974,20649,2704014128,556136,21078072,1538
26613.55,253952,62,159150,10485221562,2,2000252,0,2,39,39,5547,140,675,642122,13,40637,54,43,143738696,1352,1,0,53,53,17,14,182,675,0,0,0,26593738,417,3117613739,0,675,223,2,1,14,14,294,1,3117255632,3068830108,74234340,237942002,237958386,1,2,1,10469448088,73389,73389,14,14,14,237942002,5,3,508318,657116,1457382,23805,3117255632,642122,25137501,1538
28617.90,253952,62,180802,11911905142,2,2000252,0,5,39,39,5547,143,675,731729,13,46706,54,43,144004148,1352,1,0,53,53,17,14,182,675,0,0,0,30838308,517,3533805454,0,675,223,2,1,14,14,294,1,3534195664,3485850966,96412709,270377055,270377055,1,2,1,11896590420,73389,73389,14,14,14,270377055,5,3,540276,748947,1611264,26986,3534195664,731729,29228362,1538
30622.32,253952,62,202420,13336360498,8,8001137,0,8,39,39,5547,147,675,815087,13,52823,54,43,144800504,1352,1,0,53,53,17,14,182,675,0,0,0,34999504,589,3950131242,0,675,223,2,1,14,14,294,1,3950742480,3902226487,166738739,302738380,302754764,1,2,1,13320488720,73389,73389,14,14,14,302738380,5,3,557221,834453,1757011,30164,3950742480,815087,33243982,1538
32626.12,253952,62,224688,14803679706,8,8001137,0,8,39,39,5547,150,675,895303,13,59060,54,43,145331408,1352,1,0,53,53,17,14,182,675,0,0,0,39055404,641,4379565117,0,675,223,2,1,14,14,294,1,4379216848,4331244714,172602116,336096970,336096970,1,2,1,14788266680,73389,73389,14,14,14,336096970,5,3,561640,916730,1872942,33433,4379216848,895303,37184126,1538
34630.26,253952,62,246769,16258743682,8,8001137,0,8,39,39,5547,154,675,968708,13,65305,54,43,145862312,1352,1,0,53,53,17,14,182,675,0,0,0,43170546,703,4805062991,0,675,223,2,1,14,14,294,1,4804414416,4756578797,178759352,369168840,369185224,1,2,1,16243428960,73389,73389,14,14,14,369168840,5,3,568248,992192,1979192,36677,4804414416,968708,41193188,1538
36633.60,253952,62,268995,17723310378,8,8001137,0,8,39,39,5547,158,675,1055308,13,71585,54,43,146393216,1352,1,0,53,53,17,14,182,675,0,0,0,47167232,738,5232527472,0,675,223,2,1,14,14,294,1,5232233424,5184688684,206228634,402437318,402453702,1,2,1,17707241992,73389,73389,14,14,14,402437318,5,3,576312,1080943,2104483,39941,5232233424,1055308,45064764,1538
38637.51,253952,62,291007,19173160934,8,8001137,0,8,39,39,5547,162,675,1132723,13,77805,54,43,146924120,1352,1,0,53,53,17,14,182,675,0,0,0,51310408,832,5656325560,0,675,223,2,1,14,14,294,1,5655206731,5608505545,214604908,435404851,435404851,1,2,1,19157813444,73389,73389,14,14,14,435404851,5,3,590358,1160502,2207578,43172,5655206731,1132723,49105023,1538
40641.57,253952,62,312161,20566748834,8,8001137,0,8,39,39,5547,166,675,1222199,13,83798,54,43,147720476,1352,1,0,53,53,17,14,182,675,0,0,0,55566979,912,6062377920,0,675,223,2,1,14,14,294,1,6061299049,6015722354,222890769,467078048,467094432,1,2,1,20551434112,73389,73389,14,14,14,467078048,5,3,622829,1252220,2392053,46277,6061299049,1222199,53177275,1538
42645.69,253952,62,333632,21981317012,10,10001313,0,18,39,39,5547,170,675,1312249,13,89873,54,43,148251380,1352,1,0,53,53,17,14,182,675,0,0,0,59710262,1069,6474848179,0,675,223,2,1,14,14,294,1,6475093353,6429224029,398215280,499236732,499236732,1,2,1,21966416208,73389,73389,14,14,14,499236732,5,3,655440,1344525,2543388,49434,6475093353,1312249,57169391,1538
44649.82,253952,62,354932,23384771388,18,18002042,0,18,39,39,5547,174,675,1403906,13,95944,54,43,149047736,1352,1,0,53,53,17,14,182,675,0,0,0,63877599,1216,6883251848,0,675,223,2,1,14,14,294,1,6884372490,6839519755,554062683,531120762,531137146,1,2,1,23369313528,73389,73389,14,14,14,531120762,5,3,695444,1438321,2718519,52563,6884372490,1403906,61161777,1538
46654.08,253952,62,376247,24788943352,18,18002042,0,18,39,39,5547,178,675,1487219,13,101977,54,43,149844092,1352,1,0,53,53,17,14,182,675,0,0,0,68017006,1710,7294721930,0,675,223,2,1,14,14,294,1,7294098243,7249885251,561689443,563047911,563064295,1,2,1,24774108084,73389,73389,14,14,14,563047911,5,3,725050,1523858,2865788,55695,7294098243,1487219,65154089,1538
48658.50,253952,62,396676,26133277640,18,18002042,0,18,39,39,5547,185,675,1571849,13,107923,54,43,151171352,1352,1,0,53,53,17,14,182,675,0,0,0,72128289,1782,7684051837,0,675,223,2,1,14,14,294,1,7683905389,7642752344,570089860,593600963,593617347,1,2,1,26118442372,73389,73389,14,14,14,593600963,5,3,769025,1610556,3070651,58690,7683905389,1571849,69060679,1538
49204.92,253952,62,400982,26415782060,29,18061979,11,29,39,39,5547,191,675,1590057,13,109422,61,43,158511825,1359,1,1034,60,60,17,53,204,675,279,1034,73,73323827,1818,7766946775,8,675,223,2,1,14,14,294,1,7763869224,7725268584,1172551482,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,5,3,781931,1629208,3120026,59330,7763869224,1590057,70206911,1538
