timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
162033.33,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
164038.24,0,0,21389,1408120352,0,0,0,0,1,1,4302,117,0,648,128113,10,1997,15,127,133912466,1298,1,0,14,15,19,13,220,648,0,0,0,1994875,24,463861354,0,648,420,2,1,14,14,380,1,464158916,415218363,1995624,31675800,31675800,1,2,1,1393014304,73389,73389,14,14,14,31659416,8,3,407919,130482,796590,3559,464158916,128113,1198377,1912
166048.42,253952,62,40322,2655561806,9,9842045,0,36,18,18,4302,120,0,675,255458,10,7130,32,239,140299886,1352,1,0,31,32,19,13,398,675,0,0,0,6712635,552263,828883473,0,675,436,2,1,14,14,380,1,831126320,780183200,25925224,59982529,59998913,1,2,1,2639231276,73389,73389,14,14,14,59982529,8,3,517609,260487,1189485,6360,831126320,255458,5523394,2011
168055.31,253952,62,59012,3887331398,14,17038995,0,94,18,18,4302,123,0,675,384571,10,12394,32,239,140830790,1352,1,0,31,32,19,13,398,675,0,0,0,11510983,748649,1188338392,0,675,436,2,1,14,14,380,1,1191050032,1140208579,39631776,87992187,87992187,1,2,1,3871656228,73389,73389,14,14,14,87992187,8,3,519604,392391,1343030,9106,1191050032,384571,10168394,2011
170067.03,253952,62,75365,4964881550,14,20202364,0,149,19,19,4302,126,0,675,513229,10,17018,32,239,141361694,1352,1,0,31,33,19,13,398,675,0,0,0,16007305,1313880,1503573162,0,675,436,2,1,14,14,380,1,1505622832,1455250931,48717145,112471537,112487921,1,2,1,4948747628,73389,73389,14,14,14,112471537,8,3,531584,523580,1528741,11506,1505622832,513229,14479146,2011
172071.91,253952,62,91311,6015493098,14,23342056,0,197,19,19,4302,129,0,675,621725,10,21531,32,239,141627146,1352,1,0,31,33,19,13,398,675,0,0,0,19935300,1663222,1811075707,0,675,436,2,1,14,14,380,1,1812724528,1762332016,56402266,136346838,136363222,1,2,1,5999260872,73389,73389,14,14,14,136346838,8,3,533341,634299,1657595,13849,1812724528,621725,18278426,2011
174081.62,253952,62,104688,6896946306,17,27863686,0,209,22,22,4302,131,0,675,683785,10,25289,32,239,142158050,1352,1,0,31,36,19,13,398,675,0,0,0,22746304,1857856,2070185325,0,675,436,2,1,14,14,380,1,2070018864,2020102197,65284825,156386568,156386568,1,2,1,6880288096,73389,73389,14,14,14,156370184,8,3,547604,697848,1749017,15812,2070018864,683785,20998118,2011
176086.43,253952,62,119980,7904697310,21,33642563,0,244,23,23,4302,133,0,675,764344,10,29568,32,239,142423502,1352,1,0,31,37,19,13,398,675,0,0,0,26115745,2247670,2365223420,0,675,436,2,1,14,14,380,1,2364275504,2314609470,75876648,179295213,179295213,1,2,1,7888989372,73389,73389,14,14,14,179295213,8,3,549215,780318,1847180,18057,2364275504,764344,24269519,2011
178094.71,253952,62,134197,8841466210,21,35285691,0,264,27,27,4302,136,0,675,839803,10,33622,32,239,142688954,1352,1,0,31,41,19,13,398,675,0,0,0,29250136,2833087,2636799231,0,675,436,2,1,14,14,380,1,2638215984,2588462472,82146268,200586160,200586160,1,2,1,8825791040,73389,73389,14,14,14,200586160,8,3,567284,857541,1973532,20147,2638215984,839803,27277685,2011
180104.12,253952,62,151757,9998383766,21,37814855,0,303,30,30,4302,138,0,675,951965,10,38517,32,239,143207792,1352,1,0,31,44,19,13,398,675,0,0,0,33595482,4262855,2970824177,0,675,436,2,1,14,14,380,1,2975889946,2926637085,94164554,226881975,226881975,1,2,1,9982086004,73389,73389,14,14,14,226865591,8,3,586530,972121,2168534,22724,2975889946,951965,31428189,2011
182113.31,253952,62,168864,11125554594,23,44103317,0,327,31,31,4302,141,0,675,1076101,10,43342,32,239,144004148,1352,1,0,31,45,19,13,398,675,0,0,0,38007865,5927790,3301738451,0,675,436,2,1,14,14,380,1,3304950736,3256012544,111215743,252485344,252501728,1,2,1,11109355136,73389,73389,14,14,14,252485344,8,3,607443,1098628,2392575,25237,3304950736,1076101,35616728,2011
