timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
195.89,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
2199.36,253952,62,46921,3090422938,0,0,0,0,60,60,7,121,675,330527,126,5,8987,75,546,140565338,1352,1,0,74,74,50,14,759,675,0,0,0,7255872,782,907462146,0,549,325,126,2,1,14,14,293,1,958004016,907186502,10320408,69875418,69891802,1,2,1,3074518392,73389,73389,14,14,14,69875418,5,3,436295,335768,2106029,7328,958004016,330527,5150161,2988
4202.86,253952,62,72475,4774420702,0,0,0,0,60,60,7,126,675,396920,126,5,16187,75,546,141361694,1352,1,0,74,74,50,14,759,675,0,0,0,11328622,1251,1399938612,0,549,325,126,2,1,14,14,293,1,1450048304,1399548164,16344217,108154797,108154797,1,2,1,4758811068,73389,73389,14,14,14,108154797,5,3,437208,403903,2182536,11082,1450048304,396920,9146580,2988
6205.79,253952,62,97568,6427675466,0,0,0,0,60,60,7,130,675,464934,126,5,23294,75,546,141892598,1352,1,0,74,74,50,14,759,675,0,0,0,15380832,1533,1881533766,0,549,325,126,2,1,14,14,293,1,1933179696,1882856561,22331549,145717598,145733982,1,2,1,6411574312,73389,73389,14,14,14,145717598,5,3,437332,473644,2276075,14768,1933179696,464934,13105418,2988
8209.09,253952,62,122514,8071296438,0,0,0,0,60,60,7,134,675,535090,126,5,30317,75,546,142423502,1352,1,0,74,74,50,14,759,675,0,0,0,19504568,1598,2363393371,0,549,325,126,2,1,14,14,293,1,2413165360,2363304653,28379784,183067407,183083791,1,2,1,8054965908,73389,73389,14,14,14,183067407,5,3,437785,545664,2367021,18430,2413165360,535090,17138383,2988
10212.52,253952,62,147004,9685298446,0,0,0,0,60,60,7,138,675,612353,126,5,37217,75,546,143207792,1352,1,0,74,74,50,14,759,675,0,0,0,23712649,1663,2834506643,0,549,325,126,2,1,14,14,293,1,2884762416,2835124149,43659249,219751505,219767889,1,2,1,9669066220,73389,73389,14,14,14,219751505,5,3,444493,625070,2477901,22028,2884762416,612353,21235754,2988
12216.45,253952,62,171920,11326628966,0,0,0,0,60,60,7,142,675,699184,126,5,44228,75,546,144004148,1352,1,0,74,74,50,14,759,675,0,0,0,27853637,1727,3312011387,0,549,325,126,2,1,14,14,293,1,3363277776,3314751824,49593988,257074579,257074579,1,2,1,11311281476,73389,73389,14,14,14,257074579,5,3,445086,713973,2586021,25682,3363277776,699184,25268800,2988
14220.16,253952,62,196610,12953472722,0,0,0,0,60,60,7,146,675,789778,126,5,51182,75,546,144535052,1352,1,0,74,74,50,14,759,675,0,0,0,32066008,1865,3787970779,0,549,325,126,2,1,14,14,293,1,3838544848,3790322096,55645041,294047556,294047556,1,2,1,12937371568,73389,73389,14,14,14,294031172,5,3,446481,806716,2682321,29308,3838544848,789778,29385045,2988
16224.21,253952,62,221256,14577698346,0,0,0,0,60,60,7,150,675,883226,126,5,58124,75,546,145331408,1352,1,0,74,74,50,14,759,675,0,0,0,36275607,1996,4263274273,0,549,325,126,2,1,14,14,293,1,4313025488,4265166372,61615771,330961030,330961030,1,2,1,14562285320,73389,73389,14,14,14,330961030,5,3,447156,902324,2794464,32928,4313025488,883226,33482671,2988
18227.99,253952,62,245913,16202379414,0,0,0,0,60,60,7,154,675,976775,126,5,65072,75,546,145862312,1352,1,0,74,74,50,14,759,675,0,0,0,40523058,2037,4736086959,0,549,325,126,2,1,14,14,293,1,4787637200,4740066176,67687270,367884855,367901239,1,2,1,16186933620,73389,73389,14,14,14,367884855,5,3,447713,998060,2909894,36549,4787637200,976775,37614854,2988
20231.99,253952,62,270426,17817623298,0,0,0,0,60,60,7,158,675,1076653,126,5,71975,75,546,146658668,1352,1,0,74,74,50,14,759,675,0,0,0,44811257,2310,5210997801,0,549,325,126,2,1,14,14,293,1,5259889616,5212268328,73722069,404579304,404595688,1,2,1,17801489376,73389,73389,14,14,14,404579304,5,3,448391,1100240,3036039,40152,5259889616,1076653,41777076,2988
22235.34,253952,62,294802,19423197314,0,0,0,0,60,60,7,162,675,1178240,126,5,78842,75,546,146924120,1352,1,0,74,74,50,14,759,675,0,0,0,49115795,2428,5677917213,0,549,325,126,2,1,14,14,293,1,5728213835,5681620678,90099726,441071112,441087496,1,2,1,19407128928,73389,73389,14,14,14,441071112,5,3,453237,1204186,3157222,43729,5728213835,1178240,45960602,2988
24238.97,253952,62,318795,21003638274,0,0,0,0,60,60,7,167,675,1268108,126,5,85661,75,546,147720476,1352,1,0,74,74,50,14,759,675,0,0,0,53267589,2500,6140666713,0,549,325,126,2,1,14,14,293,1,6189356393,6143509204,95869467,477014056,477014056,1,2,1,20988618464,73389,73389,14,14,14,477014056,5,3,455177,1296356,3255036,47254,6189356393,1268108,50014731,2988
26243.12,253952,62,342177,22544347024,0,0,0,0,60,60,7,172,675,1353063,126,5,92356,75,546,148782284,1352,1,0,74,74,50,14,759,675,0,0,0,57695279,2577,6589829735,0,549,325,126,2,1,14,14,293,1,6638743562,6593784818,132142709,512037337,512037337,1,2,1,22529642828,73389,73389,14,14,14,512037337,5,3,463820,1383696,3378364,50689,6638743562,1353063,54319262,2988
28247.73,253952,62,366148,24123644412,0,0,0,0,60,60,7,177,675,1438590,126,5,99166,75,546,149844092,1352,1,0,74,74,50,14,759,675,0,0,0,61980323,2635,7050187364,0,549,325,126,2,1,14,14,293,1,7099587395,7055432109,138157663,547928970,547928970,1,2,1,24108153784,73389,73389,14,14,14,547912586,5,3,465039,1471427,3491917,54211,7099587395,1438590,58490920,2988
30252.03,253952,62,389495,25661057680,0,0,0,0,60,60,7,183,675,1532987,126,5,105859,75,546,150640448,1352,1,0,74,74,50,14,759,675,0,0,0,66292776,2716,7498775434,0,549,325,126,2,1,14,14,293,1,7547348871,7504761707,151865434,582874649,582874649,1,2,1,25646484556,73389,73389,14,14,14,582874649,5,3,474352,1568164,3632979,57641,7547348871,1532987,62662491,2988
31381.42,253952,62,400982,26415782060,2,8952,2,2,60,60,7,191,675,1579223,126,5,109422,82,546,158511825,1359,1,1032,81,81,50,74,782,675,182,1032,95,69247442,76256,7766697048,8,549,325,126,2,1,14,14,293,1,7763869224,7725268584,1901670498,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,5,3,528839,1615629,3888434,59330,7763869224,1579223,65361681,2988
