timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
228267.10,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
230272.29,0,0,20420,1344085064,0,0,0,0,1,1,4523,117,0,621,124378,14,1907,11,106,128068016,1244,1,0,10,15,0,9,182,621,0,0,0,1976773,12037,441053298,0,621,426,2,1,14,14,404,1,443187396,396337217,1989639,30221942,30238326,1,2,1,1329765448,73389,73389,14,14,14,30221942,8,3,387361,126424,777908,3399,443187396,124378,1198953,1895
232281.66,253952,62,37730,2484896138,12,12791100,0,44,23,23,4523,120,0,675,257126,14,6422,33,150,140299886,1352,1,0,32,37,12,9,298,675,0,0,0,6168866,1034973,774450669,0,675,459,2,1,14,14,404,1,781318960,730290613,31118173,56114190,56114190,1,2,1,2469024360,73389,73389,14,14,14,56114190,8,3,518952,261649,1161682,5980,781318960,257126,5007390,2049
234290.46,253952,62,53577,3529285074,19,23600614,0,118,24,24,4523,122,0,675,384906,14,10862,33,150,140830790,1352,1,0,32,38,12,9,298,675,0,0,0,10753271,1719865,1082749559,0,675,459,2,1,14,14,404,1,1086454576,1035519374,47238361,79856260,79856260,1,2,1,3512954544,73389,73389,14,14,14,79839876,8,3,521336,392644,1311695,8308,1086454576,384906,9441942,2049
236296.65,253952,62,69588,4584421914,20,29957910,0,168,27,27,4523,125,0,675,527495,14,15389,33,150,141361694,1352,1,0,32,41,12,9,298,675,0,0,0,15303673,2792929,1390895119,0,675,459,2,1,14,14,404,1,1394342704,1343964120,62716650,103827706,103844090,1,2,1,4568419064,73389,73389,14,14,14,103827706,8,3,543477,537768,1534570,10657,1394342704,527495,13769597,2049
238301.67,253952,62,80782,5321482774,25,36569623,0,187,27,27,4523,127,0,675,580143,14,18549,33,150,141361694,1352,1,0,32,41,12,9,298,675,0,0,0,17849522,2883010,1608442963,0,675,459,2,1,14,14,404,1,1609694000,1559420155,73412118,120593239,120593239,1,2,1,5305381620,73389,73389,14,14,14,120576855,8,3,544063,591832,1584246,12300,1609694000,580143,16265862,2049
240309.53,253952,62,93094,6133140142,25,37984301,0,227,28,28,4523,129,0,675,648959,14,22019,33,150,141892598,1352,1,0,32,42,12,9,298,675,0,0,0,20695490,2905820,1846318915,0,675,459,2,1,14,14,404,1,1846803248,1796720486,77751879,139035529,139035529,1,2,1,6116842380,73389,73389,14,14,14,139019145,8,3,549900,662294,1688373,14109,1846803248,648959,19007821,2049
242315.85,253952,62,107108,7056605234,26,40408422,0,282,30,30,4523,131,0,675,769695,14,25949,33,150,142158050,1352,1,0,32,44,12,9,298,675,0,0,0,24664666,3446342,2113969487,0,675,459,2,1,14,14,404,1,2116942640,2066761865,84394801,160015180,160015180,1,2,1,7040667920,73389,73389,14,14,14,160015180,8,3,558975,785331,1853587,16170,2116942640,769695,22811917,2049
244322.43,253952,62,116667,7686249282,28,44160989,0,301,30,30,4523,133,0,675,825874,14,28667,33,150,142423502,1352,1,0,32,44,12,9,298,675,0,0,0,26989194,3469365,2301228755,0,675,459,2,1,14,14,404,1,2300705584,2250726358,91343883,174333464,174333464,1,2,1,7670672416,73389,73389,14,14,14,174333464,8,3,560858,842809,1921558,17572,2300705584,825874,25068567,2049
246331.40,253952,62,127041,8369836074,28,45647520,0,331,31,31,4523,134,0,675,892118,14,31553,33,150,142423502,1352,1,0,32,45,12,9,298,675,0,0,0,29488326,3529139,2500161353,0,675,459,2,1,14,14,404,1,2500328240,2450519643,95425770,189859846,189876230,1,2,1,8353833224,73389,73389,14,14,14,189859846,8,3,567207,910470,2006746,19095,2500328240,892118,27482460,2049
248339.77,253952,62,140313,9244408002,28,47948482,0,368,33,33,4523,137,0,675,1014302,14,35290,33,150,142942340,1352,1,0,32,47,12,9,298,675,0,0,0,33308142,4573484,2756532632,0,675,459,2,1,14,14,404,1,2755918640,2706240676,102344901,209743928,209743928,1,2,1,9228732832,73389,73389,14,14,14,209743928,8,3,579155,1034844,2168434,21045,2755918640,1014302,31140859,2049
250349.99,253952,62,153639,10121929050,28,52458497,0,410,34,34,4523,139,0,675,1131548,14,39078,33,150,143473244,1352,1,0,32,48,12,9,298,675,0,0,0,37262105,5940854,3011436024,0,675,459,2,1,14,14,404,1,3011611600,2962657717,114059802,229685354,229701738,1,2,1,10106155576,73389,73389,14,14,14,229685354,8,3,588653,1154337,2337046,22999,3011611600,1131548,34926350,2049
252358.44,253952,62,167531,11037664202,33,60049915,0,444,38,38,4523,141,0,675,1260646,14,42977,33,150,144004148,1352,1,0,32,52,12,9,298,675,0,0,0,41172210,7507494,3279343480,0,675,459,2,1,14,14,404,1,3278998480,3230279982,127539651,250507198,250507198,1,2,1,11021595816,73389,73389,14,14,14,250490814,8,3,606302,1285623,2519948,25039,3278998480,1260646,38653673,2049
254364.08,253952,62,181496,11957411258,33,63752008,0,490,39,39,4523,143,0,675,1364464,14,46894,33,150,144004148,1352,1,0,32,53,12,9,298,675,0,0,0,44982261,8471654,3545143579,0,675,459,2,1,14,14,404,1,3547827152,3499198103,137978793,271409247,271409247,1,2,1,11942006868,73389,73389,14,14,14,271409247,8,3,621793,1392410,2689035,27090,3547827152,1364464,42294760,2049
256374.21,253952,62,192910,12709927714,37,69540872,0,505,40,40,4523,145,0,675,1425940,14,50120,33,150,144535052,1352,1,0,32,54,12,9,298,675,0,0,0,47501293,8569938,3766363513,0,675,459,2,1,14,14,404,1,3767503824,3719132608,146606164,288502016,288518400,1,2,1,12694088704,73389,73389,14,14,14,288502016,8,3,626232,1455348,2777940,28766,3767503824,1425940,44724989,2049
258387.99,253952,62,208833,13759031934,37,71571533,0,543,43,43,4523,148,0,675,1545418,14,54629,33,150,145065956,1352,1,0,32,57,12,9,298,675,0,0,0,51646448,9873928,4073876184,0,675,459,2,1,14,14,404,1,4073819088,4025749288,155374601,312352741,312369125,1,2,1,13743520604,73389,73389,14,14,14,312352741,8,3,645954,1577189,2946513,31103,4073819088,1545418,48701719,2049
260395.95,253952,62,224556,14795028954,39,75790866,0,571,45,45,4523,150,0,675,1672495,14,59024,33,150,145331408,1352,1,0,32,59,12,9,298,675,0,0,0,55777311,11445119,4377461083,0,675,459,2,1,14,14,404,1,4376726480,4328710245,167042798,335900362,335900362,1,2,1,14778895032,73389,73389,14,14,14,335883978,8,3,662740,1706641,3129059,33414,4376726480,1672495,52650184,2049
262404.32,253952,62,240229,15827749174,42,80828264,0,612,47,47,4523,153,0,675,1791738,14,63464,33,150,145596860,1352,1,0,32,61,12,9,298,675,0,0,0,59932836,12884808,4679597765,0,675,459,2,1,14,14,404,1,4678454224,4630533708,179460058,359374255,359374255,1,2,1,15812467220,73389,73389,14,14,14,359374255,8,3,676690,1828157,3326581,35716,4678454224,1791738,56608329,2049
264412.43,253952,62,256366,16891143550,42,83910594,0,644,47,47,4523,155,0,675,1909914,14,67980,33,150,146127764,1352,1,0,32,61,12,9,298,675,0,0,0,64050759,14109410,4988830687,0,675,459,2,1,14,14,404,1,4988963792,4941436821,189117916,383525925,383542309,1,2,1,16875140700,73389,73389,14,14,14,383525925,8,3,685198,1948786,3509635,38085,4988963792,1909914,60543364,2049
266417.38,253952,62,269035,17725931818,45,88730687,0,677,47,47,4523,158,0,675,1983388,14,71595,33,150,146393216,1352,1,0,32,61,12,9,298,675,0,0,0,66970802,14466818,5234831602,0,675,459,2,1,14,14,404,1,5232888784,5185405513,197682065,402502854,402519238,1,2,1,17710125576,73389,73389,14,14,14,402502854,8,3,687379,2023848,3605901,39946,5232888784,1983388,63367247,2049
268425.10,253952,62,282993,18645461442,45,90556101,0,705,50,50,4523,160,0,675,2091400,14,75536,33,150,146658668,1352,1,0,32,64,12,9,298,675,0,0,0,70442519,15219166,5502475061,0,675,459,2,1,14,14,404,1,5501455312,5454238081,204299876,423410936,423410936,1,2,1,18629360288,73389,73389,14,14,14,423394552,8,3,690810,2133977,3746368,41995,5501455312,2091400,66698094,2049
270430.37,253952,62,297435,19596815410,45,93130622,0,749,51,51,4523,163,0,675,2205693,14,79670,33,150,147189572,1352,1,0,32,65,12,9,298,675,0,0,0,74248419,16227307,5778245060,0,675,459,2,1,14,14,404,1,5778938699,5732344912,211848023,445035596,445035596,1,2,1,19581566224,73389,73389,14,14,14,445035596,8,3,699119,2251641,3903345,44116,5778938699,2205693,70347663,2049
272437.85,253952,62,308110,20300128538,49,98977007,0,772,51,51,4523,164,0,675,2260074,14,82615,33,150,147455024,1352,1,0,32,65,12,9,298,675,0,0,0,76461521,16302442,5986610688,0,675,459,2,1,14,14,404,1,5984459595,5937915442,220829228,461020730,461020730,1,2,1,20284912120,73389,73389,14,14,14,461020730,8,3,701383,2307360,3954353,45684,5984459595,2260074,72509846,2049
