timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
237707.14,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
239712.38,0,0,20653,1359354952,0,0,0,0,1,1,9991,117,0,630,125419,16,1929,16,13,129839198,1262,1,0,15,15,17,14,67,630,0,0,0,1987740,562,445772066,0,630,419,2,1,14,14,376,0,1,448561348,400841218,1989219,30566006,30582390,1,2,1,0,1344904264,73389,73389,14,14,14,30566006,6,3,392420,127488,826179,3440,448561348,125419,1161655,1835
241721.70,253952,62,37585,2475127966,15,15007849,0,15,29,29,9991,120,0,675,271746,16,6383,44,73,140299886,1352,1,0,43,43,17,14,225,675,0,0,0,6387400,1543148,772745338,0,675,447,2,1,14,14,376,0,1,778173232,727404926,36984701,55895165,55895165,1,2,1,0,2458666364,73389,73389,14,14,14,55878781,6,3,517179,276241,1241327,5956,778173232,271746,5146087,1961
243727.02,253952,62,48683,3206693726,27,28029815,0,49,29,29,9991,122,0,675,329724,16,9519,44,73,140830790,1352,1,0,43,43,17,14,225,675,0,0,0,8970553,1812613,991474195,0,675,447,2,1,14,14,376,0,1,992082736,941228722,65690738,72523149,72523149,1,2,1,0,3190297660,73389,73389,14,14,14,72506765,6,3,522523,335584,1326827,7588,992082736,329724,7644059,1961
245732.52,253952,62,59571,3923966022,27,29902404,0,84,29,29,9991,123,0,675,387409,16,12543,44,73,140830790,1352,1,0,43,43,17,14,225,675,0,0,0,11382224,1816374,1200632287,0,675,447,2,1,14,14,376,0,1,1201666864,1150887379,69991184,88811387,88827771,1,2,1,0,3907701028,73389,73389,14,14,14,88811387,6,3,526610,394619,1401789,9187,1201666864,387409,9980858,1961
247745.71,253952,62,72453,4772978910,27,31829076,0,116,31,31,9991,125,0,675,494459,16,16177,44,73,141361694,1352,1,0,43,45,17,14,225,675,0,0,0,14941675,2330040,1448877054,0,675,447,2,1,14,14,376,0,1,1449524016,1399139008,75399548,108105645,108122029,1,2,1,0,4756648380,73389,73389,14,14,14,108105645,6,3,537963,503734,1546770,11078,1449524016,494459,13395457,1961
249762.55,253952,62,85953,5662493046,27,33953455,0,152,34,34,9991,128,0,675,618075,16,20016,44,73,141627146,1352,1,0,43,48,17,14,225,675,0,0,0,18694441,3423255,1704986669,0,675,447,2,1,14,14,376,0,1,1709177648,1659051922,83864508,128333791,128350175,1,2,1,0,5646686804,73389,73389,14,14,14,128333791,6,3,549516,629669,1714414,13059,1709177648,618075,16980705,1961
251776.23,253952,62,99574,6559937038,29,39991662,0,184,34,34,9991,130,0,675,753205,16,23854,44,73,141892598,1352,1,0,43,48,17,14,225,675,0,0,0,22745153,4743484,1971052848,0,675,447,2,1,14,14,376,0,1,1971845936,1921531817,95870048,148717585,148733969,1,2,1,0,6543573740,73389,73389,14,14,14,148717585,6,3,563553,767121,1890909,15063,1971845936,753205,20855040,1961
253783.49,253952,62,113885,7503131774,30,43554148,0,229,35,35,9991,132,0,675,878641,16,27856,44,73,142423502,1352,1,0,43,49,17,14,225,675,0,0,0,26961455,5726857,2245395729,0,675,447,2,1,14,14,376,0,1,2247097136,2197213565,105363538,170170213,170170213,1,2,1,0,7487489372,73389,73389,14,14,14,170170213,6,3,570268,894980,2042952,17163,2247097136,878641,24919441,1961
255788.74,253952,62,124153,8179506298,33,47848849,0,250,35,35,9991,134,0,675,928599,16,30762,44,73,142423502,1352,1,0,43,49,17,14,225,675,0,0,0,29273779,5730370,2444983094,0,675,447,2,1,14,14,376,0,1,2444884784,2394896151,112053794,185543106,185543106,1,2,1,0,8163175768,73389,73389,14,14,14,185526722,6,3,570526,946207,2101590,18672,2444884784,928599,27173233,1961
