timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
264809.87,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
266815.92,163840,40,22902,1507819290,0,0,0,0,25,25,4922,117,0,675,133378,18,2221,30,57,139768982,1352,1,0,29,39,17,4,3047,675,0,0,0,2038447,623,491519927,0,675,495,2,1,14,14,439,1,495616196,444506872,2073940,33916090,33932474,1,2,1,1492307960,73389,73389,14,14,14,33916090,8,3,173798,136005,478543,3799,495616196,133378,1559991,1985
268828.90,253952,62,37901,2496102794,21,23034738,0,58,25,25,4922,120,0,675,249368,18,6472,30,57,140299886,1352,1,0,29,39,17,4,3047,675,0,0,0,6365923,1189529,783252937,0,675,495,2,1,14,14,439,1,784595760,733543467,38153528,56359950,56376334,1,2,1,2479837800,73389,73389,14,14,14,56359950,8,3,251849,254438,828930,6005,784595760,249368,5537266,1985
270834.68,253952,62,51038,3361827362,23,26616454,0,105,26,26,4922,122,0,675,342269,18,10163,30,57,140830790,1352,1,0,29,40,17,4,3047,675,0,0,0,9865590,1643872,1037001609,0,675,495,2,1,14,14,439,1,1037302576,986604143,46155697,76047424,76047424,1,2,1,3346086656,73389,73389,14,14,14,76047424,8,3,254861,349525,946287,7933,1037302576,342269,8919703,1985
272840.78,253952,62,60533,3987542558,24,29377086,0,133,26,26,4922,124,0,675,387810,18,12861,30,57,141096242,1352,1,0,29,40,17,4,3047,675,0,0,0,12064316,1644043,1219928357,0,675,495,2,1,14,14,439,1,1220148016,1169482801,51119632,90273437,90273437,1,2,1,3971310332,73389,73389,14,14,14,90257053,8,3,258413,396415,1014269,9328,1220148016,387810,11050530,1985
274857.14,253952,62,72977,4807585226,24,32134445,0,174,28,28,4922,126,0,675,477864,18,16371,30,57,141361694,1352,1,0,29,42,17,4,3047,675,0,0,0,15244038,2225901,1459388625,0,675,495,2,1,14,14,439,1,1459616560,1409226156,56957640,108898110,108914494,1,2,1,4791516840,73389,73389,14,14,14,108898110,8,3,269762,488552,1140085,11155,1459616560,477864,14104564,1985
276871.35,253952,62,86278,5683792246,26,36999083,0,210,30,30,4922,128,0,675,587069,18,20110,30,57,141627146,1352,1,0,29,44,17,4,3047,675,0,0,0,19002581,3343323,1715241330,0,675,495,2,1,14,14,439,1,1715600176,1665348541,68164396,128825311,128825311,1,2,1,5667592788,73389,73389,14,14,14,128808927,8,3,282662,600147,1274167,13108,1715600176,587069,17729162,1985
278883.41,253952,62,100113,6595526394,26,39473460,0,244,30,30,4922,130,0,675,693866,18,23987,30,57,141892598,1352,1,0,29,44,17,4,3047,675,0,0,0,22738946,4348297,1980929854,0,675,495,2,1,14,14,439,1,1982069552,1931901311,75765840,149542818,149542818,1,2,1,6579883992,73389,73389,14,14,14,149542818,8,3,291546,709341,1412060,15141,1982069552,693866,21327773,1985
280891.49,253952,62,113751,7494349950,26,42925025,0,282,31,31,4922,132,6,675,807227,18,27818,30,57,142423502,1352,1,0,29,45,17,4,3047,675,0,0,0,26515968,5484666,2244517277,0,675,495,2,1,14,14,439,1,2244475696,2194648069,84561430,169957221,169973605,1,2,1,7478117724,73389,73389,14,14,14,169957221,8,3,305367,825138,1604845,17143,2244475696,807227,24912146,1985
282897.57,253952,62,123493,8135987086,29,47217607,0,304,31,31,4922,134,6,675,854179,18,30582,30,57,142423502,1352,1,0,29,45,17,4,3047,675,0,0,0,28841890,5545757,2432045951,0,675,495,2,1,14,14,439,1,2432039728,2382176410,91658173,184554033,184554033,1,2,1,8120377452,73389,73389,14,14,14,184554033,8,3,305387,873562,1670692,18574,2432039728,854179,27172312,1985
