timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
270643.00,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
272649.16,0,0,20355,1339825224,0,0,0,0,1,1,9438,117,621,124510,10,1901,11,14,128068016,1244,1,0,10,15,6,9,115,621,0,0,0,1989940,125,439611699,0,621,473,2,1,14,14,349,0,1,442138820,395093719,1990922,30123638,30140022,1,2,1,0,1325440072,73389,73389,14,14,14,30123638,5,3,386334,126703,870308,3391,442138820,124510,1119721,1966
274657.94,253952,62,34188,2251705818,15,19375757,0,52,20,20,9438,119,675,228285,10,5404,30,52,140299886,1352,1,0,29,34,7,9,209,675,0,0,0,5224040,414270,712063058,0,675,512,2,1,14,14,349,0,1,713161520,662022657,23339364,50814410,50814410,1,2,1,0,2235834040,73389,73389,14,14,14,50814410,5,3,480083,234487,1180586,5460,713161520,228285,4043662,2112
276668.50,253952,62,47878,3153671794,16,24242761,0,83,20,20,9438,122,675,342661,10,9312,30,52,140565338,1352,1,0,29,34,7,9,209,675,0,0,0,8897950,1510655,975503133,0,675,512,2,1,14,14,349,0,1,976747312,925714592,34292255,71304700,71321084,1,2,1,0,3137406800,73389,73389,14,14,14,71304700,5,3,484022,351105,1322205,7471,976747312,342661,7576068,2112
278677.64,253952,62,61390,4043972362,16,27191586,0,115,20,20,9438,124,675,457113,10,13097,30,52,141096242,1352,1,0,29,34,7,9,209,675,0,0,0,12637333,2447019,1236062108,0,675,512,2,1,14,14,349,0,1,1236400944,1185964037,40413434,91557422,91557422,1,2,1,0,4028526568,73389,73389,14,14,14,91557422,5,3,490022,467822,1459533,9452,1236400944,457113,11178251,2112
280695.38,253952,62,75418,4968354958,17,31377314,0,147,21,21,9438,126,675,580682,10,17035,30,52,141361694,1352,1,0,29,35,7,9,209,675,0,0,0,16459117,3375827,1505803476,0,675,512,2,1,14,14,349,0,1,1506671408,1456217373,53170329,112553457,112569841,1,2,1,0,4952352108,73389,73389,14,14,14,112553457,5,3,498220,593808,1603558,11514,1506671408,580682,14856136,2112
282700.88,253952,62,87147,5741008482,19,34821390,0,177,21,21,9438,128,675,643566,10,20340,30,52,141627146,1352,1,0,29,35,7,9,209,675,0,0,0,18972451,3492679,1731998950,0,675,512,2,1,14,14,349,0,1,1732377392,1682058630,59281565,130125680,130125680,1,2,1,0,5725529920,73389,73389,14,14,14,130125680,5,3,499437,658188,1675773,13236,1732377392,643566,17297348,2112
284709.74,253952,62,101565,6691215570,19,36831769,0,201,24,24,9438,130,675,748275,10,24383,30,52,141892598,1352,1,0,29,38,7,9,209,675,0,0,0,22515111,4012682,2009077392,0,675,512,2,1,14,14,349,0,1,2009594672,1959869544,64914531,151701188,151717572,1,2,1,0,6674852272,73389,73389,14,14,14,151701188,5,3,516484,765110,1833904,15351,2009594672,748275,20682001,2112
286721.53,253952,62,116501,7675370306,20,41703162,0,242,24,24,9438,133,675,872116,10,28622,30,52,142423502,1352,1,0,29,38,7,9,209,675,0,0,0,26577477,4944204,2296909151,0,675,512,2,1,14,14,349,0,1,2297559856,2247581899,75936285,174071320,174087704,1,2,1,0,7659138080,73389,73389,14,14,14,174071320,5,3,523920,895080,2008998,17548,2297559856,872116,24569400,2112
288731.63,253952,62,132516,8730503838,22,46136877,0,294,26,26,9438,135,675,985996,10,33103,30,52,142688954,1352,1,0,29,40,7,9,209,675,0,0,0,30696340,5924004,2602179376,0,675,512,2,1,14,14,349,0,1,2605710128,2556008777,85125934,198053117,198069501,1,2,1,0,8714337148,73389,73389,14,14,14,198053117,5,3,538788,1011427,2173879,19899,2605710128,985996,28523508,2112
