timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
451663.30,0,0,19991,1315970120,0,0,0,0,1,1,4099,117,603,122678,38,1866,6,0,124525652,1208,1,0,5,15,1,4,338,603,0,0,0,1978367,9505,432533183,0,603,480,2,1,14,14,412,1,433488068,388084176,1988876,29599350,29599350,1,2,1,1301650504,73389,73389,14,14,14,29582966,11,3,379961,124671,800405,3325,433488068,122678,1178047,1900
453668.50,253952,62,40751,2683942202,3,3000427,0,3,23,23,4099,120,675,237102,38,7247,28,40,140299886,1352,1,0,27,37,14,4,446,675,0,0,0,6348035,13704,838855933,0,675,527,2,1,14,14,412,1,839383856,788440538,13473042,60627538,60643922,1,2,1,2667611672,73389,73389,14,14,14,60627538,11,3,480530,241813,1122615,6423,839383856,237102,5225671,2098
455678.10,253952,62,57889,3813203566,17,19132168,0,61,23,23,4099,123,675,371806,38,12086,28,40,140830790,1352,1,0,27,37,14,4,446,675,0,0,0,10824703,458026,1167593242,0,675,527,2,1,14,14,412,1,1169029936,1118533519,77936106,86308953,86308953,1,2,1,3796873036,73389,73389,14,14,14,86292569,11,3,515049,379057,1399495,8938,1169029936,371806,9425598,2098
457684.79,253952,62,72878,4800831710,17,24095641,0,112,23,23,4099,126,675,520823,38,16344,28,40,141361694,1352,1,0,27,37,14,4,446,675,0,0,0,15395330,1425042,1453711529,0,675,527,2,1,14,14,412,1,1457650480,1407290102,88900895,108744621,108761005,1,2,1,4784763324,73389,73389,14,14,14,108744621,11,3,527686,530691,1603706,11140,1457650480,520823,13792135,2098
459692.79,253952,62,87861,5788066638,18,29228480,0,168,23,23,4099,128,675,668002,38,20540,28,40,141627146,1352,1,0,27,37,14,4,446,675,0,0,0,20011451,2191179,1745331879,0,675,527,2,1,14,14,412,1,1746008880,1695833025,100926423,131180289,131196673,1,2,1,5771932716,73389,73389,14,14,14,131180289,11,3,542633,680395,1797303,13340,1746008880,668002,18214772,2098
461701.17,253952,62,102496,6752495038,18,32941105,0,216,24,24,4099,130,675,813055,38,24638,28,40,141892598,1352,1,0,27,38,14,4,446,675,0,0,0,24440189,3151898,2026466049,0,675,527,2,1,14,14,412,1,2027944752,1977800611,110412435,153099861,153116245,1,2,1,6736393884,73389,73389,14,14,14,153099861,11,3,555806,827918,2000278,15491,2027944752,813055,22440644,2098
463706.49,253952,62,111972,7376965050,22,38177466,0,234,24,24,4099,132,675,869459,38,27330,28,40,142423502,1352,1,0,27,38,14,4,446,675,0,0,0,26763089,3165309,2211503859,0,675,527,2,1,14,14,412,1,2210659120,2160349228,118856961,167301298,167301298,1,2,1,7361257112,73389,73389,14,14,14,167301298,11,3,556638,885619,2060040,16885,2210659120,869459,24703882,2098
465714.48,253952,62,125740,8284042834,22,39990481,0,269,28,28,4099,134,675,990931,38,31215,28,40,142423502,1352,1,0,27,42,14,4,446,675,0,0,0,30710891,4035629,2474692416,0,675,527,2,1,14,14,412,1,2475162416,2425471666,126277364,187914468,187930852,1,2,1,8268236592,73389,73389,14,14,14,187914468,11,3,583537,1009298,2275401,18903,2475162416,990931,28436455,2098
467722.96,253952,62,139751,9207311318,22,45548016,0,325,29,29,4099,136,675,1123631,38,35129,28,40,142942340,1352,1,0,27,43,14,4,446,675,0,0,0,34756062,4884322,2743518542,0,675,527,2,1,14,14,412,1,2745039664,2695373367,134113834,208885927,208902311,1,2,1,9190980788,73389,73389,14,14,14,208885927,11,3,593088,1144400,2425556,20962,2745039664,1123631,32331606,2098
469728.88,253952,62,152262,10031744898,24,51367590,0,368,29,29,4099,138,675,1233840,38,38651,28,40,143207792,1352,1,0,27,43,14,4,446,675,0,0,0,38401236,5552113,2982218750,0,675,527,2,1,14,14,412,1,2985720346,2936372961,146676767,227641672,227641672,1,2,1,10016233568,73389,73389,14,14,14,227641672,11,3,605244,1256563,2581816,22799,2985720346,1233840,35820637,2098
