timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
47956.83,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
49960.76,253952,62,24738,1628674290,0,0,0,0,22,22,5516,118,0,675,121415,63,2771,37,12,140034434,1352,1,0,36,36,16,14,111,675,0,0,0,2293103,56,528063676,0,675,327,2,1,14,14,331,1,530840368,479866690,2653871,36664284,36664284,1,2,1,1612507600,73389,73389,14,14,14,36647900,4,3,372059,123806,708345,4069,530840368,121415,1584942,1736
51964.36,253952,62,46192,3042393808,0,0,0,0,22,22,5516,121,0,675,212567,63,8786,37,12,140565338,1352,1,0,36,36,16,14,111,675,0,0,0,6508847,188,941632588,0,675,327,2,1,14,14,331,1,944241456,893224901,10247182,68788041,68788041,1,2,1,3025952908,73389,73389,14,14,14,68771657,4,3,376307,217437,830887,7223,944241456,212567,5678320,1736
53968.26,253952,62,67394,4439839574,0,0,0,0,22,22,5516,125,0,675,300685,63,14789,37,12,141361694,1352,1,0,36,36,16,14,111,675,0,0,0,10776541,224,1348517080,0,675,327,2,1,14,14,331,1,1352268592,1301751652,21085875,100549191,100549191,1,2,1,4424164404,73389,73389,14,14,14,100549191,4,3,385565,307896,951054,10336,1352268592,300685,9826012,1736
55972.48,253952,62,89207,5876808998,0,0,0,0,22,22,5516,128,0,675,389644,63,20906,37,12,141627146,1352,1,0,36,36,16,14,111,675,0,0,0,14965241,318,1770344742,0,675,327,2,1,14,14,331,1,1771830064,1721744817,29324806,133207587,133223971,1,2,1,5861133828,73389,73389,14,14,14,133207587,4,3,391202,399137,1051655,13537,1771830064,389644,13914279,1736
57976.47,253952,62,110388,7272625122,0,0,0,0,22,22,5516,132,0,675,484167,63,26900,37,12,142423502,1352,1,0,36,36,16,14,111,675,0,0,0,19277178,443,2178540938,0,675,327,2,1,14,14,331,1,2179988272,2129843135,42054634,164929936,164929936,1,2,1,7256917184,73389,73389,14,14,14,164929936,4,3,411103,496126,1198880,16651,2179988272,484167,18079167,1736
59980.77,253952,62,131642,8672959922,0,0,0,0,22,22,5516,135,0,675,579644,63,32864,37,12,142688954,1352,1,0,36,36,16,14,111,675,0,0,0,23548817,514,2587127792,0,675,327,2,1,14,14,331,1,2588801840,2539103110,52327830,196752748,196769132,1,2,1,8657120912,73389,73389,14,14,14,196752748,4,3,417582,594151,1308763,19770,2588801840,579644,22241090,1736
61986.83,253952,62,152545,10049967214,0,0,0,0,22,22,5516,139,0,675,679220,63,38728,37,12,143207792,1352,1,0,36,36,16,14,111,675,0,0,0,27982010,581,2988724223,0,675,327,2,1,14,14,331,1,2990509008,2941674565,60579709,228057305,228057305,1,2,1,10034521420,73389,73389,14,14,14,228057305,4,3,426919,696416,1448216,22838,2990509008,679220,26534004,1736
63991.25,253952,62,173194,11410652734,0,0,0,0,22,22,5516,142,0,675,784307,63,44576,37,12,144004148,1352,1,0,36,36,16,14,111,675,0,0,0,32455968,611,3387635264,0,675,327,2,1,14,14,331,1,3387919312,3339312022,71273914,258970805,258987189,1,2,1,11394715420,73389,73389,14,14,14,258970805,4,3,435428,804076,1572094,25870,3387919312,784307,30885265,1736
65995.44,253952,62,194367,12805944570,0,0,0,0,22,22,5516,145,0,675,888995,63,50516,37,12,144535052,1352,1,0,36,36,16,14,111,675,0,0,0,36772213,720,3794782384,0,675,327,2,1,14,14,331,1,3795684304,3747224260,81883002,290693154,290693154,1,2,1,12789777880,73389,73389,14,14,14,290676770,4,3,442624,911348,1711619,28981,3795684304,888995,35062151,1736
