timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
498692.43,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,367,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0
500698.70,0,0,18165,1195505028,0,0,0,0,1,1,10892,117,549,133983,20,1696,16,13,113102204,1100,1,0,15,15,1,14,71,549,0,0,0,1991634,3512,392818996,0,549,478,2,1,14,14,367,1,393511108,352570949,1995863,26894275,26894275,1,2,1,1182627204,73389,73389,14,14,14,26877891,7,3,344015,136079,837380,3020,393511108,133983,1154340,1909
502713.86,253952,62,31914,2101615146,27,28542207,0,55,31,31,10892,119,675,248990,20,4798,46,69,140299886,1352,1,0,45,45,32,14,487,675,0,0,0,5039367,1132668,669063222,0,675,572,2,1,14,14,367,1,669252400,618158158,38284507,47398790,47415174,1,2,1,2085546760,73389,73389,14,14,14,47398790,7,3,477104,255105,1195764,5125,669252400,248990,3843798,2316
504728.91,253952,62,43133,2840845310,27,32410930,0,94,31,31,10892,121,675,369161,20,7954,46,69,140565338,1352,1,0,45,45,32,14,487,675,0,0,0,8332228,2487343,884376935,0,675,572,2,1,14,14,367,1,885127984,834300008,48121169,64209157,64209157,1,2,1,2824482012,73389,73389,14,14,14,64192773,7,3,481551,377286,1321291,6772,885127984,369161,7011230,2316
506742.69,253952,62,54051,3560349138,27,35637324,0,139,31,31,10892,123,675,471207,20,11043,46,69,140830790,1352,1,0,45,45,32,14,487,675,0,0,0,11469771,3843780,1094978396,0,675,572,2,1,14,14,367,1,1095367472,1044638972,56194691,80560772,80560772,1,2,1,3544673968,73389,73389,14,14,14,80560772,7,3,485858,481170,1439235,8376,1095367472,471207,10030937,2316
508748.95,253952,62,65433,4310527122,28,38215989,0,194,31,31,10892,124,675,580020,20,14199,46,69,141096242,1352,1,0,45,45,32,14,487,675,0,0,0,14611273,4570875,1313440849,0,675,572,2,1,14,14,367,1,1314257712,1263859340,62670733,97606548,97622932,1,2,1,4294688112,73389,73389,14,14,14,97606548,7,3,488722,591920,1560138,10047,1314388784,580051,13051643,2316
510759.90,253952,62,74950,4937418658,29,41124069,0,211,31,31,10892,126,675,627534,20,16940,46,69,141361694,1352,1,0,45,45,32,14,487,675,0,0,0,16684482,4589219,1497029271,0,675,572,2,1,14,14,367,1,1497627440,1447220209,67779759,111859296,111859296,1,2,1,4921809024,73389,73389,14,14,14,111859296,7,3,490142,640590,1614166,11445,1497627440,627534,15070922,2316
512771.81,253952,62,86345,5688183158,29,42586822,0,250,33,33,10892,128,675,740589,20,20127,46,69,141627146,1352,1,0,45,47,32,14,487,675,0,0,0,19841829,5646561,1716283247,0,675,572,2,1,14,14,367,1,1716648752,1666645035,73673567,128923615,128923615,1,2,1,5671918164,73389,73389,14,14,14,128907231,7,3,498726,755555,1752395,13116,1716648752,740589,18090141,2316
514784.67,253952,62,98130,6464772150,29,45545234,0,293,36,36,10892,130,675,853319,20,23445,46,69,141892598,1352,1,0,45,50,32,14,487,675,0,0,0,23093499,7017892,1941168832,0,675,572,2,1,14,14,367,1,1943796528,1893686770,81792232,146559215,146575599,1,2,1,6448605460,73389,73389,14,14,14,146559215,7,3,511893,870290,1900583,14849,1943796528,853319,21193725,2316
516800.10,253952,62,109871,7238743010,31,53360667,0,331,37,37,10892,132,675,964837,20,26787,46,69,142423502,1352,1,0,45,51,32,14,487,675,0,0,0,26360889,8381909,2169467236,0,675,572,2,1,14,14,367,1,2170157872,2119946830,94932005,164159888,164159888,1,2,1,7223035072,73389,73389,14,14,14,164159888,7,3,520865,983760,2024034,16576,2170157872,964837,24337764,2316
