timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
9026.64,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
11029.97,253952,62,25266,1663542750,0,0,0,0,36,36,5992,118,675,112404,16,2915,51,117,140034434,1352,1,0,50,50,12,14,251,675,0,0,0,2321316,29,539990423,0,675,220,2,1,14,14,289,1,541195056,490057998,2619318,37456749,37456749,1,2,1,1648096956,73389,73389,14,14,14,37456749,3,3,468971,114425,749173,4148,541195056,112404,1572246,1366
13033.48,253952,62,47983,3160553074,0,0,0,0,36,36,5992,122,675,194301,16,9332,51,117,140565338,1352,1,0,50,50,12,14,251,675,0,0,0,6248619,92,977681355,0,675,220,2,1,14,14,289,1,978582320,927667044,8601210,71468540,71484924,1,2,1,3144615760,73389,73389,14,14,14,71468540,3,3,470817,198232,870129,7485,978582320,194301,5378775,1366
15037.06,253952,62,70859,4667983622,0,0,0,0,36,36,5992,125,675,278978,16,15737,51,117,141361694,1352,1,0,50,50,12,14,251,675,0,0,0,10180468,177,1417866125,0,675,220,2,1,14,14,289,1,1418984240,1368435234,14498622,105734283,105750667,1,2,1,4652308452,73389,73389,14,14,14,105734283,3,3,473643,285025,968120,10845,1418984240,278978,9212819,1366
17040.61,253952,62,93517,6160861870,0,0,0,0,36,36,5992,129,675,362840,16,22136,51,117,141892598,1352,1,0,50,50,12,14,251,675,0,0,0,14195131,229,1853723584,0,675,220,2,1,14,14,289,1,1854929712,1804789369,20621625,139658121,139674505,1,2,1,6144957324,73389,73389,14,14,14,139658121,3,3,479853,370916,1072052,14171,1854929712,362840,13123722,1366
19044.34,253952,62,116010,7642926678,0,0,0,0,36,36,5992,133,675,450781,16,28490,51,117,142423502,1352,1,0,50,50,12,14,251,675,0,0,0,18196010,311,2286827556,0,675,220,2,1,14,14,289,1,2287991600,2238067388,26608770,173344391,173360775,1,2,1,7627153204,73389,73389,14,14,14,173344391,3,3,485424,460917,1175041,17476,2288122672,450812,17020785,1366
21047.90,253952,62,138576,9130041066,0,0,0,0,36,36,5992,136,675,541422,16,34808,51,117,142942340,1352,1,0,50,50,12,14,251,675,0,0,0,22234474,388,2720719498,0,675,220,2,1,14,14,289,1,2722364208,2672818206,52262982,207143190,207143190,1,2,1,9113579464,73389,73389,14,14,14,207126806,3,3,494351,553707,1304903,20789,2722364208,541422,20930574,1366
23051.68,253952,62,160540,10576847506,0,0,0,0,36,36,5992,140,675,630464,16,41015,51,117,143738696,1352,1,0,50,50,12,14,251,675,0,0,0,26382623,467,3145010404,0,675,220,2,1,14,14,289,1,3144256464,3095648535,60434462,240018452,240034836,1,2,1,10560811888,73389,73389,14,14,14,240018452,3,3,512853,644921,1451266,24011,3144256464,630464,24932541,1366
25055.64,253952,62,182293,12010150222,0,0,0,0,36,36,5992,143,675,717984,16,47114,51,117,144004148,1352,1,0,50,50,12,14,251,675,0,0,0,30558589,512,3563169682,0,675,220,2,1,14,14,289,1,3563031504,3514542645,68201689,272600961,272617345,1,2,1,11994442284,73389,73389,14,14,14,272600961,3,3,536428,734706,1595816,27206,3563031504,717984,28964122,1366
27059.21,253952,62,203579,13412847626,0,0,0,0,36,36,5992,147,675,806466,16,53138,51,117,144800504,1352,1,0,50,50,12,14,251,675,0,0,0,34746441,608,3972021721,0,675,220,2,1,14,14,289,1,3973024720,3924602432,82486648,304487150,304487150,1,2,1,13397434600,73389,73389,14,14,14,304487150,3,3,569930,825498,1761802,30334,3973024720,806466,32986155,1366
