timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
270959.35,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
272966.38,0,253952,62,4871,319925684,0,530619,0,26,2,2,10033,85,0,558,35376,0,7,1885,11,11,94853907,1118,1,0,4,459,5891262,5,23565048,10,16,8,117,558,0,0,2243691,11552,131741649,0,558,299,0,3,1,14,14,936,0,3,131644525,103433607,2786634,5975842,5975842,1,3,1,0,310743816,73389,73389,14,14,14,5975846,5,3,77836,36188,189932,1144,131644525,35376,2053853,1283
274975.68,2,253952,62,10975,722189638,0,1748213,0,77,3,3,10033,103,0,558,79644,0,7,4260,12,11,96458685,1118,1,0,4,459,13500910,5,53874208,11,17,8,1477,558,0,0,5569940,194206,259039019,0,558,299,0,3,1,14,14,936,0,3,258816119,230211295,7502832,13710361,13710361,1,3,1,0,712938804,73389,73389,14,14,14,13710365,5,3,84105,81624,270992,2151,258816119,79644,5299169,1283
276991.14,2,253952,62,17417,1146182450,0,3815592,0,125,3,3,10033,179,0,558,137904,0,7,6838,12,11,97954869,1118,1,0,4,459,21548759,5,86195036,11,17,8,1477,558,0,0,9245320,483777,399345671,0,558,299,0,3,1,14,14,936,0,3,398987598,363856462,13458757,21856639,21856639,1,3,1,0,1136545260,73389,73389,14,14,14,21856643,5,3,88312,141254,347801,3381,398987598,137904,8897881,1283
278999.43,2,253952,62,23995,1580089636,0,5558705,0,174,3,3,10033,200,14,558,187687,0,7,9402,12,11,99511383,1118,1,0,4,459,29767820,5,119071280,11,17,8,1477,558,0,0,12958567,794427,530950301,0,558,299,0,3,1,14,14,936,0,3,530452089,500268832,19268842,30209432,30209432,1,3,1,0,1570890496,73389,73389,14,14,14,30209436,5,3,92274,192316,429001,4431,530452089,187687,12530067,1283
281006.81,2,253952,62,30728,2023539536,0,7609970,0,208,3,3,10033,223,14,567,239548,0,7,12031,12,11,102579259,1136,1,0,4,459,38158988,5,152506860,11,17,8,1477,567,0,0,16753191,973940,670242038,0,567,307,0,3,1,14,14,936,0,3,669885791,639798370,25286978,38738575,38738575,1,3,1,0,2014405932,73389,73389,14,14,14,38738579,5,3,96721,245546,506911,5564,669885791,239548,16246915,1316
283013.22,2,253952,62,36044,2373232040,1,10426140,0,228,3,3,10033,281,14,567,269704,0,7,14143,12,11,103568671,1136,1,0,4,459,44757270,5,179029080,11,17,8,1477,567,0,0,18968228,975779,787910058,0,567,307,0,3,1,14,14,936,0,3,787192190,750232588,30318019,45447379,45447379,1,3,1,0,2363263740,73389,73389,14,14,14,45447383,5,3,99628,276498,547842,6562,787192190,269704,18421110,1316
285022.53,2,253952,62,43047,2834654178,1,11894007,0,261,4,4,10033,309,14,567,318006,0,7,16886,13,11,105390637,1136,1,0,4,459,53511649,5,214046596,12,18,8,1491,567,0,0,22835938,1118190,917157978,0,567,307,0,3,1,14,14,936,0,3,917218915,895450523,35781313,54326619,54326619,1,3,1,0,2824132252,73389,73389,14,14,14,54310239,5,3,108118,326030,629416,7618,917218915,318006,22207385,1316
287034.57,2,253952,62,50119,3300948214,1,13755566,0,295,4,4,10033,385,14,576,375401,0,7,19711,13,11,108111671,1154,1,0,4,459,62392341,5,249569364,12,18,8,1491,576,0,0,26901805,1276145,1072707444,0,576,314,0,3,1,14,14,936,0,3,1071840799,1041938877,41859409,63302004,63302004,1,3,1,0,3291704240,73389,73389,14,14,14,63302008,5,3,114229,384930,703132,8955,1071840799,375401,26199674,1344
289047.07,2,253952,62,57191,3766651016,1,15416447,0,344,4,4,10033,410,16,576,434965,0,7,22464,13,11,109089017,1154,1,0,4,459,71197464,5,284725132,12,18,8,1491,576,0,0,31052083,1500772,1225612136,0,576,314,0,3,1,14,14,936,0,3,1224733313,1188770604,47856907,72248939,72248939,1,3,1,0,3756944860,73389,73389,14,14,14,72248943,5,3,124860,445972,803067,10181,1224733313,434965,30250160,1344
