timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
490149.75,4,253952,62,4976,326782832,0,1948268,52,4,4,6640,94,0,558,64855,0,36,1931,19,61,94829775,1118,1,0,4,2676,6021120,8,24019768,18,18,14,4633,558,0,0,3178411,736803,141909156,0,558,611,0,3,1,14,14,3317,0,3,142041381,105517352,5861367,6106914,6123298,1,3,1,0,317559560,73389,73389,14,14,14,6106918,9,3,81439,66018,256801,1244,142041381,64855,2921742,1935
492165.07,5,253952,62,10176,669766044,1,4957327,101,4,4,6640,108,1,558,107755,0,36,3968,19,61,97025787,1118,1,0,4,2676,12531915,8,50063048,18,18,14,4633,558,0,0,6403321,1283961,240730947,0,558,611,0,3,1,14,14,3317,0,3,240872222,213465256,12633392,12710937,12710937,1,3,1,0,660968756,73389,73389,14,14,14,12710941,9,3,88062,109979,327477,2027,240872222,107755,6076103,1935
494177.51,6,253952,62,15491,1020587546,1,7452228,154,4,4,6640,130,1,558,165409,0,36,6046,19,61,99523449,1118,1,0,4,2676,19169545,8,76613480,18,18,14,4633,558,0,0,9629029,1845155,355412471,0,558,611,0,3,1,14,14,3317,0,3,355037053,324033495,18908269,19443873,19443873,1,3,1,0,1011081428,73389,73389,14,14,14,19443877,9,3,93462,168842,401039,2945,355037053,165409,9228373,1935
496185.30,7,253952,62,20845,1373337520,1,9889544,203,4,4,6640,191,2,558,211216,0,36,8184,19,61,101393679,1118,1,0,4,2676,25859586,8,103438344,18,18,14,4633,558,0,0,12773392,2384890,466946392,0,558,611,0,3,1,14,14,3317,0,3,466445926,435219353,25009936,26230279,26230279,1,3,1,0,1363974540,73389,73389,14,14,14,26230283,9,3,95770,215804,456537,3928,466445926,211216,12317362,1935
498191.07,7,253952,62,25780,1697735026,2,12558325,237,4,4,6640,208,2,558,243545,0,36,10104,19,61,102033177,1118,1,0,4,2676,31974400,8,127897600,18,18,14,4633,558,0,0,15150349,2461814,569107262,0,558,611,0,3,1,14,14,3317,0,3,569029439,537503965,30128090,32457914,32457914,1,3,1,0,1686959592,73389,73389,14,14,14,32441534,9,3,97756,249033,498562,4751,569029439,243545,14652394,1935
500197.14,14,253952,62,30780,2027249058,2,14238946,272,4,4,6640,259,3,567,275627,0,36,12096,19,61,104763205,1136,1,0,4,2676,38237774,8,152951096,18,18,14,4633,567,0,0,17504952,2501883,673034550,0,567,616,0,3,1,14,14,3317,0,3,672594923,640882706,34195825,38818336,38818336,1,3,1,0,2017701536,73389,73389,14,14,14,38801956,9,3,102168,282043,545621,5646,672594923,275627,16960038,1960
502205.31,14,253952,62,35936,2366105888,2,15790020,302,5,5,6640,274,3,567,310225,0,36,14104,19,61,105716419,1136,1,0,4,2676,44660634,8,178642536,18,19,14,4633,567,0,0,20100618,2931559,775956673,0,567,616,0,3,1,14,14,3317,0,3,775142348,747874670,38770688,45316307,45316307,1,3,1,0,2356447996,73389,73389,14,14,14,45316311,9,3,105766,317558,598504,6466,775142348,310225,19502931,1960
504215.65,14,253952,62,41465,2730023012,2,18094368,342,5,5,6640,319,3,567,368521,0,36,16281,19,61,106657567,1136,1,0,4,2676,51547664,8,206190656,18,19,14,4633,567,0,0,23249454,3638020,895138563,0,567,616,0,3,1,14,14,3317,0,3,894195788,862367720,44921922,52317864,52317864,1,3,1,0,2720528960,73389,73389,14,14,14,52317868,9,3,108741,377112,667673,7478,894195788,368521,22582734,1960
506230.97,14,253952,62,46963,3091908520,2,20317995,391,5,5,6640,354,4,567,424421,0,36,18445,19,61,107586649,1136,1,0,4,2676,58418753,8,233610500,18,19,14,4633,567,0,0,26388892,4272243,1005369878,0,567,616,0,3,1,14,14,3317,0,3,1004298592,976382293,50906855,59270269,59270269,1,3,1,0,3082054020,73389,73389,14,14,14,59270273,9,3,116409,434143,739374,8385,1004298592,424421,25650598,1960
508250.58,14,253952,62,52475,3455338964,2,22564587,441,5,5,6640,380,4,567,477223,0,36,20603,19,61,108226147,1136,1,0,4,2676,65301182,8,261140048,18,19,14,4633,567,0,0,29600672,4958973,1121994248,0,567,616,0,3,1,14,14,3317,0,3,1121054613,1090722415,57021724,66267508,66267508,1,3,1,0,3445910448,73389,73389,14,14,14,66267512,9,3,122754,488173,792421,9335,1121054613,477223,28809464,1960
510256.16,14,253952,62,57380,3778059974,3,24963744,466,5,5,6640,427,4,567,507543,0,36,22562,19,61,109481011,1136,1,0,4,2676,71447652,8,285790608,18,19,14,4633,567,0,0,31884608,5044883,1223620573,0,567,616,0,3,1,14,14,3317,0,3,1222582795,1192170446,61812104,72484792,72484792,1,3,1,0,3769209216,73389,73389,14,14,14,72484796,9,3,124377,519419,833291,10206,1222582795,507543,31052630,1960
512267.12,14,253952,62,62728,4130730448,3,26613533,506,6,6,6640,448,4,567,552676,0,36,24649,19,61,110735875,1136,1,0,4,2676,78105645,8,312422580,18,20,14,4633,567,0,0,34772486,5515734,1331356014,0,567,616,0,3,1,14,14,3317,0,3,1329934574,1303274442,66824538,79252655,79252655,1,3,1,0,4121138092,73389,73389,14,14,14,79252659,9,3,133684,565619,894037,11072,1329934574,552676,33879893,1960
514287.70,15,253952,62,68151,4488062736,4,28905910,567,6,6,6640,484,4,567,597852,0,36,26786,19,61,112026937,1136,1,0,4,2676,84892322,8,339569288,18,20,14,4633,567,0,0,38000902,6016918,1449338813,0,567,616,0,3,1,14,14,3317,0,3,1447920598,1415819036,72841483,86120981,86137365,1,3,1,0,4478291044,73389,73389,14,14,14,86120985,9,3,135638,612008,946623,12062,1447920598,597852,37055846,1960
516305.17,17,253952,62,73723,4856064838,4,30706558,625,7,7,6640,529,4,567,640540,0,36,28999,19,61,113595517,1136,1,0,4,2676,91867054,8,367468216,18,21,14,4633,567,0,0,41313216,6729588,1560734203,0,567,616,0,3,1,14,14,3317,0,3,1559314178,1531564788,78662743,93195822,93195822,1,3,1,0,4846182776,73389,73389,14,14,14,93195826,9,3,142132,655893,1024201,12994,1559314178,640540,40290727,1960
518322.92,17,253952,62,79336,5227321018,4,32815224,683,7,7,6640,555,4,567,688999,0,36,31211,19,61,115103767,1136,1,0,4,2676,98902753,8,395611012,18,21,14,4633,567,0,0,44637080,7394769,1680497046,0,567,616,0,3,1,14,14,3317,0,3,1678942669,1648513113,84751599,100348265,100348265,1,3,1,0,5218109812,73389,73389,14,14,14,100348269,9,3,150804,705627,1099298,13965,1678942669,688999,43539634,1960
520333.99,17,253952,62,85286,5619154580,4,34963976,734,7,7,6640,613,4,567,741363,0,36,33566,19,61,115103767,1136,1,0,4,2676,106321391,8,425221020,18,21,14,4633,567,0,0,48095339,7790825,1796447425,0,567,616,0,3,1,14,14,3317,0,3,1795027736,1772155215,90515436,107871951,107888335,1,3,1,0,5609341484,73389,73389,14,14,14,107871955,9,3,157276,759245,1153231,14967,1795027736,741363,46944093,1960
522339.31,17,253952,62,91058,5999950166,5,37773612,773,7,7,6640,634,4,567,782797,0,36,35834,19,61,115103767,1136,1,0,4,2676,113557122,8,454228488,18,21,14,4633,567,0,0,51064424,7897171,1923100264,0,567,616,0,3,1,14,14,3317,0,3,1921434577,1891892998,96637013,115194711,115194711,1,3,1,0,5990125004,73389,73389,14,14,14,115194715,9,3,159614,801826,1210085,15987,1921434577,782797,49856444,1960
524346.03,17,253952,62,96727,6373307782,5,38914437,798,7,7,6640,666,4,567,820346,0,36,38057,19,61,115103767,1136,1,0,4,2676,120635844,8,482478756,18,21,14,4633,567,0,0,53931369,7951223,2037833216,0,567,616,0,3,1,14,14,3317,0,3,2035930424,2009549686,100697954,122374333,122374333,1,3,1,0,6363465348,73389,73389,14,14,14,122374337,9,3,170998,840435,1276905,16928,2035930424,820346,52656672,1960
526356.29,17,253952,62,103226,6801120608,5,40316283,840,8,8,6640,718,4,567,879241,0,36,40625,19,61,115103767,1136,1,0,4,2676,128731966,8,514927864,18,22,14,4633,567,0,0,57697109,8250525,2172121682,0,567,616,0,3,1,14,14,3317,0,3,2170213068,2143911616,106148299,130618915,130618915,1,3,1,0,6791331644,73389,73389,14,14,14,130602535,9,3,172441,900711,1354798,18056,2170213068,879241,56344662,1960
528368.07,17,253952,62,110145,7256458554,5,42261272,881,8,8,6640,755,6,576,933958,0,36,43333,19,61,116602928,1154,1,0,4,2676,137336918,8,549347672,18,22,14,4633,576,0,0,61633320,8440669,2318366222,0,576,626,0,3,1,14,14,3317,0,3,2316557254,2287378723,112204822,139346825,139363209,1,3,1,0,7246034932,73389,73389,14,14,14,139346829,9,3,173235,956906,1399571,19256,2316557254,933958,60236239,1992
530372.72,19,253952,62,117184,7719322972,5,43679377,925,8,8,6640,816,6,576,984032,0,36,46114,19,61,116602928,1154,1,0,4,2676,146113907,8,584455628,18,22,14,4633,576,0,0,65339600,8544174,2465022858,0,576,626,0,3,1,14,14,3317,0,3,2462723754,2433226160,117426250,148265310,148265310,1,3,1,0,7709796152,73389,73389,14,14,14,148265314,9,3,179517,1008395,1474442,20496,2462723754,984032,63867792,1992
