arrival_ms,start_ms,end_ms,latency_ms,wait_ms,qid
192.0014,192.4635,31377.9097,31185.9083,0.4621,np_all_58
5425.0009,5425.6332,106171.7570,100746.7561,0.6323,p_all_140
5832.0003,5832.3210,44081.7763,38249.7760,0.3207,np_all_58
7534.0004,7534.4233,106715.1006,99181.1001,0.4228,p_all_140
9022.0010,9022.4726,45853.7912,36831.7901,0.4716,np_all_58
9644.0007,9644.4838,108706.1462,99062.1455,0.4831,p_all_140
12583.0862,12583.6395,49201.4787,36618.3925,0.5533,np_all_58
13222.0042,13222.5493,114342.8786,101120.8743,0.5451,p_all_140
18527.0008,18527.5850,116994.4732,98467.4725,0.5842,p_all_140
18786.0013,18786.5775,121171.9350,102385.9336,0.5761,p_all_140
23489.0007,23489.3855,61981.8939,38492.8931,0.3847,np_all_58
31911.0013,31911.2742,66498.9971,34587.9959,0.2729,np_all_58
35840.1767,35840.8274,73428.6489,37588.4722,0.6507,np_all_58
41415.0045,41415.7120,81238.7013,39823.6968,0.7075,np_all_58
42647.0010,42647.4476,145823.0624,103176.0614,0.4466,p_all_140
45689.0009,45689.3894,150645.1486,104956.1477,0.3886,p_all_140
47952.0013,47952.3855,86150.2147,38198.2133,0.3842,np_all_58
53182.0093,53182.2103,157396.7661,104214.7568,0.2010,p_all_140
55816.0012,55816.6145,161153.8245,105337.8233,0.6134,p_all_140
56644.2338,56644.7878,165315.1468,108670.9130,0.5540,p_all_140
56689.0731,56689.5274,164164.9546,107475.8814,0.4542,p_all_140
60813.1968,60813.6528,168473.9643,107660.7675,0.4560,p_all_140
63438.1882,63438.7323,169993.6247,106555.4365,0.5440,p_all_140
65114.0206,65114.4923,104735.2743,39621.2537,0.4717,np_all_58
71827.0989,71827.6161,110380.2202,38553.1212,0.5171,np_all_58
76448.2419,76448.6421,117688.2641,41240.0222,0.4002,np_all_58
85196.2623,85196.7494,196811.4048,111615.1425,0.4871,p_all_140
85862.1235,85862.7680,197816.0322,111953.9087,0.6445,p_all_140
88747.2456,88747.4353,130435.0077,41687.7621,0.1897,np_all_58
93334.3907,93335.2220,207734.7272,114400.3365,0.8313,p_all_140
