timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1053651.80,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
1055657.38,4,0,0,17312,1139892404,0,33602,0,27,1,1,10935,116,0,675,136688,17,1629,12,0,138188336,1352,1,0,11,15,0,10,151,675,0,0,0,1955972,18,388870211,0,675,618,2,1,14,14,365,0,1,390479876,336688506,1990493,25565012,25581396,1,2,1,0,1124860528,73389,73389,14,14,14,25565012,7,3,339385,138809,820474,2995,390479876,136688,1135593,2463
1057668.50,4,253952,62,34048,2242265326,3,3033932,0,30,26,26,10935,119,0,675,273090,17,5370,37,592,140299886,1352,1,0,36,40,8,10,1114,675,0,0,0,5758255,1901726,699337222,0,675,618,2,1,14,14,365,0,1,710540080,659283370,16963680,50595385,50611769,1,2,1,0,2226196940,73389,73389,14,14,14,50595385,7,3,480235,277711,1329246,5440,710540080,273090,4429204,2463
1059677.52,4,253952,62,47899,3155048050,3,3033932,0,30,26,26,10935,122,0,675,408228,17,9308,37,592,140565338,1352,1,0,36,40,8,10,1114,675,0,0,0,10119926,4655851,969579313,0,675,618,2,1,14,14,365,0,1,977140528,926106533,34879487,71337468,71353852,1,2,1,0,3138848592,73389,73389,14,14,14,71337468,7,3,502941,415158,1541741,7474,977140528,408228,8578484,2463
1061686.23,4,253952,62,63349,4173153742,3,3033932,0,30,26,26,10935,124,0,675,558759,17,13633,37,592,141096242,1352,1,0,36,40,8,10,1114,675,0,0,0,14402149,6734526,1264726525,0,675,618,2,1,14,14,365,0,1,1274149680,1223736434,49351467,94491873,94491873,1,2,1,0,4157642412,73389,73389,14,14,14,94491873,7,3,525467,568106,1811233,9740,1274149680,558759,12591319,2463
1063695.73,4,253952,62,83733,5515941318,3,3033932,0,30,26,26,10935,127,0,675,671606,17,19360,37,592,141361694,1352,1,0,36,40,8,10,1114,675,0,0,0,19402975,6769213,1657745953,0,675,618,2,1,14,14,365,0,1,1666579248,1616282146,62613862,125008283,125024667,1,2,1,0,5500364452,73389,73389,14,14,14,125008283,7,3,534090,683667,1980114,12734,1666579248,671606,17423456,2463
1065702.63,4,253952,62,97747,6439647730,3,3033932,0,30,26,26,10935,130,0,675,795769,17,23354,37,592,141892598,1352,1,0,36,40,8,10,1114,675,0,0,0,23742789,9374340,1927991978,0,675,618,2,1,14,14,365,0,1,1936587568,1886354072,90810460,145979742,146002159,1,2,1,0,6423108648,73389,73389,14,14,14,145979742,7,3,566204,812201,2236016,14794,1936587568,795769,21507474,2463
1067711.51,4,253952,62,112050,7382342310,3,3033932,0,30,26,26,10935,132,1,675,925757,17,27375,37,592,142423502,1352,1,0,36,40,8,10,1114,675,0,0,0,27824474,11696481,2201246174,0,675,618,2,1,14,14,365,0,1,2212100912,2161938873,108247300,167422019,167422019,1,2,1,0,7365847940,73389,73389,14,14,14,167405635,7,3,592033,944394,2464338,16896,2212100912,925757,25360942,2463
1069718.23,4,253952,62,126982,8365716064,3,3033932,0,30,26,26,10935,134,1,675,1065556,17,31537,37,592,142423502,1352,1,0,36,40,8,10,1114,675,0,0,0,32311383,14199126,2489061709,0,675,618,2,1,14,14,365,0,1,2499410736,2449377454,126597565,189771893,189771893,1,2,1,0,8349242396,73389,73389,14,14,14,189755509,7,3,623995,1086551,2706716,19088,2499410736,1065556,29605589,2463
1071723.40,4,253952,62,147015,9686019342,3,3033932,0,30,26,26,10935,138,1,675,1183277,17,37220,37,592,143207792,1352,1,0,36,40,8,10,1114,675,0,0,0,37042901,14205782,2876834376,0,675,618,2,1,14,14,365,0,1,2884893488,2835305302,136671382,219784273,219784273,1,2,1,0,9669787116,73389,73389,14,14,14,219767889,7,3,630430,1206930,2897797,22029,2884893488,1183277,34157055,2463
