timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1117113.48,0,0,17347,1141631128,0,0,0,0,1,1,6069,117,531,128596,2,2,1621,16,0,109294388,1064,1,0,15,15,0,14,67,531,0,0,0,1964774,21055,375386150,0,529,406,2,2,1,14,14,423,1,376602820,336650646,1986434,25675826,25692210,1,2,1,1129736344,73389,73389,14,14,14,25675826,9,3,330954,130635,818271,2891,376602820,128596,1146595,1777
1119122.61,253952,62,34086,2244755694,12,13926373,0,44,17,17,6069,119,675,247763,2,2,5380,32,14,140299886,1352,1,0,31,31,0,14,239,675,0,0,0,5725930,711887,708531254,0,673,511,2,2,1,14,14,423,1,711195440,660043096,24969474,50660921,50677305,1,2,1,2229080524,73389,73389,14,14,14,50660921,9,3,476654,252059,1220879,5445,711195440,247763,4505273,2192
1121126.65,253952,62,46289,3049004186,15,18270577,0,99,17,17,6069,121,675,328481,2,2,8811,32,14,140565338,1352,1,0,31,31,0,14,239,675,0,0,0,8791250,981799,945743067,0,673,511,2,2,1,14,14,423,1,946076464,895126383,33372775,68925146,68941530,1,2,1,3032706424,73389,73389,14,14,14,68925146,9,3,477970,334423,1328015,7237,946076464,328481,7463557,2192
1123132.29,253952,62,58251,3837193050,15,20498843,0,124,20,20,6069,123,675,400420,2,2,12189,32,14,140830790,1352,1,0,31,34,0,14,239,675,0,0,0,11564492,1313018,1174567311,0,673,511,2,2,1,14,14,423,1,1176107824,1125511937,38242723,86855658,86855658,1,2,1,3821648952,73389,73389,14,14,14,86855658,9,3,481254,407989,1406110,8993,1176238896,400420,10158815,2192
1125137.06,253952,62,71023,4678996978,18,25106141,0,182,20,20,6069,125,675,478046,2,2,15778,32,14,141361694,1352,1,0,31,34,0,14,239,675,0,0,0,14862699,1953878,1422656136,0,673,511,2,2,1,14,14,423,1,1422261040,1371645006,47678111,105986076,105986076,1,2,1,4663387344,73389,73389,14,14,14,105986076,9,3,486620,488679,1520628,10870,1422261040,478046,13342599,2192
1127141.60,253952,62,81740,5384797166,18,26786598,0,215,20,20,6069,127,675,526529,2,2,18812,32,14,141361694,1352,1,0,31,34,0,14,239,675,0,0,0,17041009,1953941,1627999185,0,673,511,2,2,1,14,14,423,1,1628175152,1577944102,51545506,122030713,122030713,1,2,1,5369351372,73389,73389,14,14,14,122030713,9,3,486631,538373,1577538,12441,1628175152,526529,15464082,2192
1129147.37,253952,62,94370,6217294982,18,28549857,0,251,21,21,6069,129,675,602918,2,2,22367,32,14,141892598,1352,1,0,31,35,0,14,239,675,0,0,0,19969038,2090539,1870065141,0,673,511,2,2,1,14,14,423,1,1871444784,1821316812,56331519,140948139,140948139,1,2,1,6201718116,73389,73389,14,14,14,140948139,9,3,490005,616479,1672618,14297,1871444784,602918,18297144,2192
1131153.76,253952,62,114017,7511782526,19,30552510,0,282,27,27,6069,132,675,690526,2,2,27892,32,14,142423502,1352,1,0,31,41,11,14,239,675,0,0,0,24066562,2441031,2249675675,0,673,511,2,2,1,14,14,423,1,2249718576,2199743634,66377616,170366821,170366821,1,2,1,7496140124,73389,73389,14,14,14,170366821,9,3,497530,706311,1793167,17183,2249718576,690526,22274286,2192
1133162.21,253952,62,128883,8491084290,23,37585580,0,325,27,27,6069,135,675,797164,2,2,32111,32,14,142688954,1352,1,0,31,41,11,14,239,675,0,0,0,28132758,3136032,2535026598,0,673,511,2,2,1,14,14,423,1,2535717680,2485979280,81196013,192616232,192632616,1,2,1,8475114208,73389,73389,14,14,14,192616232,9,3,501718,815278,1931884,19365,2535717680,797164,26201908,2192
1135174.00,253952,62,144206,9500866910,23,40175922,0,376,28,28,6069,137,675,909689,2,2,36404,32,14,142942340,1352,1,0,31,42,11,14,239,675,0,0,0,32421864,3901079,2828375908,0,673,511,2,2,1,14,14,423,1,2830629680,2781208108,90079430,215574029,215574029,1,2,1,9484536380,73389,73389,14,14,14,215557645,9,3,503562,930227,2076884,21615,2830629680,909689,30346165,2192
