timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1125605.26,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
1127609.75,0,0,19338,1273175112,0,4312,0,3,1,1,12182,117,603,124276,23,1807,16,17,124525652,1208,1,0,15,15,14,61,603,0,0,0,1987230,72,419820659,0,603,385,2,1,14,14,358,1,421036228,375531156,1992426,28616310,28632694,1,2,1,1259117640,73389,73389,14,14,14,28616310,5,3,369954,126467,845315,3230,421036228,124276,1141999,1807
1129613.21,253952,62,36479,2402379698,13,15905067,0,62,21,21,12182,120,675,220180,23,6083,32,34,140299886,1352,1,0,31,35,14,132,675,0,0,0,5540061,409743,755070182,0,675,437,2,1,14,14,358,1,757070640,706087421,22312533,54234348,54250732,1,2,1,2386311312,73389,73389,14,14,14,54234348,5,3,482999,224561,1186548,5795,757070640,220180,4353721,2020
1131625.41,253952,62,55104,3629623998,17,21640155,0,98,21,21,12182,123,675,312968,23,11327,32,34,140830790,1352,1,0,31,35,14,132,675,0,0,0,9585209,952272,1115412571,0,675,437,2,1,14,14,358,1,1115421488,1064852165,38423946,82123285,82139669,1,2,1,3613424540,73389,73389,14,14,14,82123285,5,3,488379,319606,1307986,8529,1115421488,312968,8277591,2020
1133638.65,253952,62,70891,4670080774,17,24245130,0,142,21,21,12182,125,675,441747,23,15743,32,34,141361694,1352,1,0,31,35,14,132,675,0,0,0,13835081,1602134,1415966095,0,675,437,2,1,14,14,358,1,1419639600,1369048409,46069714,105783435,105783435,1,2,1,4653750244,73389,73389,14,14,14,105767051,5,3,495589,451034,1492841,10850,1419639600,441747,12342747,2020
1135643.75,253952,62,84674,5578141598,18,27701151,0,194,22,22,12182,127,675,552112,23,19649,32,34,141361694,1352,1,0,31,36,14,132,675,0,0,0,17712460,2216681,1682425999,0,675,437,2,1,14,14,358,1,1684667184,1634460248,54300939,126412989,126429373,1,2,1,5562171516,73389,73389,14,14,14,126412989,5,3,502319,563731,1642900,12872,1684667184,552112,16070192,2020
1137647.26,253952,62,102489,6752036286,20,30578715,0,209,25,25,12182,130,675,621554,23,24635,32,34,141892598,1352,1,0,31,39,14,132,675,0,0,0,20980821,2228486,2027146791,0,675,437,2,1,14,14,358,1,2027682608,1977651642,62538346,153099861,153099861,1,2,1,6736393884,73389,73389,14,14,14,153099861,5,3,507752,634956,1744123,15489,2027682608,621554,19237466,2020
1139651.00,253952,62,125834,8290203218,20,30592472,0,214,25,25,12182,134,675,707210,23,31223,32,34,142423502,1352,1,0,31,39,14,132,675,0,0,0,25189660,2228790,2477026953,0,675,437,2,1,14,14,358,1,2477128496,2427304199,70053538,188045540,188061924,1,2,1,8274003760,73389,73389,14,14,14,188045540,5,3,510261,723015,1842758,18918,2477128496,707210,23347838,2020
1141654.61,253952,62,144571,9524787550,23,34880422,0,259,25,25,12182,137,675,776141,23,36497,32,34,142942340,1352,1,0,31,39,14,132,675,0,0,0,28560718,2228856,2838006593,0,675,437,2,1,14,14,358,1,2837445424,2788246758,80655509,216114701,216114701,1,2,1,9509046844,73389,73389,14,14,14,216114701,5,3,513745,793810,1923510,21667,2837445424,776141,26638289,2020
1143658.60,253952,62,162164,10683808874,23,36360482,0,299,26,26,12182,140,675,839074,23,41457,32,34,143738696,1352,1,0,31,40,14,132,675,0,0,0,31703741,2229031,3173130089,0,675,437,2,1,14,14,358,1,3175320528,3126865397,85377977,242455350,242471734,1,2,1,10668035400,73389,73389,14,14,14,242455350,5,3,524951,858519,2002294,24248,3175320528,839074,29702660,2020
