timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
142547.05,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
144550.11,253952,62,25153,1656137182,0,0,0,0,34,34,9857,118,675,115481,39,2885,49,92,140034434,1352,1,0,48,48,31,14,229,675,0,0,0,2281847,20,537368732,0,675,211,2,1,14,14,298,1,538704688,487883352,2515365,37276525,37292909,1,2,1,1640167100,73389,73389,14,14,14,37276525,5,3,463501,117404,726580,4129,538704688,115481,1555369,1324
146554.52,253952,62,48540,3197322078,0,48969,0,36,34,34,9857,122,675,210733,39,9496,49,92,140830790,1352,1,0,48,48,31,14,229,675,0,0,0,6295932,123782,983707464,0,675,211,2,1,14,14,298,1,989592368,938468635,22483419,72310157,72310157,1,2,1,3180926012,73389,73389,14,14,14,72293773,5,3,477295,214915,858389,7569,989592368,210733,5437820,1324
148559.14,253952,62,61403,4044824330,32,33386339,0,103,35,35,9857,124,675,282940,39,13098,49,92,141096242,1352,1,0,48,49,31,14,229,675,0,0,0,9320657,267903,1236001613,0,675,211,2,1,14,14,298,1,1236794160,1186253236,108017969,91573806,91573806,1,2,1,4029247464,73389,73389,14,14,14,91573806,5,3,486782,288695,980210,9455,1236794160,282940,8340843,1324
150564.46,253952,62,71375,4702065650,33,36198992,0,139,35,35,9857,125,675,342473,39,15879,49,92,141361694,1352,1,0,48,49,31,14,229,675,0,0,0,11488885,276154,1427583757,0,675,211,2,1,14,14,298,1,1428945712,1378392680,113062550,106510364,106510364,1,2,1,4685735120,73389,73389,14,14,14,106493980,5,3,491521,349536,1049304,10921,1428945712,342473,10440065,1324
152573.33,253952,62,82207,5415402478,33,37933710,0,166,37,37,9857,127,675,412751,39,18945,49,92,141361694,1352,1,0,48,51,31,14,229,675,0,0,0,14036366,509745,1636598990,0,675,211,2,1,14,14,298,1,1636956976,1586838128,117644982,122718841,122735225,1,2,1,5399629004,73389,73389,14,14,14,122718841,5,3,500857,421300,1153386,12508,1636956976,412751,12883557,1324
154583.99,253952,62,96756,6374460234,34,40933030,0,202,38,38,9857,129,675,535505,39,23020,49,92,141892598,1352,1,0,48,52,31,14,229,675,0,0,0,17993400,1459094,1917482717,0,675,211,2,1,14,14,298,1,1917451056,1867230707,125628478,144521566,144521566,1,2,1,6358228008,73389,73389,14,14,14,144505182,5,3,507230,546480,1313493,14648,1917451056,535505,16680616,1324
156598.80,253952,62,110778,7298449614,34,44212086,0,242,38,38,9857,132,675,669519,39,27010,49,92,142423502,1352,1,0,48,52,31,14,229,675,0,0,0,22116165,2324547,2186965195,0,675,211,2,1,14,14,298,1,2187328304,2137339653,134614604,165509409,165525793,1,2,1,7282413996,73389,73389,14,14,14,165509409,5,3,513415,682934,1482778,16707,2187328304,669519,20634235,1324
158604.83,253952,62,124924,8230300006,34,46801842,0,284,41,41,9857,134,675,794590,39,31000,49,92,142423502,1352,1,0,48,55,31,14,229,675,0,0,0,26055960,3347311,2458276231,0,675,211,2,1,14,14,298,1,2459695920,2409757759,142747257,186696019,186696019,1,2,1,8213903940,73389,73389,14,14,14,186679635,5,3,531451,810441,1686051,18785,2459695920,794590,24370882,1324
160609.29,253952,62,135517,8928504634,39,52503375,0,311,41,41,9857,136,675,858253,39,33972,49,92,142942340,1352,1,0,48,55,31,14,229,675,0,0,0,28620364,3507442,2663103206,0,675,211,2,1,14,14,298,1,2663381808,2613901156,151271513,202564306,202564306,1,2,1,8912108568,73389,73389,14,14,14,202547922,5,3,532798,875593,1755220,20339,2663381808,858253,26866215,1324
