timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
159175.75,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,14,14,459,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0
161180.12,0,0,18324,1205925252,0,0,0,0,1,1,7602,117,0,558,129327,12,1711,11,55,114873386,1118,1,0,10,15,9,2376,558,0,0,0,1989565,23,396619600,0,558,340,2,1,14,14,459,1,397574340,355646517,1990708,27123651,27123651,1,2,1,1192719748,73389,73389,14,14,14,27107267,8,3,341844,131397,832672,3051,397574340,129327,1156984,1622
163184.91,253952,62,38323,2523758986,6,6000941,0,6,18,18,7602,120,0,675,249237,12,6584,28,55,140299886,1352,1,0,27,32,9,2742,675,0,0,0,6121505,210529,788906761,0,675,420,2,1,14,14,459,1,792591152,741648477,16224321,56998926,56998926,1,2,1,2507952744,73389,73389,14,14,14,56998926,8,3,469786,253855,1220616,6066,792591152,249237,4901133,1972
165197.37,253952,62,57141,3763917186,6,6248705,0,25,18,18,7602,123,0,675,363231,12,11884,28,55,140830790,1352,1,0,27,32,9,2742,675,0,0,0,10380362,490782,1152008882,0,675,420,2,1,14,14,459,1,1155005232,1104123729,30328356,85188808,85188808,1,2,1,3747586656,73389,73389,14,14,14,85172424,8,3,478523,370326,1362695,8831,1155005232,363231,9018081,1972
167204.88,253952,62,71794,4729790686,14,17887179,0,72,19,19,7602,125,0,675,485082,12,15993,28,55,141361694,1352,1,0,27,33,9,2742,675,0,0,0,14553408,1469019,1436057191,0,675,420,2,1,14,14,459,1,1437072176,1386502949,66306577,107138989,107138989,1,2,1,4713394620,73389,73389,14,14,14,107122605,8,3,485936,494491,1531911,10983,1437072176,485082,13022056,1972
169213.41,253952,62,85777,5650958710,15,21621501,0,113,21,21,7602,128,0,675,604003,12,19988,28,55,141627146,1352,1,0,27,35,9,2742,675,0,0,0,18486689,2308820,1705151962,0,675,420,2,1,14,14,459,1,1705900848,1655675237,75302921,128071647,128088031,1,2,1,5635152468,73389,73389,14,14,14,128071647,8,3,489301,615622,1664542,13034,1705900848,604003,16822845,1972
171220.67,253952,62,100460,6618267386,17,26596850,0,163,22,22,7602,130,0,675,728058,12,24081,28,55,141892598,1352,1,0,27,36,9,2742,675,0,0,0,22571315,3467321,1984208259,0,675,420,2,1,14,14,459,1,1988492080,1938530614,85400217,150050722,150067106,1,2,1,6602231768,73389,73389,14,14,14,150050722,8,3,493176,742763,1832150,15190,1988492080,728058,20740006,1972
173225.18,253952,62,110950,7309721806,20,30972913,0,188,22,22,7602,132,0,675,784737,12,27051,28,55,142423502,1352,1,0,27,36,9,2742,675,0,0,0,24990278,3491581,2190996089,0,675,420,2,1,14,14,459,1,2190736176,2140710986,93103815,165771553,165771553,1,2,1,7293227436,73389,73389,14,14,14,165755169,8,3,493994,800801,1885262,16733,2190736176,784737,23105949,1972
175230.53,253952,62,124564,8206441594,20,32718029,0,242,27,27,7602,134,0,675,892039,12,30914,28,55,142423502,1352,1,0,27,41,9,2742,675,0,0,0,28654481,4191006,2446584032,0,675,420,2,1,14,14,459,1,2452749104,2402777775,99866841,186149314,186165698,1,2,1,8190569816,73389,73389,14,14,14,186149314,8,3,512517,910268,2051841,18732,2452749104,892039,26603701,1972
177236.06,253952,62,134390,8854114658,25,39520892,0,265,27,27,7602,136,0,675,945908,12,33667,28,55,142688954,1352,1,0,27,41,9,2742,675,0,0,0,30909923,4238984,2642237564,0,675,420,2,1,14,14,459,1,2641754928,2592125768,109101103,200864688,200881072,1,2,1,8838046272,73389,73389,14,14,14,200864688,8,3,513202,965375,2120878,20174,2641754928,945908,28790197,1972
