timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
215465.46,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0
217469.90,0,0,19167,1261703004,0,0,0,0,1,1,6443,117,585,121642,17,1790,15,174,120717836,1172,1,0,14,15,0,13,245,585,0,0,0,1954781,26014,413659685,0,585,353,2,1,14,14,8494,0,1,416317636,372090835,1981315,28364517,28380901,1,2,1,0,1248038748,73389,73389,14,14,14,28364517,8,3,364436,123660,828259,3194,416317636,121642,1126605,1648
219480.88,253952,62,36640,2412930994,13,13988842,0,41,24,24,6443,120,675,237144,17,6125,38,188,140299886,1352,1,0,37,38,11,13,312,675,0,0,0,5910707,581193,754032762,0,675,387,2,1,14,14,8494,0,1,759954224,709232797,34137513,54480108,54480108,1,2,1,0,2397124752,73389,73389,14,14,14,54480108,8,3,488775,241607,1163521,5817,759954224,237144,4747412,1885
221488.80,253952,62,51302,3379394318,20,23426599,0,87,25,25,6443,122,675,351730,17,10235,38,188,140830790,1352,1,0,37,39,11,13,312,675,0,0,0,10236975,1355738,1039386149,0,675,387,2,1,14,14,8494,0,1,1042414384,991732323,51496970,76446673,76446673,1,2,1,0,3363653612,73389,73389,14,14,14,76446673,8,3,496666,358694,1304612,7972,1042414384,351730,8932733,1885
223496.22,253952,62,65055,4285489062,20,27826123,0,127,25,25,6443,124,675,466514,17,14106,38,188,141096242,1352,1,0,37,39,11,13,312,675,0,0,0,14186219,2618900,1305205367,0,675,387,2,1,14,14,8494,0,1,1307441968,1256606072,58175064,97043459,97043459,1,2,1,0,4269912196,73389,73389,14,14,14,97043459,8,3,506522,475908,1447488,9994,1307441968,466514,12739245,1885
225500.86,253952,62,75390,4966519950,23,32460970,0,152,25,25,6443,126,675,518259,17,17022,38,188,141361694,1352,1,0,37,39,11,13,312,675,0,0,0,16485854,2670008,1506100390,0,675,387,2,1,14,14,8494,0,1,1506016048,1455722874,68030623,112520689,112520689,1,2,1,0,4950910316,73389,73389,14,14,14,112520689,8,3,507159,528965,1494800,11509,1506016048,518259,14991655,1885
227505.19,253952,62,85804,5652728182,23,34026670,0,193,25,25,6443,128,675,576345,17,19976,38,188,141627146,1352,1,0,37,39,11,13,312,675,0,0,0,18821103,2671091,1706071379,0,675,387,2,1,14,14,8494,0,1,1706556208,1656228953,71944371,128120799,128120799,1,2,1,0,5637315156,73389,73389,14,14,14,128120799,8,3,509519,588407,1562433,13039,1706556208,576345,17259355,1885
229510.07,253952,62,97660,6433704778,24,36505177,0,231,26,26,6443,130,675,649469,17,23318,38,188,141892598,1352,1,0,37,40,11,13,312,675,0,0,0,21687010,2768891,1935161133,0,675,387,2,1,14,14,8494,0,1,1934752560,1884624982,77444862,145865054,145865054,1,2,1,0,6418062376,73389,73389,14,14,14,145865054,8,3,515916,663167,1657408,14780,1934752560,649469,20030391,1885
231523.11,253952,62,109416,7208658678,25,37952841,0,255,28,28,6443,131,675,720966,17,26581,38,188,142158050,1352,1,0,37,42,11,13,312,675,0,0,0,24479871,2942351,2160062529,0,675,387,2,1,14,14,8494,0,1,2161376048,2111201646,81928524,163457535,163473919,1,2,1,0,7192131540,73389,73389,14,14,14,163457535,8,3,522662,736415,1763399,16509,2161376048,720966,22717370,1885
233529.41,253952,62,123372,8128057230,25,42101202,0,299,30,30,6443,134,675,824746,17,30553,38,188,142423502,1352,1,0,37,44,11,13,312,675,0,0,0,28559505,3728881,2428630169,0,675,387,2,1,14,14,8494,0,1,2429680432,2379899376,91620704,184357425,184373809,1,2,1,0,8111726700,73389,73389,14,14,14,184357425,8,3,535885,842650,1904166,18556,2429680432,824746,26656375,1885
