timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
280741.52,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
282746.11,0,0,19452,1280380764,0,0,0,1,1,4886,117,0,589,124785,10,1817,7,0,121439365,1179,1,6,15,0,5,1869,589,1986373,2999,419951643,589,330,2,1,14,14,469,1,421953732,377637953,1989905,28790501,28806885,1,2,1,1266782044,73389,73389,14,14,14,28790501,11,3,365577,126879,821113,3237,421953732,124785,1165347,1706
284752.42,253952,62,35716,2352110278,15,16731473,43,19,19,4886,120,0,675,246120,10,5877,25,33,140299886,1352,1,24,33,12,5,2143,675,5863104,601625,740663504,675,361,2,1,14,14,469,1,742390576,691450951,29151829,53081435,53097819,1,2,1,2335583140,73389,73389,14,14,14,53081435,11,3,471429,250614,1176025,5683,742390576,246120,4687302,1920
286758.82,253952,62,50334,3315424566,15,19300714,85,19,19,4886,122,0,675,367531,10,9971,25,33,140830790,1352,1,24,33,12,5,2143,675,9999202,1286999,1021702225,675,361,2,1,14,14,469,1,1023933232,973031236,37103122,74992815,74992815,1,2,1,3299683860,73389,73389,14,14,14,74992815,11,3,477618,374464,1353166,7831,1023933232,367531,8646412,1920
288767.64,253952,62,64944,4278214566,16,22630351,126,20,20,4886,124,0,675,483800,10,14065,25,33,141096242,1352,1,24,34,12,5,2143,675,14119231,2155216,1305099178,675,361,2,1,14,14,469,1,1304951600,1254466583,46255620,96879619,96879619,1,2,1,4262703236,73389,73389,14,14,14,96879619,11,3,488452,493069,1527166,9975,1304951600,483800,12592596,1920
290776.38,253952,62,79343,5226911018,17,26284620,172,21,21,4886,127,0,675,601488,10,18158,25,33,141361694,1352,1,24,35,12,5,2143,675,18245426,2932329,1581029505,675,361,2,1,14,14,469,1,1582037808,1531806107,55591856,118440902,118440902,1,2,1,5210678792,73389,73389,14,14,14,118424518,11,3,502767,613215,1702649,12089,1582037808,601488,16543456,1920
292784.30,253952,62,93453,6156667566,18,30110889,217,22,22,4886,129,0,675,717508,10,22122,25,33,141892598,1352,1,24,36,12,5,2143,675,22233168,3657591,1851714514,675,361,2,1,14,14,469,1,1854012208,1803575539,64369678,139559817,139576201,1,2,1,6140631948,73389,73389,14,14,14,139559817,11,3,506700,734100,1842563,14164,1854012208,717508,20391435,1920
294792.65,253952,62,107756,7099072562,18,32534197,259,22,22,4886,131,0,675,838638,10,26134,25,33,142158050,1352,1,24,36,12,5,2143,675,26260488,4326453,2125930083,675,361,2,1,14,14,469,1,2129263408,2079196442,72087918,160981836,160981836,1,2,1,7083200784,73389,73389,14,14,14,160981836,11,3,515931,857744,2001363,16264,2129263408,838638,24260109,1920
296802.44,253952,62,122561,8074642082,18,34953442,312,25,25,4886,134,0,675,961020,10,30331,25,33,142423502,1352,1,24,39,12,5,2143,675,30614942,4956763,2410494409,675,361,2,1,14,14,469,1,2414082864,2364230820,80383640,183155360,183171744,1,2,1,8058835840,73389,73389,14,14,14,183155360,11,3,531582,982794,2193750,18437,2414082864,961020,28422312,1920
298814.17,253952,62,136152,8970385446,22,42376294,353,26,26,4886,136,0,675,1083365,10,34150,25,33,142942340,1352,1,24,40,12,5,2143,675,34630983,5699195,2674345390,675,361,2,1,14,14,469,1,2675571504,2626144328,92946910,203504227,203520611,1,2,1,8954185988,73389,73389,14,14,14,203504227,11,3,540475,1107554,2353696,20432,2675571504,1083365,32278543,1920
