timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
498691.65,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
500697.12,1,0,0,19172,1262030684,0,0,0,0,1,1,7680,117,585,129293,13,1790,16,45,120717836,1172,1,0,15,15,0,14,101,585,0,0,0,1995696,819,416412314,0,585,465,2,1,14,14,372,1,416448708,372189666,1997759,28380901,28380901,1,2,1,1248038748,73389,73389,14,14,14,28364517,6,3,366280,131358,795800,3195,416448708,129293,1199987,1855
502708.79,1,253952,62,36431,2399233970,17,19211778,0,44,23,23,7680,120,675,243595,13,6078,38,64,140299886,1352,1,0,37,37,7,14,256,675,0,0,0,6040456,1043919,754020488,0,675,533,2,1,14,14,372,1,756153136,705243300,32479322,54152428,54168812,1,2,1,2382706832,73389,73389,14,14,14,54152428,6,3,504095,247932,1224936,5788,756153136,243595,4815737,2111
504715.60,1,253952,62,51130,3368122126,19,23201046,0,82,26,26,7680,122,675,350313,13,10194,38,64,140830790,1352,1,0,37,40,7,14,256,675,0,0,0,10013111,2389865,1035971161,0,675,533,2,1,14,14,372,1,1039268656,988358428,43957844,76184529,76200913,1,2,1,3352119276,73389,73389,14,14,14,76184529,6,3,512690,356965,1371770,7948,1039268656,350313,8641711,2111
506732.23,1,253952,62,65670,4326059154,20,27684750,0,123,27,27,7680,124,675,464420,13,14301,38,64,141096242,1352,1,0,37,41,7,14,256,675,0,0,0,13958297,3703763,1318564351,0,675,533,2,1,14,14,372,1,1319107376,1268468648,55346889,97950612,97966996,1,2,1,4309826928,73389,73389,14,14,14,97950612,6,3,531139,473359,1550664,10083,1319107376,464420,12407140,2111
508737.57,1,253952,62,80562,5307064854,22,33771056,0,169,29,29,7680,127,675,575894,13,18513,38,64,141361694,1352,1,0,37,43,7,14,256,675,0,0,0,18040363,4786420,1601417242,0,675,533,2,1,14,14,372,1,1605237552,1555202676,68094828,120265559,120265559,1,2,1,5291684596,73389,73389,14,14,14,120265559,6,3,548591,587025,1721774,12266,1605237552,575894,16319244,2111
510744.50,1,253952,62,90969,5993079786,28,40380800,0,193,30,30,7680,129,675,624396,13,21388,38,64,141627146,1352,1,0,37,44,7,14,256,675,0,0,0,20279996,4802010,1805587778,0,675,533,2,1,14,14,372,1,1806039856,1755744835,76972228,135855318,135855318,1,2,1,5977633992,73389,73389,14,14,14,135855318,6,3,553462,636840,1780816,13798,1806039856,624396,18499926,2111
512763.80,1,253952,62,104302,6871649410,28,42708424,0,230,33,33,7680,131,675,742877,13,25202,38,64,142158050,1352,1,0,37,47,7,14,256,675,0,0,0,24120509,5973389,2060648377,0,675,533,2,1,14,14,372,1,2062809904,2012667016,85292200,155813128,155813128,1,2,1,6855777632,73389,73389,14,14,14,155813128,6,3,566213,757629,1955956,15757,2062809904,742877,22165432,2111
514770.39,1,253952,62,118285,7792817434,28,45963329,0,273,35,35,7680,133,675,865648,13,29118,38,64,142423502,1352,1,0,37,49,7,14,256,675,0,0,0,28074558,7378154,2330640309,0,675,533,2,1,14,14,372,1,2331900720,2281909052,94003611,176753978,176753978,1,2,1,7776454136,73389,73389,14,14,14,176737594,6,3,569759,882741,2127777,17810,2331900720,865648,25947768,2111
516778.04,1,253952,62,132132,8705338014,30,51361204,0,315,36,36,7680,135,675,983541,13,32996,38,64,142688954,1352,1,0,37,50,7,14,256,675,0,0,0,32210494,8869618,2596839120,0,675,533,2,1,14,14,372,1,2598107952,2548611834,105925819,197496061,197496061,1,2,1,8689105788,73389,73389,14,14,14,197479677,6,3,576636,1002882,2287085,19841,2598107952,983541,29924511,2111
