timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
631070.99,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
633075.65,0,0,20578,1354439752,0,0,0,0,1,1,9544,117,621,122362,12,1921,11,0,128068016,1244,1,0,10,15,5,9,217,621,0,0,0,1995085,22,445904548,0,621,354,2,1,14,14,339,0,1,446202052,399380056,1996076,30467702,30467702,1,2,1,0,1339857992,73389,73389,14,14,14,30451318,6,3,392081,124435,787015,3422,446202052,122362,1208157,1794
635082.68,253952,62,37720,2484240778,11,12528188,0,37,15,15,9544,120,675,236631,12,6422,25,19,140299886,1352,1,0,24,29,5,9,478,675,0,0,0,6112901,947532,778935840,0,675,377,2,1,14,14,339,0,1,781056816,730068041,24853885,56097806,56114190,1,2,1,0,2468303464,73389,73389,14,14,14,56097806,6,3,494343,242706,1128672,5978,781056816,236631,4984455,1933
637088.79,253952,62,53393,3517226450,12,16183655,0,76,16,16,9544,122,675,345363,12,10806,25,19,140830790,1352,1,0,24,30,5,9,478,675,0,0,0,10064578,1600426,1081338885,0,675,377,2,1,14,14,339,0,1,1082784560,1031981567,33523834,79577732,79594116,1,2,1,0,3501420208,73389,73389,14,14,14,79577732,6,3,501949,353887,1275341,8280,1082784560,345363,8789624,1933
639093.98,253952,62,65332,4303642534,14,19526683,0,105,16,16,9544,124,675,403494,12,14172,25,19,141096242,1352,1,0,24,30,5,9,478,675,0,0,0,12543899,1659898,1311859500,0,675,377,2,1,14,14,339,0,1,1312422704,1261901725,39505115,97453059,97469443,1,2,1,0,4287934596,73389,73389,14,14,14,97453059,6,3,502002,413381,1324620,10032,1312422704,403494,11219761,1933
641103.47,253952,62,80399,5296382486,14,21080662,0,137,19,19,9544,127,675,498794,12,18446,25,19,141361694,1352,1,0,24,33,5,9,478,675,0,0,0,16210160,1895848,1600623098,0,675,377,2,1,14,14,339,0,1,1602222896,1552118924,45169514,120019799,120019799,1,2,1,0,5280150260,73389,73389,14,14,14,120003415,6,3,514126,510949,1461540,12243,1602222896,498794,14749252,1933
643113.87,253952,62,96257,6341492318,16,25024462,0,191,19,19,9544,129,675,606620,12,22887,25,19,141892598,1352,1,0,24,33,5,9,478,675,0,0,0,20309161,2346338,1906181751,0,675,377,2,1,14,14,339,0,1,1907751728,1857600952,54047106,143761869,143778253,1,2,1,0,6325522236,73389,73389,14,14,14,143761869,6,3,519820,621183,1608579,14574,1907751728,606620,18701375,1933
645125.47,253952,62,110686,7292420302,16,27948802,0,228,20,20,9544,132,675,714401,12,26981,25,19,142423502,1352,1,0,24,34,5,9,478,675,0,0,0,24269229,2793622,2184592662,0,675,377,2,1,14,14,339,0,1,2185755440,2135652644,60829103,165378337,165378337,1,2,1,0,7275925932,73389,73389,14,14,14,165361953,6,3,528691,731343,1758074,16695,2185755440,714401,22512092,1933
647130.68,253952,62,125385,8260512102,17,31546820,0,284,21,21,9544,134,675,814598,12,31140,25,19,142423502,1352,1,0,24,35,5,9,478,675,0,0,0,28084077,3295968,2465361386,0,675,377,2,1,14,14,339,0,1,2468608816,2418589387,69268183,187384147,187384147,1,2,1,0,8244902468,73389,73389,14,14,14,187384147,6,3,541793,833759,1900203,18853,2468608816,814598,26184955,1933
649140.09,253952,62,137023,9027732754,19,35263136,0,304,21,21,9544,136,675,868479,12,34385,25,19,142942340,1352,1,0,24,35,5,9,478,675,0,0,0,30418333,3304236,2692724513,0,675,377,2,1,14,14,339,0,1,2692479792,2642875393,76070389,204820980,204820980,1,2,1,0,9012123120,73389,73389,14,14,14,204820980,6,3,543397,888878,1968234,20561,2692479792,868479,28451261,1933
651146.28,253952,62,152262,10031744898,19,37217691,0,339,23,23,9544,138,675,968821,12,38653,25,19,143207792,1352,1,0,24,37,5,9,478,675,0,0,0,34367836,3909357,2985718983,0,675,377,2,1,14,14,339,0,1,2985720346,2936372961,81972460,227641672,227641672,1,2,1,0,10016233568,73389,73389,14,14,14,227641672,6,3,549361,991632,2102616,22799,2985720346,968821,32266529,1933
653162.38,253952,62,167155,11012757214,21,41700316,0,377,24,24,9544,141,675,1073586,12,42879,25,19,144004148,1352,1,0,24,38,5,9,478,675,0,0,0,38404176,4522839,3271544553,0,675,377,2,1,14,14,339,0,1,3271920592,3223017893,92524367,249927725,249944109,1,2,1,0,10996819900,73389,73389,14,14,14,249927725,6,3,558667,1098783,2239390,24985,3271920592,1073586,36166298,1933
655167.19,253952,62,179658,11836401054,23,44870322,0,419,25,25,9544,143,675,1144795,12,46392,25,19,144004148,1352,1,0,24,39,5,9,478,675,0,0,0,41252429,4743944,3512825097,0,675,377,2,1,14,14,339,0,1,3512306640,3463781881,98913523,268661053,268661053,1,2,1,0,11820365436,73389,73389,14,14,14,268644669,6,3,560597,1171576,2325479,26819,3512306640,1144795,38928568,1933
657173.81,253952,62,193333,12737649442,23,46534582,0,450,27,27,9544,145,675,1229285,12,50236,25,19,144535052,1352,1,0,24,41,5,9,478,675,0,0,0,44497363,4908996,3776538214,0,675,377,2,1,14,14,339,0,1,3775892432,3727284499,104095131,289124608,289140992,1,2,1,0,12721482752,73389,73389,14,14,14,289124608,6,3,566267,1258013,2437542,28830,3775892432,1229285,42061563,1933
659181.96,253952,62,208269,13722069630,23,50160917,0,485,27,27,9544,148,675,1335268,12,54473,25,19,145065956,1352,1,0,24,41,5,9,478,675,0,0,0,48490918,5480024,4062550362,0,675,377,2,1,14,14,339,0,1,4063333328,4015011717,112613969,311517157,311517157,1,2,1,0,13706754908,73389,73389,14,14,14,311517157,6,3,574368,1366390,2601814,31023,4063333328,1335268,45890990,1933
661186.98,253952,62,220596,14534179134,25,53504770,0,524,27,27,9544,150,675,1403409,12,57944,25,19,145331408,1352,1,0,24,41,5,9,478,675,0,0,0,51285841,5662750,4300947264,0,675,377,2,1,14,14,339,0,1,4300442576,4252446135,119019473,329971957,329971957,1,2,1,0,14518766108,73389,73389,14,14,14,329971957,6,3,575761,1436135,2679938,32832,4300442576,1403409,48607896,1933
663191.77,253952,62,232829,15340128254,25,54990259,0,561,28,28,9544,152,675,1476942,12,61441,25,19,145596860,1352,1,0,24,42,5,9,478,675,0,0,0,54094654,5763948,4536984883,0,675,377,2,1,14,14,339,0,1,4535847888,4488004737,123408418,348279301,348295685,1,2,1,0,15324289244,73389,73389,14,14,14,348279301,6,3,581232,1511220,2780819,34628,4535847888,1476942,51315938,1933
665203.44,253952,62,244949,16138671806,26,57553683,0,583,30,30,9544,154,675,1538624,12,64812,25,19,145862312,1352,1,0,24,44,5,9,478,675,0,0,0,56586236,5824096,4769865532,0,675,377,2,1,14,14,339,0,1,4769156048,4721440366,128651814,366430997,366447381,1,2,1,0,16122963868,73389,73389,14,14,14,366430997,6,3,584044,1574300,2856888,36408,4769156048,1538624,53731548,1933
667210.44,253952,62,260200,17143735834,26,60194623,0,631,31,31,9544,156,675,1653663,12,69074,25,19,146127764,1352,1,0,24,45,5,9,478,675,0,0,0,60601609,6414325,5064275292,0,675,377,2,1,14,14,339,0,1,5063019472,5015342901,136338140,389274106,389274106,1,2,1,0,17128060664,73389,73389,14,14,14,389274106,6,3,592941,1691725,2992227,38650,5063019472,1653663,57611733,1933
669221.38,253952,62,275617,18159678838,27,64579546,0,682,32,32,9544,159,675,1769867,12,73449,25,19,146658668,1352,1,0,24,46,5,9,478,675,0,0,0,64656276,6965191,5360911807,0,675,377,2,1,14,14,339,0,1,5359635408,5312181237,145792347,412371167,412371167,1,2,1,0,18143610452,73389,73389,14,14,14,412354783,6,3,598385,1810305,3125068,40913,5359635408,1769867,61533715,1933
671229.18,253952,62,290946,19169163238,28,68156664,0,724,32,32,9544,161,675,1887879,12,77737,25,19,146924120,1352,1,0,24,46,5,9,478,675,0,0,0,68707924,7579492,5655713316,0,675,377,2,1,14,14,339,0,1,5654027083,5607332896,154402325,435314739,435314739,1,2,1,0,19153848516,73389,73389,14,14,14,435314739,6,3,608060,1930778,3287271,43163,5654027083,1887879,65423310,1933
673234.94,253952,62,305361,20119173718,29,71727946,0,771,32,32,9544,164,675,1991851,12,81871,25,19,147455024,1352,1,0,24,46,5,9,478,675,0,0,0,72433267,7971309,5930577997,0,675,377,2,1,14,14,339,0,1,5931244363,5885027528,162299494,456906631,456906631,1,2,1,0,20103170868,73389,73389,14,14,14,456890247,6,3,613888,2037807,3424209,45278,5931244363,1991851,69011856,1933
