timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
662422.31,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,3,0,7,0,2097278,2,1,0,7,7,0,0,39,0,0,0,0,0,0,3451,0,0,0,2,1,14,14,416,1,0,0,57,0,0,1,2,1,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0
664427.38,1,0,0,19793,1302728540,0,0,0,0,1,1,5341,117,0,603,120841,20,1848,10,3516,124260200,1208,1,0,9,15,95,8,3580,603,0,0,0,1966354,12817,427683860,0,603,371,2,1,14,14,416,1,429686980,384230404,1979917,29282021,29298405,1,2,1,1288408924,73389,73389,14,14,14,29282021,10,3,375514,122855,806907,3296,429686980,120841,1159539,1658
666439.21,2,253952,62,36265,2388354994,21,22953693,0,46,26,26,5341,120,0,675,229891,20,6023,35,3533,140299886,1352,1,0,34,40,100,8,3825,675,0,0,0,5981717,753135,752327652,0,675,415,2,1,14,14,416,1,753007408,702030216,36282805,53923052,53923052,1,2,1,2372614288,73389,73389,14,14,14,53923052,10,3,497944,234299,1161482,5764,753007408,229891,4820470,1842
668448.29,2,253952,62,51221,3374085902,22,26438185,0,94,26,26,5341,122,0,675,337848,20,10214,35,3533,140830790,1352,1,0,34,40,100,8,3825,675,0,0,0,10077446,1376230,1040196216,0,675,415,2,1,14,14,416,1,1040972592,990149542,45117174,76315601,76331985,1,2,1,3357886444,73389,73389,14,14,14,76315601,10,3,503526,344738,1295516,7961,1040972592,337848,8782329,1842
670463.44,2,253952,62,65878,4339690642,23,29827767,0,139,27,27,5341,124,0,675,446111,20,14321,35,3533,141096242,1352,1,0,34,41,100,8,3825,675,0,0,0,14139634,2099300,1323601359,0,675,415,2,1,14,14,416,1,1323170608,1272416806,54677332,98278292,98278292,1,2,1,4324244848,73389,73389,14,14,14,98278292,10,3,512425,455418,1428776,10114,1323170608,446111,12710419,1842
672474.99,2,253952,62,79902,5263545642,24,35193448,0,179,28,28,5341,127,0,675,555514,20,18311,35,3533,141361694,1352,1,0,34,42,100,8,3825,675,0,0,0,18116067,2696514,1591786303,0,675,415,2,1,14,14,416,1,1592654640,1542483762,65073721,119276486,119276486,1,2,1,5248165384,73389,73389,14,14,14,119276486,10,3,519462,567284,1578738,12170,1592654640,555514,16538042,1842
674480.12,2,253952,62,90877,5986797088,26,38382787,0,216,28,28,5341,128,0,675,616204,20,21357,35,3533,141627146,1352,1,0,34,42,100,8,3825,675,0,0,0,20730267,2742692,1804230015,0,675,415,2,1,14,14,416,1,1804204848,1753924790,71037535,135710021,135710021,1,2,1,5971240924,73389,73389,14,14,14,135710021,10,3,519647,629593,1634300,13784,1804204848,616204,19096791,1842
676491.13,2,253952,62,103468,6816726934,26,40111776,0,243,30,30,5341,131,0,675,703639,20,24961,35,3533,142158050,1352,1,0,34,44,100,8,3825,675,0,0,0,24149941,2882897,2045793454,0,675,415,2,1,14,14,416,1,2046819120,1996635844,75699993,154561911,154578295,1,2,1,6800724084,73389,73389,14,14,14,154561911,10,3,527398,719186,1748586,15635,2046819120,703639,22402320,1842
678503.43,2,253952,62,118316,7794849050,27,43910395,0,294,31,31,5341,133,0,675,810275,20,29119,35,3533,142423502,1352,1,0,34,45,100,8,3825,675,0,0,0,28389014,3308765,2330769360,0,675,415,2,1,14,14,416,1,2332425008,2282488286,85268590,176786746,176803130,1,2,1,7778616824,73389,73389,14,14,14,176786746,10,3,540017,828369,1897348,17814,2332425008,810275,26492792,1842
680512.43,2,253952,62,132367,8720738974,28,47567634,0,335,32,32,5341,135,0,675,919496,20,33060,35,3533,142688954,1352,1,0,34,46,100,8,3825,675,0,0,0,32453853,3863466,2600660635,0,675,415,2,1,14,14,416,1,2602564400,2553120899,93962668,197840125,197856509,1,2,1,8704965500,73389,73389,14,14,14,197840125,10,3,546733,940122,2049256,19875,2602564400,919496,30405878,1842
