timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
695302.20,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
697306.82,0,0,19185,1262882652,0,0,0,0,1,1,5452,117,585,122042,28,1791,12,198,120717836,1172,1,0,11,15,10,354,585,0,0,0,1982219,5824,416412048,0,585,342,2,1,14,14,442,1,416579780,372478213,1988894,28397285,28397285,1,2,1,1248759644,73389,73389,14,14,14,28380901,9,3,365204,124108,871503,3196,416579780,122042,1110799,1664
699315.83,253952,62,35240,2320915142,16,18153364,0,55,21,21,5452,119,675,241482,28,5690,32,263,140299886,1352,1,0,31,35,10,856,675,0,0,0,5920433,762493,731216777,0,675,399,2,1,14,14,442,1,733346608,682274254,29780615,52393307,52393307,1,2,1,2304584612,73389,73389,14,14,14,52376923,9,3,473735,246007,1242351,5614,733346608,241482,4678300,1902
701320.45,253952,62,46961,3093309830,19,22831550,0,106,21,21,5452,121,675,325313,28,8994,32,263,140565338,1352,1,0,31,35,10,856,675,0,0,0,8981078,1152665,957945615,0,675,399,2,1,14,14,442,1,959052592,908094397,38151983,69946987,69946987,1,2,1,3077667428,73389,73389,14,14,14,69946987,9,3,477291,331628,1343954,7336,959052592,325313,7637447,1902
703327.45,253952,62,58373,3845188442,20,24539896,0,128,23,23,5452,123,675,402750,28,12216,32,263,140830790,1352,1,0,31,37,10,856,675,0,0,0,11856855,1276824,1178252552,0,675,399,2,1,14,14,442,1,1178336048,1127882092,42931194,87035882,87035882,1,2,1,3828857912,73389,73389,14,14,14,87019498,9,3,487875,410738,1438215,9009,1178336048,402750,10419073,1902
705334.94,253952,62,72115,4750827742,20,25815055,0,172,25,25,5452,125,675,518723,28,16079,32,263,141361694,1352,1,0,31,39,10,856,675,0,0,0,15836088,1744232,1442765705,0,675,399,2,1,14,14,442,1,1443101488,1392637869,48919635,107614125,107630509,1,2,1,4735021500,73389,73389,14,14,14,107614125,9,3,493563,529180,1590760,11029,1443101488,518723,14245900,1902
707339.73,253952,62,83831,5522629298,23,30053569,0,214,25,25,5452,127,675,588230,28,19380,32,263,141361694,1352,1,0,31,39,10,856,675,0,0,0,18600154,1891517,1668446472,0,675,399,2,1,14,14,442,1,1668545328,1618255442,56189650,125161772,125161772,1,2,1,5507117968,73389,73389,14,14,14,125161772,9,3,495310,600222,1673015,12749,1668545328,588230,16927817,1902
709350.29,253952,62,96733,6372952906,23,31631270,0,242,28,28,5452,129,675,678435,28,23014,32,263,141892598,1352,1,0,31,42,10,856,675,0,0,0,21858359,2213198,1916034706,0,675,399,2,1,14,14,442,1,1917057840,1866779845,61591350,144488798,144488798,1,2,1,6357507112,73389,73389,14,14,14,144488798,9,3,509741,692365,1800768,14645,1917057840,678435,20058394,1902
711354.85,253952,62,107975,7113690398,26,37392654,0,275,28,28,5452,131,675,738620,28,26186,32,263,142158050,1352,1,0,31,42,10,856,675,0,0,0,24322986,2295937,2133971417,0,675,399,2,1,14,14,442,1,2133588784,2083414354,70003898,161315549,161315549,1,2,1,7097884156,73389,73389,14,14,14,161315549,9,3,513333,753907,1878623,16297,2133588784,738620,22445262,1902
713359.07,253952,62,122911,8097579682,26,38798103,0,311,30,30,5452,134,675,806628,28,30426,32,263,142423502,1352,1,0,31,44,10,856,675,0,0,0,27308571,2296190,2421275359,0,675,399,2,1,14,14,442,1,2420636464,2370975217,74956889,183679648,183679648,1,2,1,8081904512,73389,73389,14,14,14,183679648,9,3,520904,823661,1982656,18487,2420636464,806628,25326936,1902
