timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
707703.15,0,0,19219,1265110876,0,0,0,0,1,1,5930,117,585,120500,20,1795,16,0,120717836,1172,1,0,15,15,0,14,68,585,0,0,0,1974032,7432,414707725,0,585,340,2,1,14,14,464,1,417104068,373099063,1982182,28446437,28462821,1,2,1,1251643228,73389,73389,14,14,14,28446437,8,3,364126,122578,833268,3200,417104068,120500,1140851,1648
709708.36,253952,62,36345,2393597874,21,22164778,0,62,25,25,5930,120,675,235740,20,6045,40,3,140299886,1352,1,0,39,39,10,14,158,675,0,0,0,5887100,516653,751415014,0,675,389,2,1,14,14,464,1,754318128,703556141,32368071,54037740,54054124,1,2,1,2377660560,73389,73389,14,14,14,54037740,8,3,492280,240266,1223648,5774,754318128,235740,4663672,1887
711712.93,253952,62,47623,3136694662,24,25984151,0,82,26,26,5930,121,675,288753,20,9177,40,3,140565338,1352,1,0,39,40,10,14,158,675,0,0,0,8015564,516711,970651203,0,675,389,2,1,14,14,464,1,971635504,920752066,38317961,70930027,70946411,1,2,1,3120921188,73389,73389,14,14,14,70930027,8,3,492320,294492,1271773,7432,971635504,288753,6744089,1887
713716.81,253952,62,63672,4194321870,24,28258555,0,131,28,28,5930,124,675,358363,20,13721,40,3,141096242,1352,1,0,39,42,10,14,158,675,0,0,0,11073534,516894,1278922500,0,675,389,2,1,14,14,464,1,1280310064,1229871829,43244841,94967009,94983393,1,2,1,4178548396,73389,73389,14,14,14,94967009,8,3,500637,365768,1364182,9787,1280310064,358363,9709774,1887
715726.44,253952,62,81233,5351304962,25,31460800,0,176,29,29,5930,127,675,457410,20,18678,40,3,141361694,1352,1,0,39,43,10,14,158,675,0,0,0,15000993,770670,1618289096,0,675,389,2,1,14,14,464,1,1618475824,1568173407,51685914,121254632,121271016,1,2,1,5335203808,73389,73389,14,14,14,121254632,8,3,511595,467122,1487214,12367,1618475824,457410,13514356,1887
717738.05,253952,62,96383,6349749854,25,34096623,0,214,30,30,5930,129,675,581899,20,22919,40,3,141892598,1352,1,0,39,44,10,14,158,675,0,0,0,19012458,1286352,1907832946,0,675,389,2,1,14,14,464,1,1910373168,1860030753,59266988,143958477,143974861,1,2,1,6334172988,73389,73389,14,14,14,143958477,8,3,520266,594122,1655501,14594,1910373168,581899,17357675,1887
719747.10,253952,62,111025,7314637006,27,38188459,0,252,30,30,5930,132,675,700267,20,27074,40,3,142423502,1352,1,0,39,44,10,14,158,675,0,0,0,23077993,1767061,2191359376,0,675,389,2,1,14,14,464,1,2192046896,2142109362,68241938,165886241,165886241,1,2,1,7298273708,73389,73389,14,14,14,165869857,8,3,528064,714998,1812672,16743,2192046896,700267,21266182,1887
721750.37,253952,62,129163,8509699822,27,39896291,0,275,35,35,5930,135,675,811551,20,32186,40,3,142688954,1352,1,0,39,49,10,14,158,675,0,0,0,27140780,2200425,2538457148,0,675,389,2,1,14,14,464,1,2541091632,2491433144,75547035,193048249,193048249,1,2,1,8493402060,73389,73389,14,14,14,193031865,8,3,542769,828718,1979776,19406,2541091632,811551,25162012,1887
723754.48,253952,62,152920,10074543214,27,39896291,0,275,35,35,5930,139,675,897243,20,38882,40,3,143207792,1352,1,0,39,49,10,14,158,675,0,0,0,31426224,2200703,2996042245,0,675,389,2,1,14,14,464,1,2997717968,2948871200,82594637,228614361,228614361,1,2,1,10058310988,73389,73389,14,14,14,228597977,8,3,550390,916815,2103524,22893,2997717968,897243,29323877,1887
725760.83,253952,62,167686,11047822282,33,46885703,0,319,36,36,5930,141,675,991953,20,43025,40,3,144004148,1352,1,0,39,50,10,14,158,675,0,0,0,34675954,2310170,3283076148,0,675,389,2,1,14,14,464,1,3281882064,3233262527,108995883,250736574,250736574,1,2,1,11032409256,73389,73389,14,14,14,250736574,8,3,559528,1013393,2220346,25061,3281882064,991953,32456903,1887
