timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
721496.70,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
723500.22,253952,62,23733,1562545158,0,0,0,0,30,30,5033,118,675,117775,18,2498,45,62,140034434,1352,1,0,44,44,13,14,170,675,0,0,0,2162858,123,508004109,0,675,233,2,1,14,14,291,1,511703856,460547629,2301939,35150923,35167307,1,2,1,1546640612,73389,73389,14,14,14,35150923,4,3,459504,119807,857866,3923,511703856,117775,1305081,1521
725513.25,253952,62,38620,2543488630,28,28886055,0,62,30,30,5033,120,675,190167,18,6665,45,62,140299886,1352,1,0,44,44,13,14,170,675,0,0,0,5482131,47773,797943938,0,675,233,2,1,14,14,291,1,798358320,747393163,61746900,57447327,57447327,1,2,1,2527682388,73389,73389,14,14,14,57447327,4,3,481597,194076,998804,6110,798358320,190167,4483550,1521
727522.52,253952,62,52710,3472199910,28,30578505,0,103,32,32,5033,122,675,305956,18,10619,45,62,140830790,1352,1,0,44,46,13,14,170,675,0,0,0,9374128,632996,1066783226,0,675,233,2,1,14,14,291,1,1069808432,1018866278,68218278,78555891,78555891,1,2,1,3455738308,73389,73389,14,14,14,78539507,4,3,490816,312259,1142193,8181,1069808432,305956,8232298,1521
729527.70,253952,62,61952,4081069046,31,34226672,0,127,32,32,5033,124,675,357410,18,13250,45,62,141096242,1352,1,0,44,46,13,14,170,675,0,0,0,11602395,639967,1247486044,0,675,233,2,1,14,14,291,1,1247148848,1196834683,74146973,92399039,92399039,1,2,1,4065557716,73389,73389,14,14,14,92399039,4,3,491185,364970,1203423,9534,1247148848,357410,10399431,1521
731534.40,253952,62,75809,4993979534,31,35182068,0,166,35,35,5033,126,675,474004,18,17138,45,62,141361694,1352,1,0,44,49,19,14,170,675,0,0,0,15461227,1256975,1511861442,0,675,233,2,1,14,14,291,1,1514142512,1463766822,79763786,113143281,113143281,1,2,1,4978304364,73389,73389,14,14,14,113143281,4,3,508469,483802,1366321,11571,1514142512,474004,14095494,1521
733544.03,253952,62,89744,5912267282,31,37601215,0,205,36,36,5033,128,675,598113,18,21051,45,62,141627146,1352,1,0,44,50,19,14,170,675,0,0,0,19495306,2107786,1780828818,0,675,233,2,1,14,14,291,1,1782446896,1732163032,87617366,134016436,134032820,1,2,1,5896723184,73389,73389,14,14,14,134016436,4,3,522489,610147,1544685,13618,1782446896,598113,17951343,1521
735549.36,253952,62,99839,6577304078,34,42788841,0,240,36,36,5033,130,675,663553,18,23912,45,62,141892598,1352,1,0,44,50,19,14,170,675,0,0,0,22018875,2241518,1976874026,0,675,233,2,1,14,14,291,1,1976826672,1926612961,95524109,149127185,149127185,1,2,1,6561596140,73389,73389,14,14,14,149127185,4,3,524984,677047,1614736,15101,1976826672,663553,20404957,1521
737556.61,253952,62,112710,7425596070,34,44306056,0,271,39,39,5033,132,675,759002,18,27533,45,62,142423502,1352,1,0,44,53,19,14,170,675,0,0,0,25451399,2702021,2221844882,0,675,233,2,1,14,14,291,1,2224552752,2174593856,101236629,168405059,168405059,1,2,1,7409822596,73389,73389,14,14,14,168405059,4,3,535139,774522,1741480,16991,2224552752,759002,23710860,1521
739569.76,253952,62,127013,8368001066,35,48254221,0,316,39,39,5033,134,675,876815,18,31544,45,62,142423502,1352,1,0,44,53,19,14,170,675,0,0,0,29546535,3489222,2500782271,0,675,233,2,1,14,14,291,1,2499935024,2449999705,110602166,189827078,189827078,1,2,1,8352391432,73389,73389,14,14,14,189827078,4,3,538063,895221,1889937,19092,2499935024,876815,27657791,1521
