timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
802436.31,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
804440.14,0,0,20011,1317280840,0,0,0,0,1,1,6688,117,603,119158,1,11,1868,6,0,124525652,1208,1,0,5,15,0,4,241,603,0,0,0,1982857,6428,432140449,0,602,349,1,2,1,14,14,430,1,433881284,388478586,1989861,29615734,29632118,1,2,1,1303092296,73389,73389,14,14,14,29615734,10,3,379473,121184,835667,3328,433881284,119158,1147275,1774
806450.10,253952,62,35318,2326026950,14,15840442,0,55,18,18,6688,119,675,239315,1,11,5711,23,159,140299886,1352,1,0,22,32,0,4,469,675,0,0,0,5928675,502886,733196011,0,674,385,1,2,1,14,14,430,1,734788400,683799577,22985468,52507995,52507995,1,2,1,2309630884,73389,73389,14,14,14,52491611,10,3,467374,243798,1161753,5625,734788400,239315,4767135,1976
808457.34,253952,62,49175,3239202890,15,20295205,0,103,19,19,6688,122,675,356435,1,11,9656,23,159,140830790,1352,1,0,22,33,0,4,469,675,0,0,0,9990920,1214755,999406729,0,674,385,1,2,1,14,14,430,1,1001388848,950703185,32680427,73250078,73266462,1,2,1,3223003432,73389,73389,14,14,14,73250078,10,3,478711,363293,1351593,7659,1001388848,356435,8639674,1976
810465.45,253952,62,63337,4172367310,15,22841546,0,149,19,19,6688,124,675,476420,1,11,13630,23,159,141096242,1352,1,0,22,33,0,4,469,675,0,0,0,14010087,1946926,1272175508,0,674,385,1,2,1,14,14,430,1,1274149680,1223538875,39567438,94459105,94475489,1,2,1,4156200620,73389,73389,14,14,14,94459105,10,3,482093,486418,1511693,9740,1274149680,476420,12498883,1976
812474.88,253952,62,77326,5093928550,16,26900907,0,197,20,20,6688,126,675,600712,1,11,17552,23,159,141361694,1352,1,0,22,34,0,4,469,675,0,0,0,18071206,2680397,1543501017,0,674,385,1,2,1,14,14,430,1,1543371568,1492977091,48476269,115416339,115416339,1,2,1,5077598020,73389,73389,14,14,14,115399955,10,3,486687,613103,1665527,11794,1543371568,600712,16406312,1976
814489.38,253952,62,91047,5998191594,16,29894163,0,253,21,21,6688,129,675,723319,1,11,21461,23,159,141627146,1352,1,0,22,35,0,4,469,675,0,0,0,22112275,3471355,1805646527,0,674,385,1,2,1,14,14,430,1,1807612720,1757270095,57579823,135953622,135970006,1,2,1,5981959368,73389,73389,14,14,14,135953622,10,3,494182,738117,1817299,13810,1807612720,723319,20295750,1976
816497.53,253952,62,105277,6935812462,17,33580944,0,297,21,21,6688,131,675,848244,1,11,25449,23,159,142158050,1352,1,0,22,35,0,4,469,675,0,0,0,26228407,4122806,2080911173,0,674,385,1,2,1,14,14,430,1,2081422128,2031447664,66244294,157260953,157277337,1,2,1,6919481932,73389,73389,14,14,14,157260953,10,3,505168,865463,1974769,15899,2081422128,848244,24254562,1976
818503.75,253952,62,119496,7872712434,17,36295101,0,347,21,21,6688,133,675,970216,1,11,29438,23,159,142423502,1352,1,0,22,35,0,4,469,675,0,0,0,30302558,4748133,2354869541,0,674,385,1,2,1,14,14,430,1,2355231536,2305268119,74594121,178568284,178568284,1,2,1,7857004496,73389,73389,14,14,14,178568284,10,3,511934,989947,2119543,17988,2355231536,970216,28184087,1976
820510.86,253952,62,133678,8807187574,17,39112449,0,392,21,21,6688,135,675,1091669,1,11,33417,23,159,142688954,1352,1,0,22,35,0,4,469,675,0,0,0,34336221,5351104,2626861340,0,674,385,1,2,1,14,14,430,1,2628123440,2578373263,82415925,199801887,199818271,1,2,1,8791283028,73389,73389,14,14,14,199801887,10,3,518804,1113834,2290371,20070,2628123440,1091669,32047080,1976
