timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
901571.05,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
903575.18,0,0,20458,1347106336,0,76960,4,1,1,37828,117,648,141196,15,1913,16,0,133912466,1298,1,0,15,15,0,14,208,648,0,0,0,1869094,43362,445507835,0,648,492,2,1,14,14,420,1,446857412,397274953,1990459,30283160,30299544,1,2,1,1332459040,73389,73389,14,14,14,30283160,10,3,152892,143625,474225,3427,446857412,141196,1394957,1950
905583.87,253952,62,37671,2481029514,10,10082873,14,21,21,37828,120,675,271565,15,6413,36,603,140299886,1352,1,0,35,35,0,14,904,675,0,0,0,6247660,1784373,772508908,0,675,504,2,1,14,14,420,1,780008240,729122898,27305909,56015886,56032270,1,2,1,2464698984,73389,73389,14,14,14,56015886,10,3,254636,276609,865876,5970,780008240,271565,5382097,2025
907587.56,253952,62,54627,3598363326,10,10082873,14,21,21,37828,123,675,392055,15,11198,36,603,140830790,1352,1,0,35,35,0,14,904,675,0,0,0,10653855,3420732,1100341026,0,675,504,2,1,14,14,420,1,1106377520,1055672248,42254338,81418773,81435157,1,2,1,3582426012,73389,73389,14,14,14,81418773,10,3,272344,400316,1053672,8460,1106377520,392055,9599645,2025
909591.05,253952,62,76821,5060832870,10,10082873,14,21,21,37828,126,675,468982,15,17414,36,603,141361694,1352,1,0,35,35,0,14,904,675,0,0,0,14650639,3421111,1530430728,0,675,504,2,1,14,14,420,1,1533672240,1483306635,48912724,114662675,114662675,1,2,1,5044436804,73389,73389,14,14,14,114646291,10,3,280076,479401,1164482,11720,1533672240,468982,13486797,2025
911594.53,253952,62,98547,6492366114,10,10082873,14,21,21,37828,130,675,548018,15,23561,36,603,141892598,1352,1,0,35,35,0,14,904,675,0,0,0,18845210,3434222,1947933061,0,675,504,2,1,14,14,420,1,1951660848,1901736572,59019123,147187840,147204224,1,2,1,6476264960,73389,73389,14,14,14,147187840,10,3,283288,560669,1273914,14909,1951660848,548018,17572110,2025
913597.96,253952,62,121554,8008381878,10,10082873,14,21,21,37828,133,675,630826,15,30002,36,603,142423502,1352,1,0,35,35,0,14,904,675,0,0,0,22756446,3434661,2389955339,0,675,504,2,1,14,14,420,1,2394684208,2344897108,64845748,181650191,181666575,1,2,1,7992608404,73389,73389,14,14,14,181650191,10,3,287530,645495,1376270,18289,2394684208,630826,21381175,2025
915601.67,253952,62,144249,9503684958,10,10082873,14,21,21,37828,137,675,713181,15,36410,36,603,142942340,1352,1,0,35,35,0,14,904,675,0,0,0,26764774,3434930,2828043033,0,675,504,2,1,14,14,420,1,2831416112,2782033569,70915942,215623181,215639565,1,2,1,9487419964,73389,73389,14,14,14,215623181,10,3,291540,729865,1485384,21621,2831416112,713181,25280564,2025
917610.76,253952,62,161818,10661133418,10,10082873,14,21,21,37828,140,675,818679,15,41377,36,603,143738696,1352,1,0,35,35,0,14,904,675,0,0,0,30921667,4828492,3165261115,0,675,504,2,1,14,14,420,1,3168766928,3120279579,123538379,241947446,241947446,1,2,1,10644966728,73389,73389,14,14,14,241931062,10,3,320645,837609,1693914,24198,3168766928,818679,29229052,2025
919624.61,253952,62,176198,11608584686,10,10082873,14,21,21,37828,142,675,958495,15,45411,36,603,144004148,1352,1,0,35,35,0,14,904,675,0,0,0,35269257,7354148,3441666540,0,675,504,2,1,14,14,420,1,3445722064,3397184419,139324606,263467769,263484153,1,2,1,11592581836,73389,73389,14,14,14,263467769,10,3,341011,982196,1930462,26311,3445722064,958495,33340200,2025
921629.75,253952,62,191393,12609978698,10,10082873,14,21,21,37828,145,675,1089603,15,49726,36,603,144535052,1352,1,0,35,35,0,14,904,675,0,0,0,39030402,9152220,3735765617,0,675,504,2,1,14,14,420,1,3738536912,3689926517,151357199,286228958,286245342,1,2,1,12594074152,73389,73389,14,14,14,286228958,10,3,367997,1115843,2166633,28545,3738536912,1089603,36865283,2025
