timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
909416.46,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
911419.99,253952,62,24397,1606326514,0,0,0,28,28,7872,118,675,114413,14,2678,43,123,140034434,1352,1,42,42,5,14,250,675,2206423,65,520755198,675,277,2,1,14,14,299,1,524417840,473345714,2391168,36156380,36156380,1,2,1,1590159824,73389,73389,14,14,14,36139996,5,3,466772,116539,782700,4020,524417840,114413,1423830,1443
913423.39,253952,62,46881,3087801498,0,0,0,28,28,7872,121,675,194465,14,8975,43,123,140565338,1352,1,42,42,5,14,250,675,6273779,162,954777641,675,277,2,1,14,14,299,1,957479728,906469748,8951964,69809882,69826266,1,2,1,3071634808,73389,73389,14,14,14,69809882,5,3,477796,198701,889368,7324,957479728,194465,5384703,1443
915427.11,253952,62,68911,4539788590,0,0,0,28,28,7872,125,675,275694,14,15203,43,123,141361694,1352,1,42,42,5,14,250,675,10376192,250,1379492256,675,277,2,1,14,14,299,1,1381628720,1330955659,18315733,102822249,102822249,1,2,1,4524178956,73389,73389,14,14,14,102822249,5,3,490529,282143,1009254,10560,1381628720,275694,9367396,1443
917438.91,253952,62,86845,5721216610,0,286708,33,28,28,7872,128,675,367631,14,20265,43,123,141627146,1352,1,42,42,5,14,250,675,14170083,962421,1720128600,675,277,2,1,14,14,299,1,1726217008,1676259889,104753707,129666928,129683312,1,2,1,5705344832,73389,73389,14,14,14,129666928,5,3,528064,376234,1193152,13189,1726217008,367631,12977537,1443
919451.23,253952,62,101863,6710745298,24,27458144,78,28,28,7872,130,675,464737,14,24490,43,123,141892598,1352,1,42,42,5,14,250,675,18334178,2334546,2014798806,675,277,2,1,14,14,299,1,2015886128,1965611285,193073639,152159940,152159940,1,2,1,6694316464,73389,73389,14,14,14,152143556,5,3,538972,475704,1363588,15399,2015886128,464737,16971348,1443
921456.86,253952,62,116349,7665408834,24,30093977,125,30,30,7872,133,675,548908,14,28578,43,123,142423502,1352,1,42,44,5,14,250,675,22033135,3303636,2294637143,675,277,2,1,14,14,299,1,2294545200,2244655640,201319086,173858328,173858328,1,2,1,7649766432,73389,73389,14,14,14,173858328,5,3,547415,562170,1479348,17525,2294545200,548908,20554684,1443
923462.18,253952,62,126387,8326710078,29,35818193,135,30,30,7872,134,675,593802,14,31373,43,123,142423502,1352,1,42,44,5,14,250,675,24158913,3339668,2487926905,675,277,2,1,14,14,299,1,2487876400,2437962321,209409438,188887157,188887157,1,2,1,8311034908,73389,73389,14,14,14,188887157,5,3,547895,608428,1517437,19000,2487876400,593802,22642466,1443
925467.82,253952,62,140334,9245784258,31,38765177,178,35,35,7872,137,675,687334,14,35342,43,123,142942340,1352,1,42,49,5,14,250,675,27815259,3919598,2755976501,675,277,2,1,14,14,299,1,2756311856,2706632599,216953881,209776696,209776696,1,2,1,9229453728,73389,73389,14,14,14,209760312,5,3,554634,704183,1644463,21048,2756311856,687334,26171920,1443
927474.60,253952,62,154761,10195991346,31,41677985,219,35,35,7872,139,675,794090,14,39386,43,123,143473244,1352,1,42,49,5,14,250,675,31826357,4463445,3033707401,675,277,2,1,14,14,299,1,3033107408,2984295904,224767460,231368588,231384972,1,2,1,10180217872,73389,73389,14,14,14,231368588,5,3,555308,813400,1758269,23163,3033107408,794090,30069367,1443
