timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
920943.04,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
922948.10,0,0,16047,1056168876,0,0,0,0,1,1,6576,117,1,486,124040,23,1499,16,0,100173026,974,1,0,15,15,14,90,486,0,0,0,1951243,25552,346155958,0,486,391,2,1,14,14,3590,1,347898052,311446532,1977635,23752865,23769249,1,2,1,1045126060,73389,73389,14,14,14,23752865,12,3,304791,126015,780159,2672,347898052,124040,1171170,1599
924957.06,253952,62,31733,2089753130,11,12132633,0,33,15,15,6576,119,1,675,244279,23,4733,30,27,140299886,1352,1,0,29,29,14,424,675,0,0,0,5399239,722316,663818346,0,675,519,2,1,14,14,3590,1,665844528,614740600,20647111,47136646,47136646,1,2,1,2073291528,73389,73389,14,14,14,47120262,12,3,469033,248567,1272535,5099,665844528,244279,4126993,2212
926963.82,253952,62,46179,3041529774,12,15236904,0,70,15,15,6576,121,1,675,368836,23,8783,30,27,140565338,1352,1,0,29,29,14,424,675,0,0,0,9365330,1228991,943666630,0,675,519,2,1,14,14,3590,1,943717168,892938816,28405832,68771657,68771657,1,2,1,3025952908,73389,73389,14,14,14,68771657,12,3,473735,375537,1416590,7219,943717168,368836,7949175,2212
928972.52,253952,62,60157,3962635570,12,18057092,0,105,16,16,6576,124,1,675,491534,23,12761,30,27,140830790,1352,1,0,29,30,14,424,675,0,0,0,13195567,1851317,1210666383,0,675,519,2,1,14,14,3590,1,1212807984,1162193049,35776078,89693964,89710348,1,2,1,3946534416,73389,73389,14,14,14,89693964,12,3,488034,500653,1566836,9272,1212807984,491534,11629299,2212
930975.90,253952,62,80145,5279736342,12,19290552,0,119,20,20,6576,127,1,675,574332,23,18377,30,27,141361694,1352,1,0,29,34,14,424,675,0,0,0,17287528,2055771,1592123534,0,675,519,2,1,14,14,3590,1,1597242160,1547220933,45172231,119642967,119642967,1,2,1,5264290548,73389,73389,14,14,14,119642967,12,3,504330,585735,1689493,12205,1597242160,574332,15598777,2212
932986.63,253952,62,95975,6323011166,15,25183950,0,156,20,20,6576,129,1,675,680667,23,22805,30,27,141892598,1352,1,0,29,34,14,424,675,0,0,0,21244456,2559750,1900287767,0,675,519,2,1,14,14,3590,1,1902508848,1852208171,61489177,143352269,143352269,1,2,1,6307499836,73389,73389,14,14,14,143352269,12,3,513214,694441,1832977,14534,1902508848,680667,19412337,2212
934993.04,253952,62,110026,7248901090,16,29295549,0,184,20,20,6576,132,1,675,795691,23,26801,30,27,142423502,1352,1,0,29,34,14,424,675,0,0,0,25250817,2944327,2171882453,0,675,519,2,1,14,14,3590,1,2173041456,2122930095,70395624,164389264,164389264,1,2,1,7232406720,73389,73389,14,14,14,164372880,12,3,522501,811981,1989290,16598,2173041456,795691,23262531,2212
936997.91,253952,62,121696,8017687990,18,32788137,0,225,20,20,6576,133,1,675,875959,23,30038,30,27,142423502,1352,1,0,29,34,14,424,675,0,0,0,28178198,3079174,2398229569,0,675,519,2,1,14,14,3590,1,2397436720,2347651011,77925683,181863183,181863183,1,2,1,8001980052,73389,73389,14,14,14,181863183,12,3,524598,893952,2090164,18310,2397436720,875959,26089168,2212
939001.65,253952,62,134391,8854180194,18,34225210,0,239,25,25,6576,136,1,675,938184,23,33668,30,27,142688954,1352,1,0,29,39,14,424,675,0,0,0,30974767,3104953,2640697209,0,675,519,2,1,14,14,3590,1,2641886000,2592166801,82594766,200864688,200881072,1,2,1,8838046272,73389,73389,14,14,14,200864688,12,3,530430,957762,2159233,20175,2641886000,938184,28816793,2212
