timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
939588.61,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
941592.37,253952,62,23517,1548389382,0,0,0,0,15,15,4791,118,675,116871,22,2438,30,47,140034434,1352,1,0,29,29,9,14,583,675,0,0,0,2122603,52,503285349,0,675,254,2,1,14,14,312,1,507640624,456409166,2311455,34839627,34839627,1,2,1,1532222692,73389,73389,14,14,14,34823243,6,3,448338,118961,787439,3892,507640624,116871,1335258,1613
943596.31,253952,62,46102,3036483502,0,0,0,0,15,15,4791,121,675,200349,22,8762,30,47,140565338,1352,1,0,29,29,9,14,583,675,0,0,0,6202441,222,938750968,0,675,254,2,1,14,14,312,1,942406448,891503423,8869090,68640585,68656969,1,2,1,3020185740,73389,73389,14,14,14,68640585,6,3,457085,204477,915455,7209,942406448,200349,5287256,1613
945600.07,253952,62,68127,4488142914,0,0,0,0,15,15,4791,125,675,280616,22,14990,30,47,141361694,1352,1,0,29,29,9,14,583,675,0,0,0,10283806,383,1362677426,0,675,254,2,1,14,14,312,1,1366031152,1315831203,19791151,101636568,101652952,1,2,1,4472008992,73389,73389,14,14,14,101636568,6,3,466883,286945,1023606,10441,1366031152,280616,9260644,1613
947604.50,253952,62,90344,5951854334,0,0,0,2,15,15,4791,128,675,362607,22,21215,30,47,141627146,1352,1,0,29,29,9,14,583,675,0,0,0,14462793,459,1792898823,0,675,254,2,1,14,14,312,1,1793981232,1743686161,37088563,134907205,134923589,1,2,1,5935917020,73389,73389,14,14,14,134907205,6,3,483869,371280,1170127,13706,1793981232,362607,13293279,1613
949608.46,253952,62,112643,7421205158,2,2000334,0,2,15,15,4791,132,675,444172,22,27515,30,47,142423502,1352,1,0,29,29,9,14,583,675,0,0,0,18555698,511,2222073605,0,675,254,2,1,14,14,312,1,2223373104,2173299038,54175028,168306755,168306755,1,2,1,7405497220,73389,73389,14,14,14,168306755,6,3,491139,454905,1292622,16982,2223373104,444172,17263867,1613
951612.62,253952,62,135066,8898682446,2,2000334,0,2,15,15,4791,136,675,525888,22,33852,30,47,142942340,1352,1,0,29,29,9,14,583,675,0,0,0,22614846,641,2652950875,0,675,254,2,1,14,14,312,1,2654862128,2605167534,62878169,201886529,201886529,1,2,1,8883007276,73389,73389,14,14,14,201886529,6,3,497400,538645,1405658,20274,2654862128,525888,21210141,1613
953615.69,253952,62,157933,10405198798,2,2000334,0,2,15,15,4791,140,675,604171,22,40304,30,47,143738696,1352,1,0,29,29,9,14,583,675,0,0,0,26613166,720,3093371045,0,675,254,2,1,14,14,312,1,3094318032,3045426224,68919124,236133729,236133729,1,2,1,10389163180,73389,73389,14,14,14,236117345,6,3,501324,618854,1508217,23630,3094318032,604171,25106071,1613
955618.71,253952,62,180359,11882607242,2,2000334,0,2,15,15,4791,143,675,685039,22,46586,30,47,144004148,1352,1,0,29,29,9,14,583,675,0,0,0,30744323,751,3525297069,0,675,254,2,1,14,14,312,1,3525807056,3477292007,74904009,269699278,269715662,1,2,1,11866768232,73389,73389,14,14,14,269699278,6,3,505214,701971,1614758,26922,3525807056,685039,29130864,1613
957621.94,253952,62,202546,13344618034,2,2000334,0,2,15,15,4791,147,675,763146,22,52856,30,47,144800504,1352,1,0,29,29,9,14,583,675,0,0,0,34813181,836,3952895159,0,675,254,2,1,14,14,312,1,3952970704,3904674518,85692802,302934988,302934988,1,2,1,13328418576,73389,73389,14,14,14,302918604,6,3,512762,782212,1726254,30181,3952970704,763146,33088398,1613
