timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
987323.10,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
989326.32,253952,62,24420,1607833842,0,0,0,2,28,28,7966,118,675,117854,21,2684,43,93,140034434,1352,1,0,42,42,16,14,187,675,0,0,0,2173061,24,522685957,0,675,197,2,1,14,14,294,1,524811056,473797433,2274107,36189148,36189148,1,2,1,1591601616,73389,73389,14,14,14,36172764,4,3,458369,119916,789680,4023,524811056,117854,1383467,1421
991329.50,253952,62,47803,3148756594,2,2000131,0,2,28,28,7966,122,675,197244,21,9231,43,93,140565338,1352,1,0,42,42,16,14,187,675,0,0,0,6131726,68,973884893,0,675,197,2,1,14,14,294,1,975174448,924290660,10337908,71206396,71206396,1,2,1,3133081424,73389,73389,14,14,14,71206396,4,3,463674,201173,894574,7459,975174448,197244,5237415,1421
993332.69,253952,62,70993,4676783545,2,2000131,0,2,28,28,7966,125,675,275078,21,15773,43,93,141361694,1352,1,0,42,42,16,14,187,675,0,0,0,10059222,106,1419705549,0,675,197,2,1,14,14,294,1,1421605680,1371008115,16319435,105930891,105947275,1,2,1,4660959204,73389,73389,14,14,14,105930891,4,3,466679,280844,992567,10865,1421605680,275078,9067092,1421
995342.19,253952,62,87103,5738124898,23,25916881,0,66,32,32,7966,128,675,402627,21,20333,43,93,141627146,1352,1,0,42,46,16,14,187,675,0,0,0,14344965,796704,1725383677,0,675,197,2,1,14,14,294,1,1731853104,1681215450,151195958,130060144,130060144,1,2,1,5721925440,73389,73389,14,14,14,130043760,4,3,500691,410866,1207668,13232,1731853104,402627,13137885,1421
997352.05,253952,62,100892,6646844390,26,33074219,0,106,32,32,7966,130,675,523652,21,24200,43,93,141892598,1352,1,0,42,46,16,14,187,675,0,0,0,18544374,2328046,1994995153,0,675,197,2,1,14,14,294,1,1996880688,1946926781,165311042,150695731,150712115,1,2,1,6630612164,73389,73389,14,14,14,150695731,4,3,505994,534367,1380664,15254,1996880688,523652,17164428,1421
999358.10,253952,62,114281,7529349482,28,37471437,0,143,33,33,7966,132,675,649611,21,27962,43,93,142423502,1352,1,0,42,47,16,14,187,675,0,0,0,22394077,3265996,2253464491,0,675,197,2,1,14,14,294,1,2254961456,2204872779,175625370,170766070,170766070,1,2,1,7513707080,73389,73389,14,14,14,170766070,4,3,510480,668829,1541371,17223,2254961456,649611,20853557,1421
1001367.35,253952,62,127510,8400572458,28,40858418,0,181,33,33,7966,134,675,772543,21,31701,43,93,142423502,1352,1,0,42,47,16,14,187,675,0,0,0,26378998,4690530,2509435590,0,675,197,2,1,14,14,294,1,2509503280,2459565750,183510738,190564358,190564358,1,2,1,8384831752,73389,73389,14,14,14,190564358,4,3,516755,794025,1713386,19165,2509503280,772543,24666578,1421
1003371.91,253952,62,136860,9017050386,31,45506904,0,218,33,33,7966,136,675,831616,21,34338,43,93,142942340,1352,1,0,42,47,16,14,187,675,0,0,0,28769454,4775570,2689617515,0,675,197,2,1,14,14,294,1,2689596208,2639792694,192745899,204575220,204575220,1,2,1,9001309680,73389,73389,14,14,14,204575220,4,3,517614,854522,1779282,20539,2689596208,831616,26991229,1421
1005376.31,253952,62,146477,9650495522,31,47131883,0,281,33,33,7966,138,675,890086,21,37041,43,93,142942340,1352,1,0,42,47,16,14,187,675,0,0,0,31030969,4789012,2875561728,0,675,197,2,1,14,14,294,1,2874538800,2824954465,196652442,218975424,218975424,1,2,1,9634918656,73389,73389,14,14,14,218975424,4,3,521575,914357,1850357,21950,2874538800,890086,29181757,1421
