timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1160333.95,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
1162339.81,6,253952,62,37397,2461914314,2,4578000,0,188,14,14,2397,296,0,576,342231,2,16,14668,20,126,104370326,1154,1,0,4,756,46430817,7,185529396,19,28,5,3284,576,0,0,20838655,628476,806907121,0,574,583,2,3,1,14,14,1348,3,807974458,777913316,26101368,47143123,47175891,1,3,1,2451442428,73389,73389,14,14,14,47143127,11,3,122171,349518,658307,6766,807974458,342231,20180126,1954
1164344.10,6,253952,62,66493,4379042068,8,11238141,0,303,14,14,2397,487,0,576,523495,2,16,26118,20,126,107145506,1154,1,0,4,756,82689991,7,330695208,19,28,5,3284,576,0,0,33585772,629829,1415203497,0,574,583,2,3,1,14,14,1348,3,1415234425,1381325485,45508028,84034180,84050564,1,3,1,4368925424,73389,73389,14,14,14,84017800,11,3,130987,535201,893274,11813,1415234425,523495,32693782,1954
1166351.31,17,253952,62,99531,6556479492,8,12721843,0,484,19,19,2397,681,0,576,802278,2,16,39118,20,126,110922164,1154,1,0,4,756,124058463,7,496104492,19,33,5,3284,576,0,0,51588793,964785,2096729786,0,574,583,2,3,1,14,14,1348,3,2096902248,2067003339,65295419,125893019,125909403,1,3,1,6545585052,73389,73389,14,14,14,125876639,11,3,162720,820239,1301154,17433,2096902248,802278,50289574,1954
1168357.15,22,253952,62,130022,8565428144,9,16795788,0,672,19,19,2397,882,2,585,1075502,2,16,51149,20,126,113943908,1172,1,0,4,756,162138217,7,648552868,19,33,5,3284,585,0,0,68634090,1283070,2730292294,0,583,593,2,3,1,14,14,1348,3,2728208249,2699519879,86695039,164518621,164551389,1,3,1,8554968324,73389,73389,14,14,14,164518625,11,3,171539,1099580,1598163,22678,2728208249,1075502,67038450,1988
1170368.01,24,253952,62,161034,10608632832,9,18707023,0,853,19,19,2397,1088,3,621,1362702,4,16,63339,20,126,123630487,1244,1,0,4,756,200757044,7,803028176,19,33,5,3284,621,0,0,85900547,1713322,3379935410,0,617,631,4,3,1,14,14,1348,3,3378251327,3343518239,106281500,203770689,203787073,1,3,1,10596075860,73389,73389,14,14,14,203770693,11,3,192012,1393096,1918164,28092,3378251327,1362702,83985532,2124
1172374.38,26,253952,62,187296,12338837028,11,21936076,0,1007,20,20,2397,1258,3,630,1591816,4,16,73663,20,126,126058486,1262,1,0,4,756,233534736,7,934009792,19,34,5,3284,630,0,0,100875345,1999587,3945522089,0,626,640,4,3,1,14,14,1348,3,3943325094,3889731842,124744261,236951214,236967598,1,3,1,12321463160,73389,73389,14,14,14,236951218,11,3,207577,1627426,2210061,32788,3943325094,1591816,98668967,2161
1174378.74,28,253952,62,204727,13488120928,16,28145218,0,1085,20,20,2397,1369,4,639,1697662,4,16,80484,20,126,128515550,1280,1,0,4,756,255134555,7,1020538220,19,34,5,3284,639,0,0,108286710,2000574,4323812519,0,635,645,4,3,1,14,14,1348,3,4321295527,4252928311,138358484,258972964,258989348,1,3,1,13465742192,73389,73389,14,14,14,258956584,11,3,212969,1735926,2330085,35937,4321295527,1697662,105960605,2184
1176384.16,28,253952,62,221472,14592133416,18,31545530,0,1140,24,24,2397,1477,4,648,1799272,4,16,87060,20,126,130653172,1298,1,0,4,756,275990173,7,1103896296,19,38,5,3284,648,0,0,115596235,2003085,4692078629,0,644,645,4,3,1,14,14,1348,3,4687871949,4601899401,149073731,280089720,280106104,1,3,1,14564665472,73389,73389,14,14,14,280089724,11,3,222460,1840237,2456960,38994,4687871949,1799272,113143536,2205
1178397.31,29,253952,62,243776,16060463470,18,34008625,0,1279,26,26,2397,1612,5,720,1999846,4,16,95808,20,126,143581871,1442,1,0,4,756,303729895,7,1214855044,19,40,5,3284,720,0,0,128395486,2335352,5178234065,0,716,730,4,3,1,14,14,1348,3,5175036755,5066387286,164640453,308177424,308193808,1,3,1,16025226080,73389,73389,14,14,14,308177428,11,3,243726,2045270,2722984,43023,5175036755,1999846,125677202,2479
