timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
184540.09,2,249856,61,18743,1234350116,6,6867269,113,10,10,1258,169,0,558,140963,0,20,7323,18,68,98594367,1118,1,0,4,2894,23187222,8,92555156,17,24,7,7600,558,0,0,8624932,221681,422104755,0,558,492,0,3,1,14,14,3533,3,423468354,391471092,15718489,23551939,23551939,1,3,1,1224700860,73389,73389,14,14,14,23551943,9,3,83344,144018,318422,3557,423468354,140963,8306849,1893
186544.38,4,253952,62,37086,2441870466,8,9702389,203,13,13,1258,301,0,558,255999,0,20,14564,18,68,100199145,1118,1,0,4,2894,46106289,8,184425156,17,27,7,7600,558,0,0,16665611,241029,800228464,0,558,492,0,3,1,14,14,3533,3,799961479,771600408,26582581,46780516,46780516,1,3,1,2432586864,73389,73389,14,14,14,46780520,9,3,94851,262007,480333,6713,799961479,255999,16185925,1893
188557.39,6,253952,62,59330,3907134170,9,11995144,295,16,16,1258,424,0,576,433440,0,20,23297,18,68,106542206,1154,1,0,4,2894,73837926,8,295222288,17,30,7,7600,576,0,0,28351541,579013,1266251481,0,576,508,0,3,1,14,14,3533,3,1266072959,1233056934,40956880,74941948,74958332,1,3,1,3896981328,73389,73389,14,14,14,74941952,9,3,117757,443623,727811,10546,1266072959,433440,27624818,1961
190561.73,7,253952,62,79361,5227052990,10,14221282,415,16,16,1258,559,1,585,573944,0,20,31167,18,68,111141010,1172,1,0,4,2894,98820024,8,395280096,17,30,7,7600,585,0,0,38270387,710947,1681534532,0,585,516,0,3,1,14,14,3533,3,1680950459,1648458791,53253557,100344835,100344835,1,3,1,5217931452,73389,73389,14,14,14,100344839,9,3,124062,587618,883668,14002,1680950459,573944,37388198,1988
192567.75,7,253952,62,98233,6470810464,12,17735479,471,19,19,1258,682,2,585,701480,0,20,38624,18,68,114326434,1172,1,0,4,2894,122438490,8,489495604,17,33,7,7600,585,0,0,47051865,770184,2071539480,0,585,516,0,3,1,14,14,3533,3,2070912335,2040470127,65588894,124234361,124250745,1,3,1,6460186804,73389,73389,14,14,14,124234365,9,3,132344,718306,1063362,17237,2070912335,701480,45990326,1988
194575.08,8,253952,62,120804,7959374670,12,19498467,582,19,19,1258,832,2,585,882291,0,20,47534,18,68,116787898,1172,1,0,4,2894,150627886,8,602511544,17,33,7,7600,585,0,0,58957224,986522,2540042509,0,585,516,0,3,1,14,14,3533,3,2538576211,2508657434,79467997,152874359,152890743,1,3,1,7949466700,73389,73389,14,14,14,152874363,9,3,138682,903439,1298970,21120,2538576211,882291,57660539,1988
196589.85,8,253952,62,140306,9242815046,13,21950065,711,19,19,1258,952,2,585,1048258,0,20,55208,18,68,118380610,1172,1,0,4,2894,174982495,8,699929980,17,33,7,7600,585,0,0,69309813,1261401,2942275955,0,585,516,0,3,1,14,14,3533,3,2939908532,2912525236,92536924,177561112,177593880,1,3,1,9232325888,73389,73389,14,14,14,177544732,9,3,144186,1073123,1513685,24442,2939908532,1048258,67798804,1988
198595.32,8,253952,62,156484,10308112108,16,25987596,806,19,19,1258,1059,2,585,1156708,0,20,61522,18,68,118670194,1172,1,0,4,2894,195141844,8,780567376,17,33,7,7600,585,0,0,76712215,1326578,3278771971,0,585,516,0,3,1,14,14,3533,3,3277026951,3248222068,104030673,198047528,198047528,1,3,1,10297619520,73389,73389,14,14,14,198031148,9,3,150266,1184357,1643815,27246,3277026951,1156708,75071348,1988
200602.86,8,253952,62,172818,11387650764,16,26536292,885,22,22,1258,1163,2,594,1276114,0,20,68024,18,68,120169355,1190,1,0,4,2894,215651302,8,862475928,17,36,7,7600,594,0,0,84578382,1368268,3618846751,0,594,522,0,3,1,14,14,3533,3,3616407873,3588272029,112481268,218792597,218792597,1,3,1,11377215076,73389,73389,14,14,14,218792601,9,3,166040,1306688,1791542,30055,3616407873,1276114,82790086,2015
202614.78,9,253952,62,191620,12624250660,16,28777482,981,22,22,1258,1281,2,594,1430326,0,20,75407,18,68,120483071,1190,1,0,4,2894,239092666,8,956241376,17,36,7,7600,594,0,0,94377428,1514447,4009177155,0,594,522,0,3,1,14,14,3533,3,4006606132,3977713197,124662930,242568323,242568323,1,3,1,12613552828,73389,73389,14,14,14,242568327,9,3,172621,1464598,1978282,33285,4006606132,1430326,92402762,2015
