timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
56656.70,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
58670.06,6,253952,62,32310,2127205422,7,9245928,195,18,18,629,253,0,558,301848,0,16,12660,33,173,102009045,1118,1,0,4,4122,40124655,10,160369272,32,32,0,14,15926,558,0,0,18523610,498927,698299925,0,558,535,0,3,1,14,14,4780,3,699511187,672260514,28265220,40729231,40745615,1,3,1,2117068076,73389,73389,14,14,14,40712851,9,3,114255,308385,557475,5844,699511187,301848,17982756,1989
60680.58,11,253952,62,70578,4648940574,7,12527045,398,20,20,629,503,1,567,630779,0,16,27714,33,173,111351241,1136,1,0,4,4122,87835823,10,351084924,32,34,0,14,15926,567,0,0,40110349,958425,1496077153,0,567,544,0,3,1,14,14,4780,3,1496389248,1466544832,53533793,89188219,89220987,1,3,1,4637787420,73389,73389,14,14,14,89188223,9,3,139050,645032,995953,12463,1496389248,630779,39115796,2026
62686.15,12,253952,62,104034,6852927426,9,17443074,601,20,20,629,722,2,576,919285,0,16,40912,33,173,115326254,1154,1,0,4,4122,129703406,10,518619928,32,34,0,14,15926,576,0,0,59182004,1362947,2189357920,0,576,553,0,3,1,14,14,4780,3,2188734709,2160450517,77895020,131602399,131602399,1,3,1,6843324780,73389,73389,14,14,14,131602403,9,3,155184,940155,1369514,18217,2188734709,919285,57814564,2059
64698.67,15,253952,62,133549,8798492110,11,21420776,761,20,20,629,912,10,585,1172542,0,16,52492,33,173,118054828,1172,1,0,4,4122,166465637,10,665797744,32,34,0,14,15926,585,0,0,75924624,1719533,2802917636,0,585,563,0,3,1,14,14,4780,3,2801987462,2773004967,98816644,169003075,169019459,1,3,1,8788159932,73389,73389,14,14,14,169003079,9,3,178308,1199155,1705317,23309,2801987462,1172542,74221967,2093
66703.72,17,253952,62,155180,10223371674,15,26370866,874,20,20,629,1050,10,603,1324761,0,16,60932,33,173,121679685,1208,1,0,4,4122,193307900,10,773166820,32,34,0,14,15926,603,0,0,86585071,1780207,3258855506,0,603,575,0,3,1,14,14,4780,3,3257019219,3221909526,114539947,196392300,196392300,1,3,1,10211547664,73389,73389,14,14,14,196375920,9,3,187730,1355003,1870648,27086,3257019219,1324761,84717496,2142
68710.97,19,253952,62,177740,11710020450,16,28228017,989,25,25,629,1196,10,621,1500058,0,16,69858,33,173,125292837,1244,1,0,4,4122,221450961,10,885739168,32,39,0,14,15926,621,0,0,98294215,1888759,3734976516,0,621,590,0,3,1,14,14,4780,3,3732978498,3690649980,128287379,224918054,224934438,1,3,1,11694886872,73389,73389,14,14,14,224901674,9,3,225525,1534279,2149758,31036,3732978498,1500058,96147955,2212
70721.86,23,253952,62,204255,13457296286,16,30315193,1149,25,25,629,1364,12,674,1748508,0,16,80271,33,173,134809248,1350,1,0,4,4122,254537906,10,1018022692,32,39,0,14,15926,674,0,0,113757272,2247346,4299841540,0,674,640,0,3,1,14,14,4780,3,4299005491,4242044968,146165771,258430133,258446517,1,3,1,13438366948,73389,73389,14,14,14,258430137,9,3,234164,1788193,2456811,35740,4299005491,1748508,111304478,2408
72726.04,23,253952,62,229934,15146949682,16,32062742,1299,25,25,629,1526,12,756,1971664,0,16,90283,33,173,149062775,1514,1,0,4,4122,286207796,10,1144831184,32,39,0,14,15926,756,0,0,127790578,2435567,4859311714,0,756,702,0,3,1,14,14,4780,3,4857193953,4776750759,162121771,290765167,290765167,1,3,1,15118936748,73389,73389,14,14,14,290748787,9,3,241820,2016445,2701737,40390,4857193953,1971664,125093352,2690
74736.54,24,253952,62,251319,16555198720,21,37528997,1365,30,30,629,1667,12,909,2115757,0,16,98699,33,173,176504880,1820,1,0,4,4122,312861537,10,1251381420,32,44,0,14,15926,909,0,0,137604495,2476378,5348798203,0,909,799,0,3,1,14,14,4780,3,5345904408,5223700024,177349308,317585270,317601654,1,3,1,16514434072,73389,73389,14,14,14,317585274,9,3,269446,2164245,2938881,44480,5345904408,2115757,134669485,3113
