timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
592781.77,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
594786.04,3,253952,62,16121,1061259860,0,954706,0,72,6,6,5026,155,1,558,125487,0,8,6294,18,27,97641153,1118,1,0,4,370,19917102,5,79603664,17,20,11,676,558,0,0,8201131,85421,366029833,0,558,306,0,3,1,14,14,838,3,367031624,336848807,9218608,20234623,20234623,1,3,1,1052200428,73389,73389,14,14,14,20234627,5,3,89346,128354,299558,3088,367031624,125487,7901888,1348
596790.25,4,253952,62,30001,1976534362,3,4520225,0,142,7,7,5026,251,1,558,204441,0,8,11779,18,27,99209733,1118,1,0,4,370,37276263,5,149040312,17,21,11,676,558,0,0,13959882,85807,657145868,0,558,306,0,3,1,14,14,838,3,656874693,625227504,18552764,37824945,37824945,1,3,1,1966897172,73389,73389,14,14,14,37824949,5,3,97727,209402,407272,5500,656874693,204441,13552164,1348
598799.63,4,253952,62,44463,2928695952,4,6381689,0,224,10,10,5026,329,1,558,294194,0,8,17459,19,27,101079963,1118,1,0,4,370,55322244,5,221224540,18,24,11,693,558,0,0,20320855,119675,951472538,0,558,306,0,3,1,14,14,838,3,951495130,924595939,26808650,56144799,56161183,1,3,1,2918677612,73389,73389,14,14,14,56128419,5,3,106197,301412,532211,7916,951495130,294194,19789440,1348
600808.52,5,253952,62,61519,4051919734,5,8591551,0,337,10,10,5026,464,1,567,445966,0,8,24182,19,27,105125185,1136,1,0,4,370,76553510,5,306149444,18,24,11,693,567,0,0,29660738,488689,1314692950,0,567,320,0,3,1,14,14,838,3,1314622183,1279343098,38705631,77661248,77694016,1,3,1,4038384928,73389,73389,14,14,14,77661252,5,3,112309,456598,694047,10970,1314622183,445966,28967832,1380
602821.37,6,253952,62,78425,5165144192,5,9573520,0,443,11,11,5026,545,3,567,605946,0,8,30794,19,27,106971283,1136,1,0,4,370,97613555,5,390389688,18,25,11,693,567,0,0,38865075,851294,1676734099,0,567,320,0,3,1,14,14,838,3,1675548518,1630412027,49214088,99038433,99071201,1,3,1,5149998548,73389,73389,14,14,14,99038437,5,3,118290,620010,872622,13903,1675548518,605946,37993936,1380
604826.17,7,253952,62,96192,6335844888,6,12042595,0,527,12,12,5026,675,3,567,761061,0,8,37764,20,27,109191427,1136,1,0,4,370,119684552,5,478738208,19,26,11,707,567,0,0,48246259,1009284,2048541500,0,567,320,0,3,1,14,14,838,3,2048580645,1999840186,61224214,121490485,121523253,1,3,1,6317505252,73389,73389,14,14,14,121490489,5,3,126252,778516,1052308,17017,2048580645,761061,47195780,1380
606837.22,7,253952,62,110659,7290819754,9,15523304,0,597,15,15,5026,773,3,576,856114,0,8,43491,20,27,112478678,1154,1,0,4,370,137802830,5,551146756,19,29,11,707,576,0,0,54662129,1026604,2359638441,0,576,327,0,3,1,14,14,838,3,2357842753,2300874803,71149843,139834027,139866795,1,3,1,7270517468,73389,73389,14,14,14,139817647,5,3,138117,875886,1179326,19588,2357842753,856114,53484885,1411
608848.45,7,253952,62,128768,8482678898,9,17175010,0,687,15,15,5026,872,3,576,1023463,0,8,50601,20,27,114373040,1154,1,0,4,370,160447907,5,641662172,19,29,11,707,576,0,0,64785310,1310472,2735771903,0,576,327,0,3,1,14,14,838,3,2733629888,2676273599,83189489,162769851,162769851,1,3,1,8464032284,73389,73389,14,14,14,162769855,5,3,143023,1046972,1375987,22672,2733629888,1023463,63411768,1411
610857.03,11,253952,62,147001,9685077706,9,18802307,0,799,15,15,5026,991,3,585,1185463,0,8,57783,20,27,118044081,1172,1,0,4,370,183197722,5,732661556,19,29,11,707,585,0,0,74880241,1652935,3114823764,0,585,339,0,3,1,14,14,838,3,3113236356,3054979972,95257109,185876819,185893203,1,3,1,9665594620,73389,73389,14,14,14,185876823,5,3,147559,1212614,1567682,25819,3113236356,1185463,73315354,1451
