timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1028806.21,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
1030809.94,253952,62,24200,1593415922,0,0,0,0,29,29,5236,118,675,117886,11,2624,44,47,140034434,1352,1,0,43,43,10,14,146,675,0,0,0,2216863,30,516527005,0,675,350,2,1,14,14,334,1,520616752,469579013,2428160,35861468,35861468,1,2,1,1577183696,73389,73389,14,14,14,35845084,6,3,468842,119960,799237,3991,520616752,117886,1417727,1634
1032813.38,253952,62,46686,3075021978,0,0,0,2,29,29,5236,121,675,186106,11,8921,44,47,140565338,1352,1,0,43,43,10,14,146,675,0,0,0,6204026,47,951205915,0,675,350,2,1,14,14,334,1,953678640,902737520,10817875,69531354,69531354,1,2,1,3059379576,73389,73389,14,14,14,69531354,6,3,474182,190228,913129,7295,953678640,186106,5291185,1634
1034816.93,253952,62,68540,4515209282,2,2000464,0,3,29,29,5236,125,675,261682,11,15104,44,47,141361694,1352,1,0,43,43,10,14,146,675,0,0,0,10256458,117,1373299867,0,675,350,2,1,14,14,334,1,1374419760,1323748713,22752679,102259160,102275544,1,2,1,4499403040,73389,73389,14,14,14,102259160,6,3,482818,267997,1025788,10505,1374419760,261682,9231128,1634
1036820.93,253952,62,90517,5963192062,3,3000525,0,3,29,29,5236,128,675,341289,11,21263,44,47,141627146,1352,1,0,43,43,10,14,146,675,0,0,0,14391653,166,1796965183,0,675,350,2,1,14,14,334,1,1797258032,1746992888,34723153,135169349,135185733,1,2,1,5947451356,73389,73389,14,14,14,135169349,6,3,487526,349900,1133961,13731,1797258032,341289,13258314,1634
1038825.26,253952,62,111983,7377685946,3,3000525,0,3,29,29,5236,132,675,425822,11,27335,44,47,142423502,1352,1,0,43,43,10,14,146,675,0,0,0,18609335,277,2210141807,0,675,350,2,1,14,14,334,1,2210790192,2160578467,48012467,167317682,167317682,1,2,1,7361978008,73389,73389,14,14,14,167317682,6,3,489359,436685,1239116,16886,2210790192,425822,17371013,1634
1040829.38,253952,62,133628,8803910774,3,3000525,0,3,29,29,5236,135,675,512544,11,33404,44,47,142688954,1352,1,0,43,43,10,14,146,675,0,0,0,22787507,335,2625419683,0,675,350,2,1,14,14,334,1,2627205936,2577430569,61076951,199736351,199736351,1,2,1,8787678548,73389,73389,14,14,14,199719967,6,3,501760,525689,1378550,20063,2627205936,512544,21409920,1634
1042833.57,253952,62,155493,10244229150,3,3000525,0,3,29,29,5236,139,675,591207,11,39584,44,47,143473244,1352,1,0,43,43,10,14,146,675,0,0,0,26869701,374,3046566230,0,675,350,2,1,14,14,334,1,3047263184,2998446047,68345139,232472349,232472349,1,2,1,10228783356,73389,73389,14,14,14,232472349,6,3,508221,606459,1493350,23271,3047263184,591207,25377473,1634
1044838.06,253952,62,177075,11666325210,3,3000525,0,3,29,29,5236,143,675,684794,11,45689,44,47,144004148,1352,1,0,43,43,10,14,146,675,0,0,0,31062178,422,3461183598,0,675,350,2,1,14,14,334,1,3462761424,3414104353,74499232,264792714,264792714,1,2,1,11650879416,73389,73389,14,14,14,264792714,6,3,508992,702192,1625661,26441,3462761424,684794,29437808,1634
1046842.56,253952,62,198395,13070991419,3,3000525,0,3,29,29,5236,146,675,779564,11,51671,44,47,144535052,1352,1,0,43,43,10,14,146,675,0,0,0,35333893,548,3871609171,0,675,350,2,1,14,14,334,1,3873016784,3824696066,90697222,296713830,296730214,1,2,1,13055408520,73389,73389,14,14,14,296713830,6,3,515323,799272,1748927,29571,3873016784,779564,33586425,1634
1048846.91,253952,62,219573,14466870354,3,3000525,0,3,29,29,5236,150,675,875256,11,57665,44,47,145331408,1352,1,0,43,43,10,14,146,675,0,0,0,39589652,630,4281246859,0,675,350,2,1,14,14,334,1,4281043920,4232745557,98421484,328442212,328442212,1,2,1,14451457328,73389,73389,14,14,14,328442212,6,3,515556,897208,1839005,32684,4281043920,875256,37752263,1634
1050851.22,253952,62,241066,15882868258,3,3000525,0,3,29,29,5236,153,675,972899,11,63695,44,47,145596860,1352,1,0,43,43,10,14,146,675,0,0,0,43788612,705,4693899164,0,675,350,2,1,14,14,334,1,4694445008,4646633733,106948596,360625472,360641856,1,2,1,15867520768,73389,73389,14,14,14,360625472,6,3,517933,997249,1970625,35838,4694445008,972899,41819775,1634
1052855.09,253952,62,262312,17282944222,3,3000525,0,3,29,29,5236,156,675,1070543,11,69650,44,47,146127764,1352,1,0,43,43,10,14,146,675,0,0,0,48093798,772,5101965508,0,675,350,2,1,14,14,334,1,5103520720,5056026952,120180528,392437933,392437933,1,2,1,17266548156,73389,73389,14,14,14,392421549,6,3,524796,1097296,2096631,38959,5103520720,1070543,45999128,1634
1054859.12,253952,62,283703,18692257454,3,3000525,0,3,29,29,5236,160,675,1161783,11,75707,44,47,146658668,1352,1,0,43,43,10,14,146,675,0,0,0,52333925,843,5516845621,0,675,350,2,1,14,14,334,1,5515086800,5467884465,127341318,424465545,424481929,1,2,1,18676483980,73389,73389,14,14,14,424465545,6,3,528538,1190838,2229553,42099,5515086800,1161783,50106502,1634
1056863.73,253952,62,304342,20051861630,3,3000525,0,3,29,29,5236,164,675,1264422,11,81557,44,47,147455024,1352,1,0,43,43,10,14,146,675,0,0,0,56697635,921,5911809157,0,675,350,2,1,14,14,334,1,5911845707,5865301921,136620279,455370853,455387237,1,2,1,20036317532,73389,73389,14,14,14,455370853,6,3,532567,1296004,2371737,45130,5911845707,1264422,54328195,1634
1058868.03,253952,62,325237,21428210254,3,3000525,0,3,29,29,5236,168,675,1360239,11,87476,44,47,147985928,1352,1,0,43,43,10,14,146,675,0,0,0,61038617,1277,6313878964,0,675,350,2,1,14,14,334,1,6313219433,6267598701,151261231,486661185,486677569,1,2,1,21413092140,73389,73389,14,14,14,486661185,6,3,539809,1394184,2492489,48199,6313219433,1360239,58548593,1634
1060873.22,253952,62,346248,22812471340,3,3000525,0,3,29,29,5236,172,675,1448921,11,93466,44,47,148782284,1352,1,0,43,43,10,14,146,675,0,0,0,65293670,1558,6717950719,0,675,350,2,1,14,14,334,1,6717386762,6672176215,161533715,518129582,518129582,1,2,1,22797701608,73389,73389,14,14,14,518129582,6,3,543953,1485160,2599134,51289,6717386762,1448921,62697169,1634
1062877.52,253952,62,367627,24221103060,3,3000525,0,3,29,29,5236,177,675,1530331,11,99571,44,47,149844092,1352,1,0,43,43,10,14,146,675,0,0,0,69394712,1605,7128894814,0,675,350,2,1,14,14,334,1,7128161091,7083866474,167542307,550136492,550152876,1,2,1,24206005648,73389,73389,14,14,14,550136492,6,3,550110,1568778,2702252,54429,7128161091,1530331,66695260,1634
