timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
127032.71,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
129036.82,0,0,22041,1450922220,0,0,0,0,1,1,4417,117,666,122540,4,14,2058,14,112,137527226,1334,1,0,13,15,0,12,158,666,0,0,0,1992581,16,477230818,0,662,326,4,2,1,14,14,375,1,478314692,427813152,1992784,32626072,32648489,1,2,1,1435547168,73389,73389,14,14,14,32626072,6,3,419525,124591,819197,3667,478314692,122540,1173470,1802
131042.05,253952,62,44131,2906781142,0,8855,0,10,26,26,4417,121,675,243140,4,14,8231,39,158,140565338,1352,1,0,38,40,7,12,259,675,0,0,0,6758239,487,897342648,0,671,330,4,2,1,14,14,375,1,904526640,853549958,21694943,65695783,65712167,1,2,1,2890614452,73389,73389,14,14,14,65695783,6,3,507382,248017,1122288,6920,904526640,243140,5636222,1822
133047.22,253952,62,65852,4337986706,10,10159447,0,26,26,26,4417,124,675,371101,4,14,14323,39,158,141096242,1352,1,0,38,40,7,12,259,675,0,0,0,11681199,736,1313562409,0,671,330,4,2,1,14,14,375,1,1322646320,1271903703,73100279,98229140,98245524,1,2,1,4322082160,73389,73389,14,14,14,98229140,6,3,558706,378836,1406018,10110,1322646320,371101,10275648,1822
135052.10,253952,62,87015,5732357730,19,19440519,0,42,26,26,4417,128,675,500154,4,14,20306,39,158,141627146,1352,1,0,38,40,7,12,259,675,0,0,0,17059686,1704,1729250682,0,671,330,4,2,1,14,14,375,1,1729887024,1679528008,105514473,129912688,129929072,1,2,1,5716158272,73389,73389,14,14,14,129912688,6,3,570907,510782,1575541,13217,1729887024,500154,15484798,1822
137056.81,253952,62,106953,7046181702,22,25092563,0,117,26,26,4417,131,675,610901,4,14,25907,39,158,142158050,1352,1,0,38,40,7,12,259,675,0,0,0,21579039,1890,2112832552,0,671,330,4,2,1,14,14,375,1,2113796912,2063714775,123487266,159779771,159779771,1,2,1,7029589028,73389,73389,14,14,14,159763387,6,3,572819,624207,1703811,16146,2113796912,610901,19876069,1822
139061.76,253952,62,127872,8424561942,22,26144564,0,128,33,33,4417,134,675,734832,4,14,31778,39,158,142423502,1352,1,0,38,47,7,12,259,675,0,0,0,26370713,79111,2513042525,0,671,330,4,2,1,14,14,375,1,2516319024,2466543142,133328000,191111063,191111063,1,2,1,8408165876,73389,73389,14,14,14,191094679,6,3,591344,750997,1892956,19217,2516319024,734832,24478776,1822
141066.14,253952,62,149456,9846789074,22,26144564,0,128,33,33,4417,138,675,856428,4,14,37886,39,158,143207792,1352,1,0,38,47,7,12,259,675,0,0,0,31279407,79221,2930717552,0,671,330,4,2,1,14,14,375,1,2931948336,2882286549,143634054,223439620,223439620,1,2,1,9830622384,73389,73389,14,14,14,223423236,6,3,598267,875468,2051432,22388,2931948336,856428,29229208,1822
143070.53,253952,62,171519,11300349030,22,26144564,0,128,33,33,4417,142,675,974295,4,14,44120,39,158,144004148,1352,1,0,38,47,7,12,259,675,0,0,0,36018118,79320,3352416115,0,671,330,4,2,1,14,14,375,1,3355544528,3307035471,153000554,256468371,256484755,1,2,1,11284608324,73389,73389,14,14,14,256468371,6,3,601643,996211,2181753,25623,3355544528,974295,33837800,1822
145074.80,253952,62,194817,12835435770,22,26144564,0,128,33,33,4417,146,675,1066506,4,14,50643,39,158,144535052,1352,1,0,38,47,7,12,259,675,0,0,0,40423884,79415,3802697460,0,671,330,4,2,1,14,14,375,1,3804335056,3755827350,161668205,291364898,291364898,1,2,1,12820055512,73389,73389,14,14,14,291364898,6,3,603986,1090798,2307572,29047,3804335056,1066506,38117934,1822
