timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
142547.93,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
144552.15,90112,22,22722,1495757358,0,0,0,23,23,4216,117,675,122294,2,11,2168,33,149,139503530,1352,1,0,32,37,10,9,243,675,0,0,0,2030819,33,488897420,0,673,341,2,2,1,14,14,391,0,1,492208324,440964339,2049693,33647913,33647913,1,2,1,0,1479787276,73389,73389,14,14,14,33631529,7,3,434808,124316,800953,3773,492208324,122294,1229959,1654
146556.00,253952,62,43807,2885282026,0,0,7,23,23,4216,121,675,219991,2,11,8138,33,149,140565338,1352,1,0,32,37,10,9,243,675,0,0,0,6461915,222,896932531,0,673,341,2,2,1,14,14,391,0,1,898366256,847284691,14295372,65214614,65230998,1,2,1,0,2869443016,73389,73389,14,14,14,65214614,7,3,471765,224513,972050,6873,898366256,219991,5490125,1654
148560.08,253952,62,65340,4304166822,7,7000750,7,23,23,4216,124,675,320310,2,11,14174,33,149,141096242,1352,1,0,32,37,10,9,243,675,0,0,0,10851390,415,1312479761,0,673,341,2,2,1,14,14,391,0,1,1312684848,1262063909,34696236,97469443,97469443,1,2,1,0,4288655492,73389,73389,14,14,14,97469443,7,3,474191,327392,1100402,10034,1312684848,320310,9751437,1654
150565.41,253952,62,86112,5672913270,7,7074653,30,23,23,4216,128,675,412017,2,11,20061,33,149,141627146,1352,1,0,32,37,10,9,243,675,0,0,0,15085629,567,1710713069,0,673,341,2,2,1,14,14,391,0,1,1712323376,1662136342,54265852,128579551,128579551,1,2,1,0,5657500244,73389,73389,14,14,14,128579551,7,3,478800,421484,1203257,13083,1712323376,412017,13882979,1654
152571.71,253952,62,97722,6437780076,21,22667481,47,24,24,4216,130,675,473100,2,11,23338,33,149,141892598,1352,1,0,32,38,10,9,243,675,0,0,0,17696238,1087,1936795984,0,673,341,2,2,1,14,14,391,0,1,1936063280,1885798252,131386682,145946974,145963358,1,2,1,0,6421666856,73389,73389,14,14,14,145946974,7,3,486291,484079,1296986,14790,1936063280,473100,16399978,1654
154583.60,253952,62,116019,7643516502,21,25038139,118,26,26,4216,133,675,608085,2,11,28492,33,149,142423502,1352,1,0,32,40,10,9,243,675,0,0,0,22431154,92657,2284961382,0,673,341,2,2,1,14,14,391,0,1,2288384816,2238272115,139359244,173344391,173360775,1,2,1,0,7627153204,73389,73389,14,14,14,173344391,7,3,489726,622032,1494813,17478,2288384816,608085,20937231,1654
156590.79,253952,62,134317,8849330530,21,28651620,167,27,27,4216,136,675,746461,2,11,33647,33,149,142688954,1352,1,0,32,41,10,9,243,675,0,0,0,27233682,368560,2639384011,0,673,341,2,2,1,14,14,391,0,1,2640444208,2590745871,148474507,200750000,200766384,1,2,1,0,8833000000,73389,73389,14,14,14,200750000,7,3,497954,763283,1686374,20164,2640444208,746461,25548331,1654
158598.20,253952,62,152951,10076574830,22,33636721,223,27,27,4216,139,675,882659,2,11,38893,33,149,143207792,1352,1,0,32,41,10,9,243,675,0,0,0,32261200,522007,2996027678,0,673,341,2,2,1,14,14,391,0,1,2998373328,2949425513,160651671,228663513,228663513,1,2,1,0,10060473676,73389,73389,14,14,14,228647129,7,3,508856,902456,1855127,22898,2998373328,882659,30407250,1654
160602.93,253952,62,164644,10847399962,25,37501973,244,27,27,4216,141,675,957377,2,11,42189,33,149,144004148,1352,1,0,32,41,10,9,243,675,0,0,0,35024689,548841,3223678526,0,673,341,2,2,1,14,14,391,0,1,3223292880,3174633088,167500978,246174074,246190458,1,2,1,0,10831659256,73389,73389,14,14,14,246174074,7,3,508980,978798,1925844,24614,3223292880,957377,33100142,1654
162607.62,253952,62,178747,11776432306,26,39856685,280,30,30,4216,143,675,1051014,2,11,46145,33,149,144004148,1352,1,0,32,44,10,9,243,675,0,0,0,38334545,586080,3494468123,0,673,341,2,2,1,14,14,391,0,1,3495005136,3446288683,173720413,267295148,267295148,1,2,1,0,11760986512,73389,73389,14,14,14,267295148,7,3,519346,1074445,2045510,26687,3495005136,1051014,36290464,1654
164614.18,253952,62,190968,12581860446,29,43026784,300,35,35,4216,145,675,1127620,2,11,49589,33,149,144535052,1352,1,0,32,49,10,9,243,675,0,0,0,41130146,658206,3730902850,0,673,341,2,2,1,14,14,391,0,1,3730410448,3681706640,180143124,285600333,285600333,1,2,1,0,12565693756,73389,73389,14,14,14,285583949,7,3,533678,1152759,2172189,28483,3730410448,1127620,38959502,1654
166620.55,253952,62,209953,13832963158,29,47252497,353,35,35,4216,148,675,1286346,2,11,54932,33,149,145065956,1352,1,0,32,49,10,9,243,675,0,0,0,45994971,953703,4095840016,0,673,341,2,2,1,14,14,391,0,1,4095708112,4047428609,192299244,314035975,314035975,1,2,1,0,13816862004,73389,73389,14,14,14,314019591,7,3,560187,1314360,2419340,31270,4095708112,1286346,43577327,1654
168628.00,253952,62,228009,15022652022,31,51763822,410,36,36,4216,151,675,1436195,2,11,60023,33,149,145596860,1352,1,0,32,50,10,9,243,675,0,0,0,50828483,1119725,4442545107,0,673,341,2,2,1,14,14,391,0,1,4443311056,4395173066,202401658,341066911,341083295,1,2,1,0,15006944084,73389,73389,14,14,14,341066911,7,3,569297,1467038,2607880,33922,4443311056,1436195,48221454,1654
170637.38,253952,62,244256,16092989906,32,55825016,472,37,37,4216,154,675,1587857,2,11,64623,33,149,145596860,1352,1,0,32,51,10,9,243,675,0,0,0,55326149,1623217,4755932054,0,673,341,2,2,1,14,14,391,0,1,4755917776,4708080913,212085972,365392772,365409156,1,2,1,0,16077281968,73389,73389,14,14,14,365392772,7,3,580062,1621444,2806577,36307,4755917776,1587857,52521223,1654
172642.19,253952,62,257141,16942199402,35,60146634,515,37,37,4216,156,675,1684435,2,11,68240,33,149,146127764,1352,1,0,32,51,10,9,243,675,0,0,0,58736806,1878124,5005211349,0,673,341,2,2,1,14,14,391,0,1,5004168144,4956416418,221328608,384695222,384695222,1,2,1,0,16926589768,73389,73389,14,14,14,384695222,7,3,583898,1719974,2903527,38201,5004168144,1684435,55835363,1654
174648.95,253952,62,270560,17826405122,35,61848077,542,39,39,4216,158,675,1787492,2,11,72015,33,149,146658668,1352,1,0,32,53,10,9,243,675,0,0,0,62198990,2100943,5262231777,0,673,341,2,2,1,14,14,391,0,1,5262248912,5214831594,226845523,404792296,404792296,1,2,1,0,17810140128,73389,73389,14,14,14,404775912,7,3,597392,1825093,3052838,40170,5262248912,1787492,59148357,1654
