timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
145354.14,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
147358.07,4096,1,22238,1464037934,0,0,0,0,33,33,4234,117,675,122293,29,2085,48,15,139503530,1352,1,0,47,47,10,14,732,675,0,0,0,1996446,16,482080958,0,675,334,2,1,14,14,351,1,483033284,431732359,1997102,32910633,32943401,1,2,1,1448067852,73389,73389,14,14,14,32910633,8,3,423357,124406,808724,3703,483033284,122293,1187913,1700
149362.80,253952,62,43851,2888165610,0,0,0,0,33,33,4234,121,675,219176,29,8150,48,15,140565338,1352,1,0,47,47,10,14,732,675,0,0,0,6286959,67,896013407,0,675,334,2,1,14,14,351,1,899152688,848128108,9759220,65280150,65296534,1,2,1,2872326600,73389,73389,14,14,14,65280150,8,3,470472,223693,997329,6879,899152688,219176,5289997,1700
151367.93,253952,62,65681,4326780050,0,0,0,0,33,33,4234,124,675,315261,29,14267,48,15,141096242,1352,1,0,47,47,10,14,732,675,0,0,0,10547753,156,1316926355,0,675,334,2,1,14,14,351,1,1319369520,1268650139,17515017,97983380,97983380,1,2,1,4311268720,73389,73389,14,14,14,97983380,8,3,473388,322232,1111198,10085,1319369520,315261,9437090,1700
153373.68,253952,62,86064,5669767542,0,232285,0,37,33,33,4234,128,675,420792,29,20048,48,15,141627146,1352,1,0,47,47,10,14,732,675,0,0,0,15048181,69284,1706384962,0,675,334,2,1,14,14,351,1,1711536944,1661212674,71058328,128497631,128514015,1,2,1,5653895764,73389,73389,14,14,14,128497631,8,3,501868,430290,1293198,13077,1711536944,420792,13755697,1700
155380.24,253952,62,104983,6916544878,28,31812104,0,63,34,34,4234,131,675,542312,29,25372,48,15,142158050,1352,1,0,47,48,10,14,732,675,0,0,0,19911558,339752,2073185534,0,675,334,2,1,14,14,351,1,2075786032,2025783244,228298830,156834969,156834969,1,2,1,6900738636,73389,73389,14,14,14,156834969,8,3,523514,554684,1504483,15856,2075786032,542312,18406960,1700
157386.47,253952,62,122921,8098235042,28,33294296,0,76,38,38,4234,134,675,671724,29,30428,48,15,142423502,1352,1,0,47,52,10,14,732,675,0,0,0,24696403,889589,2415052033,0,675,334,2,1,14,14,351,1,2421029680,2371138120,240113502,183679648,183696032,1,2,1,8081904512,73389,73389,14,14,14,183679648,8,3,549177,686847,1741687,18490,2421029680,671724,22955767,1700
159391.58,253952,62,142172,9366770330,28,33294296,0,77,38,38,4234,137,675,789905,29,35843,48,15,142942340,1352,1,0,47,52,10,14,732,675,0,0,0,29420050,1091949,2786297658,0,675,334,2,1,14,14,351,1,2791439152,2742033954,251077510,212524890,212524890,1,2,1,9351095160,73389,73389,14,14,14,212524890,8,3,566741,807820,1938890,21316,2791439152,789905,27482388,1700
161401.23,253952,62,163896,10798113582,29,34294442,0,80,38,38,4234,140,675,883204,29,41932,48,15,143738696,1352,1,0,47,52,10,14,732,675,0,0,0,33698893,1099595,3204693329,0,675,334,2,1,14,14,351,1,3209006032,3160285913,262976472,245062121,245062121,1,2,1,10782012428,73389,73389,14,14,14,245045737,8,3,574370,903572,2062275,24505,3209006032,883204,31638024,1700
163406.02,253952,62,176865,11652297198,37,42722944,0,101,38,38,4234,143,675,950510,29,45632,48,15,144004148,1352,1,0,47,52,10,14,732,675,0,0,0,36781201,1168556,3460011014,0,675,334,2,1,14,14,351,1,3458567120,3409982370,294967225,264475385,264475385,1,2,1,11636916940,73389,73389,14,14,14,264475385,8,3,577218,972548,2145321,26409,3458567120,950510,34637414,1700
