timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
171203.47,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
173208.41,0,0,20978,1380919604,0,0,0,0,1,1,6211,117,639,127915,27,1959,13,21,131875832,1280,1,0,12,15,15,11,1840,639,0,0,0,1994789,83,455472991,0,639,496,2,1,14,14,476,0,1,455508164,407235028,1995365,31047175,31063559,1,2,1,0,1366075700,73389,73389,14,14,14,31047175,9,3,399652,129974,814980,3493,455508164,127915,1179731,1918
175213.53,253952,62,38719,2549976694,11,11579215,0,26,20,20,6211,120,675,244189,27,6692,32,21,140299886,1352,1,0,31,34,40,11,1897,675,0,0,0,6291988,735494,795455496,0,675,525,2,1,14,14,476,0,1,800193328,749308612,32725174,57594783,57594783,1,2,1,0,2534170452,73389,73389,14,14,14,57594783,9,3,518822,248775,1212340,6124,800193328,244189,5079714,2034
177219.69,253952,62,49925,3288620342,18,20271045,0,44,20,20,6211,122,675,294709,27,9860,32,21,140830790,1352,1,0,31,34,40,11,1897,675,0,0,0,8801465,816507,1014703299,0,675,525,2,1,14,14,476,0,1,1015806768,965151973,45223056,74386607,74386607,1,2,1,0,3272289812,73389,73389,14,14,14,74370223,9,3,523422,300599,1277478,7769,1015806768,294709,7524146,2034
179227.74,253952,62,65956,4344802450,18,22065666,0,106,24,24,6211,124,675,415897,27,14346,32,21,141096242,1352,1,0,31,38,40,11,1897,675,0,0,0,12995268,1388861,1321039014,0,675,525,2,1,14,14,476,0,1,1324350256,1273941347,52429361,98392980,98392980,1,2,1,0,4328570224,73389,73389,14,14,14,98376596,9,3,541749,424268,1504995,10123,1324350256,415897,11490589,2034
181236.92,253952,62,81772,5386894318,20,26196645,0,154,25,25,6211,127,675,538510,27,18821,32,21,141361694,1352,1,0,31,39,40,11,1897,675,0,0,0,17500213,2274240,1628684008,0,675,525,2,1,14,14,476,0,1,1628830512,1578541155,62902150,122063481,122079865,1,2,1,0,5370793164,73389,73389,14,14,14,122063481,9,3,550712,549348,1698665,12446,1628830512,538510,15802014,2034
183241.82,253952,62,97199,6403492682,22,30755619,0,209,26,26,6211,130,675,651264,27,23212,32,21,141892598,1352,1,0,31,40,40,11,1897,675,0,0,0,21668830,2842962,1926368036,0,675,525,2,1,14,14,476,0,1,1926101808,1875795447,72942543,145176926,145176926,1,2,1,0,6387784744,73389,73389,14,14,14,145176926,9,3,562055,664487,1913574,14714,1926101808,651264,19755874,2034
185249.31,253952,62,108625,7156554250,24,34481733,0,233,26,26,6211,131,675,699123,27,26371,32,21,142158050,1352,1,0,31,40,40,11,1897,675,0,0,0,23972719,2851693,2146136654,0,675,525,2,1,14,14,476,0,1,2146171696,2095967969,79025327,162288238,162288238,1,2,1,0,7140682472,73389,73389,14,14,14,162288238,9,3,565773,713558,1971574,16393,2146171696,699123,22000856,2034
187255.97,253952,62,120710,7952804042,24,35921164,0,265,27,27,6211,133,675,766875,27,29771,32,21,142423502,1352,1,0,31,41,40,11,1897,675,0,0,0,26702292,2934054,2379554143,0,675,525,2,1,14,14,476,0,1,2378693424,2328612651,83330345,180382590,180398974,1,2,1,0,7936833960,73389,73389,14,14,14,180382590,9,3,574461,782912,2071996,18167,2378693424,766875,24631125,2034
189268.33,253952,62,135571,8932043578,24,37942165,0,307,29,29,6211,136,675,897683,27,33999,32,21,142942340,1352,1,0,31,43,40,11,1897,675,0,0,0,30660240,3992352,2662406590,0,675,525,2,1,14,14,476,0,1,2664692528,2614906650,91008560,202646226,202646226,1,2,1,0,8915713048,73389,73389,14,14,14,202629842,9,3,581827,916013,2231229,20349,2664692528,897683,28429973,2034
191273.56,253952,62,147070,9689623822,27,42205221,0,331,29,29,6211,138,675,955273,27,37235,32,21,143207792,1352,1,0,31,43,40,11,1897,675,0,0,0,33200287,4031056,2886110848,0,675,525,2,1,14,14,476,0,1,2885810992,2836378056,97881207,219866193,219866193,1,2,1,0,9674112492,73389,73389,14,14,14,219866193,9,3,583750,975033,2305312,22036,2885810992,955273,30896031,2034
193292.90,253952,62,160925,10602344318,27,44110363,0,367,32,32,6211,140,675,1058782,27,41120,32,21,143738696,1352,1,0,31,46,40,11,1897,675,0,0,0,36674774,5013220,3149799647,0,675,525,2,1,14,14,476,0,1,3151727568,3103050283,104968399,240614309,240614309,1,2,1,0,10587029596,73389,73389,14,14,14,240614309,9,3,602885,1081188,2503320,24068,3151727568,1058782,34172644,2034
195299.79,253952,62,175606,11569521922,28,47756282,0,405,33,33,6211,142,675,1182216,27,45237,32,21,144004148,1352,1,0,31,47,40,11,1897,675,0,0,0,40665622,6098376,3434888607,0,675,525,2,1,14,14,476,0,1,3434449872,3385776044,114468717,262593384,262593384,1,2,1,0,11553388000,73389,73389,14,14,14,262577000,9,3,608142,1206860,2679966,26225,3434449872,1182216,37986994,2034
197307.09,253952,62,190415,12545353586,29,51422267,0,446,35,35,6211,145,675,1303312,27,49437,32,21,144535052,1352,1,0,31,49,40,11,1897,675,0,0,0,44704473,7295137,3719193124,0,675,525,2,1,14,14,476,0,1,3719400400,3671028596,124300309,284758716,284775100,1,2,1,0,12529383504,73389,73389,14,14,14,284758716,9,3,618368,1330279,2914379,28399,3719400400,1303312,41791573,2034
199312.07,253952,62,201423,13270755654,33,56953329,0,467,35,35,6211,147,675,1360289,27,52549,32,21,144800504,1352,1,0,31,49,40,11,1897,675,0,0,0,47002612,7331474,3933062489,0,675,525,2,1,14,14,476,0,1,3931474896,3883065181,132198830,301257787,301257787,1,2,1,0,13255342628,73389,73389,14,14,14,301257787,9,3,618524,1388521,2968217,30017,3931474896,1360289,44035964,2034
201322.43,253952,62,215860,14221942474,33,59300917,0,512,39,39,6211,149,675,1472189,27,56607,32,21,145065956,1352,1,0,31,53,40,11,1897,675,0,0,0,50698426,8095886,4207917063,0,675,525,2,1,14,14,476,0,1,4209216464,4161164017,139008980,322876414,322876414,1,2,1,0,14205841320,73389,73389,14,14,14,322860030,9,3,640616,1502578,3178598,32136,4209216464,1472189,47521520,2034
203330.03,253952,62,231819,15273671442,35,63765329,0,573,40,40,6211,152,675,1602997,27,61064,32,21,145596860,1352,1,0,31,54,40,11,1897,675,0,0,0,55160860,8872556,4517135849,0,675,525,2,1,14,14,476,0,1,4516580304,4468568184,150042629,346782324,346782324,1,2,1,0,15258422256,73389,73389,14,14,14,346782324,9,3,648317,1635883,3406788,34481,4516580304,1602997,51755917,2034
205342.37,253952,62,247672,16318188142,36,67623670,0,627,43,43,6211,154,675,1728109,27,65552,32,21,145862312,1352,1,0,31,57,40,11,1897,675,0,0,0,59477912,9685417,4817036133,0,675,525,2,1,14,14,476,0,1,4821715920,4773908906,160422668,370518361,370534745,1,2,1,0,16302807884,73389,73389,14,14,14,370518361,9,3,670443,1763529,3643620,36809,4821715920,1728109,55836281,2034
207349.41,253952,62,263764,17378633398,38,73021395,0,691,43,43,6211,157,675,1856660,27,70103,32,21,146393216,1352,1,0,31,57,40,11,1897,675,0,0,0,64011498,10354993,5131234175,0,675,525,2,1,14,14,476,0,1,5131570128,5083918498,172038632,394604495,394620879,1,2,1,0,17362597780,73389,73389,14,14,14,394604495,9,3,679639,1894581,3886951,39173,5131570128,1856660,60126689,2034
209362.52,253952,62,279875,18440058386,39,76564721,0,750,44,44,6211,159,675,1981186,27,74606,32,21,146658668,1352,1,0,31,58,40,11,1897,675,0,0,0,68386661,11026630,5442299030,0,675,525,2,1,14,14,476,0,1,5441817552,5394176129,181162679,418741940,418741940,1,2,1,0,18423924464,73389,73389,14,14,14,418725556,9,3,685885,2021601,4131396,41540,5441817552,1981186,64257574,2034
211371.97,253952,62,295378,19460946050,42,82109282,0,799,47,47,6211,162,675,2109119,27,79000,32,21,146924120,1352,1,0,31,61,40,11,1897,675,0,0,0,72782295,11989085,5739322792,0,675,525,2,1,14,14,476,0,1,5739092811,5692591824,193660599,441939464,441955848,1,2,1,0,19445336416,73389,73389,14,14,14,441939464,9,3,710547,2151919,4386137,43812,5739092811,2109119,68398606,2034
213379.44,253952,62,310715,20471452874,43,87508139,0,861,49,49,6211,166,675,2229034,27,83401,32,21,147720476,1352,1,0,31,63,40,11,1897,675,0,0,0,77041527,12891794,6031524611,0,675,525,2,1,14,14,476,0,1,6033905001,5987908092,204682262,464903294,464919678,1,2,1,0,20455744936,73389,73389,14,14,14,464903294,9,3,724954,2274202,4612211,46068,6033905001,2229034,72431909,2034
215391.19,253952,62,327682,21589507582,45,92443916,0,900,50,50,6211,169,675,2358324,27,88208,32,21,148251380,1352,1,0,31,64,40,11,1897,675,0,0,0,81729965,13627187,6359090522,0,675,525,2,1,14,14,476,0,1,6360536425,6314713288,217115069,490330757,490330757,1,2,1,0,21573832412,73389,73389,14,14,14,490314373,9,3,741889,2406150,4878200,48560,6360536425,2358324,76854516,2034
217395.70,253952,62,339763,22385081312,48,96322331,0,922,50,50,6211,171,675,2417983,27,91642,32,21,148516832,1352,1,0,31,64,40,11,1897,675,0,0,0,84474598,13686641,6594276883,0,675,525,2,1,14,14,476,0,1,6592606218,6547220510,224634291,508416917,508416917,1,2,1,0,22370344348,73389,73389,14,14,14,508416917,9,3,747243,2467325,4980628,50337,6592606218,2417983,79496829,2034
