timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
215459.49,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,6,0,3,0,2097278,2,1,0,3,3,0,0,178,0,0,0,0,0,0,1488,0,0,0,0,2,1,14,14,467,1,0,0,65,0,0,1,2,1,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0
217463.83,0,0,20883,1374693684,0,0,0,0,1,1,5310,117,1,630,122160,2,10,1950,6,0,130104650,1262,1,0,5,15,0,4,2265,630,0,0,0,1993624,63,452458029,0,628,379,2,2,1,14,14,467,1,452624580,405296346,1994778,30916103,30932487,1,2,1,1360308532,73389,73389,14,14,14,30916103,13,3,398257,124296,864572,3471,452624580,122160,1129136,1631
219471.11,253952,62,39890,2627250254,21,23305913,0,42,38,38,5310,120,1,675,245403,2,10,7015,43,52,140299886,1352,1,0,42,52,7,4,2429,675,0,0,0,6679223,442502,819727754,0,673,396,2,2,1,14,14,467,1,822475568,771825655,46285044,59343553,59359937,1,2,1,2611116332,73389,73389,14,14,14,59343553,13,3,513227,250282,1269519,6294,822475568,245403,5409946,1737
221478.78,253952,62,57889,3813203566,28,30591164,0,50,38,38,5310,123,1,675,371277,2,10,12088,43,52,140830790,1352,1,0,42,52,7,4,2429,675,0,0,0,11635065,965481,1164603430,0,673,396,2,2,1,14,14,467,1,1169029936,1118533519,79785733,86308953,86308953,1,2,1,3797593932,73389,73389,14,14,14,86308953,13,3,550929,378887,1518832,8938,1169029936,371277,10116651,1737
223484.41,253952,62,75039,4943251362,28,31074255,0,65,38,38,5310,126,1,675,498466,2,10,16929,43,52,141361694,1352,1,0,42,52,7,4,2429,675,0,0,0,16365627,1927355,1494136241,0,673,396,2,2,1,14,14,467,1,1499331376,1448908385,104559735,111990368,112006752,1,2,1,4927576192,73389,73389,14,14,14,111990368,13,3,572482,508798,1723914,11458,1499331376,498466,14642288,1737
225489.27,253952,62,86153,5675600246,36,40804887,0,84,38,38,5310,128,1,675,550669,2,10,20072,43,52,141627146,1352,1,0,42,52,7,4,2429,675,0,0,0,18704464,1951776,1712203810,0,673,396,2,2,1,14,14,467,1,1713109808,1662923027,119955793,128628703,128645087,1,2,1,5659662932,73389,73389,14,14,14,128628703,13,3,577595,562341,1797816,13089,1713109808,550669,16907321,1737
227494.30,253952,62,97748,6439737398,36,42169529,0,118,38,38,5310,130,1,675,607541,2,10,23340,43,52,141892598,1352,1,0,42,52,7,4,2429,675,0,0,0,21150146,1951851,1936437756,0,673,396,2,2,1,14,14,467,1,1936587568,1886378946,123790694,146002159,146002159,1,2,1,6423108648,73389,73389,14,14,14,145979742,13,3,580499,620622,1870843,14794,1936587568,607541,19279077,1737
229499.28,253952,62,111059,7316865230,38,45397620,0,147,40,40,5310,132,1,675,692255,2,10,27081,43,52,142423502,1352,1,0,42,54,7,4,2429,675,0,0,0,24351779,2012842,2192683187,0,673,396,2,2,1,14,14,467,1,2192571184,2142790621,130435160,165935393,165935393,1,2,1,7301157292,73389,73389,14,14,14,165935393,13,3,592260,707314,1977954,16747,2192571184,692255,22374724,1737
231512.24,253952,62,123637,8145424270,38,46797543,0,176,42,42,5310,134,1,675,771391,2,10,30625,43,52,142423502,1352,1,0,42,56,7,4,2429,675,0,0,0,27357232,2194695,2433180015,0,673,396,2,2,1,14,14,467,1,2434661168,2384977524,135171746,184750641,184767025,1,2,1,8129028204,73389,73389,14,14,14,184750641,13,3,603577,788277,2078763,18594,2434661168,771391,25279484,1737
233524.80,253952,62,139422,9185749974,38,49256895,0,231,43,43,5310,136,1,675,900961,2,10,35039,43,52,142942340,1352,1,0,42,57,7,4,2429,675,0,0,0,31818743,3065229,2736883013,0,673,396,2,2,1,14,14,467,1,2738617136,2689076472,143853055,208410791,208410791,1,2,1,9170074804,73389,73389,14,14,14,208410791,13,3,614289,920455,2255261,20913,2738617136,900961,29564627,1737
