timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
23493.92,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
25497.96,253952,62,24043,1582861318,0,0,0,0,21,21,5723,118,675,121729,16,2582,36,43,140034434,1352,1,0,35,35,31,14,585,675,0,0,0,2207063,26,512594297,0,675,357,2,1,14,14,310,1,517602096,466497279,2341271,35609675,35626059,1,2,1,1566825700,73389,73389,14,14,14,35609675,6,3,461240,123832,800269,3968,517602096,121729,1406888,1689
27501.88,253952,62,48253,3178513246,0,0,0,0,21,21,5723,122,675,221924,16,9404,36,43,140830790,1352,1,0,35,35,31,14,585,675,0,0,0,6476566,135,977414813,0,675,357,2,1,14,14,310,1,983694128,932956758,8859720,71884173,71884173,1,2,1,3162903612,73389,73389,14,14,14,71884173,6,3,465283,226270,925223,7524,983694128,221924,5551616,1689
29505.97,253952,62,72584,4781564126,0,27682,0,2,21,21,5723,126,675,321114,16,16260,36,43,141361694,1352,1,0,35,35,31,14,585,675,0,0,0,10748093,336,1447480706,0,675,357,2,1,14,14,310,1,1452014384,1401628059,21557394,108318637,108318637,1,2,1,4766020028,73389,73389,14,14,14,108318637,6,3,471629,327723,1047727,11097,1452014384,321114,9700809,1689
31509.85,253952,62,97142,6399757130,0,27682,0,2,21,21,5723,130,675,423194,16,23135,36,43,141892598,1352,1,0,35,35,31,14,585,675,0,0,0,15006391,398,1922003955,0,675,357,2,1,14,14,310,1,1924922160,1874661908,27520708,145095006,145095006,1,2,1,6384180264,73389,73389,14,14,14,145095006,6,3,475117,432105,1167626,14705,1924922160,423194,13839383,1689
33513.90,253952,62,121554,8008381878,0,27682,0,2,21,21,5723,133,675,520873,16,30002,36,43,142423502,1352,1,0,35,35,31,14,585,675,0,0,0,19268935,555,2390889088,0,675,357,2,1,14,14,310,1,2394684208,2344897108,33604144,181650191,181666575,1,2,1,7992608404,73389,73389,14,14,14,181650191,6,3,481297,532078,1290156,18289,2394684208,520873,17979571,1689
35518.13,253952,62,145327,9574598218,4,4028154,0,6,21,21,5723,137,675,613195,16,36704,36,43,142942340,1352,1,0,35,35,31,14,585,675,0,0,0,23616940,1293,2850608404,0,675,357,2,1,14,14,310,1,2852387632,2802785223,81136382,217234846,217251230,1,2,1,9558333224,73389,73389,14,14,14,217234846,6,3,495340,626712,1427773,21781,2852387632,613195,22190135,1689
37521.51,253952,62,169587,11173202574,4,4028154,0,6,21,21,5723,141,675,703333,16,43538,36,43,144004148,1352,1,0,35,35,31,14,585,675,0,0,0,27804522,1345,3318152948,0,675,357,2,1,14,14,310,1,3318713296,3269935667,87440162,253572721,253589105,1,2,1,11157199724,73389,73389,14,14,14,253572721,6,3,501269,719047,1555419,25342,3318713296,703333,26250249,1689
39525.35,253952,62,193839,12771076110,4,4028154,0,9,21,21,5723,145,675,801783,16,50372,36,43,144535052,1352,1,0,35,35,31,14,585,675,0,0,0,32076206,1431,3785069044,0,675,357,2,1,14,14,310,1,3785460688,3737036989,109765057,289900689,289900689,1,2,1,12755630316,73389,73389,14,14,14,289900689,6,3,510726,819676,1713424,28903,3785460688,801783,30364097,1689
41529.37,253952,62,218158,14373340558,7,7028675,0,9,21,21,5723,149,675,901443,16,57224,36,43,145065956,1352,1,0,35,35,31,14,585,675,0,0,0,36315041,1569,4252774614,0,675,357,2,1,14,14,310,1,4253518800,4205388784,145313848,326318769,326318769,1,2,1,14358025836,73389,73389,14,14,14,326318769,6,3,511762,921451,1828937,32474,4253518800,901443,34487590,1689
