timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
343467.26,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
345472.05,139264,34,22854,1504408110,0,0,0,0,30,30,5159,117,675,124363,2,16,2205,45,29,139503530,1352,1,0,44,44,16,14,147,675,0,0,0,2062672,106,492177321,0,673,311,2,2,1,14,14,366,1,494829764,443497151,2099635,33844521,33844521,1,2,1,1489158924,73389,73389,14,14,14,33844521,7,3,443613,126371,846360,3793,494829764,124363,1216406,1673
347476.95,253952,62,43803,2885019882,1,2698525,0,13,30,30,5159,121,675,231650,2,16,8136,45,29,140565338,1352,1,0,44,44,16,14,147,675,0,0,0,6597732,284,895887450,0,673,311,2,2,1,14,14,366,1,898235184,847184886,14194968,65214614,65214614,1,2,1,2869443016,73389,73389,14,14,14,65214614,7,3,484494,236172,1044390,6872,898235184,231650,5553611,1673
349482.61,253952,62,65017,4282998694,1,2825496,0,14,30,30,5159,124,675,338018,2,16,14087,45,29,141096242,1352,1,0,44,44,16,14,147,675,0,0,0,11062466,524,1304352790,0,673,311,2,2,1,14,14,366,1,1306524464,1255845626,23574724,96977923,96994307,1,2,1,4267028612,73389,73389,14,14,14,96977923,7,3,489554,345007,1156707,9987,1306524464,338018,9906209,1673
351487.59,253952,62,86091,5671537014,1,3516512,0,19,30,30,5159,128,675,443814,2,16,20054,45,29,141627146,1352,1,0,44,44,16,14,147,675,0,0,0,15447207,794,1710584603,0,673,311,2,2,1,14,14,366,1,1711930160,1661744267,37002994,128546783,128546783,1,2,1,5655337556,73389,73389,14,14,14,128530399,7,3,504622,453237,1296926,13080,1711930160,443814,14150893,1673
353492.63,253952,62,107498,7082164274,1,3543830,0,20,30,30,5159,131,675,551701,2,16,26057,45,29,142158050,1352,1,0,44,44,16,14,147,675,0,0,0,19918855,947,2123635181,0,673,311,2,2,1,14,14,366,1,2124282672,2074192261,47382508,160588620,160605004,1,2,1,7065899280,73389,73389,14,14,14,160588620,7,3,516453,563604,1436902,16226,2124282672,551701,18482737,1673
355496.63,253952,62,129008,8499541742,1,3543830,0,20,30,30,5159,135,675,650727,2,16,32144,45,29,142688954,1352,1,0,44,44,16,14,147,675,0,0,0,24161648,1106,2535764420,0,673,311,2,2,1,14,14,366,1,2538076976,2488451669,53378070,192818873,192818873,1,2,1,8483309516,73389,73389,14,14,14,192802489,7,3,519701,664925,1539571,19383,2538076976,650727,22623035,1673
357501.86,253952,62,151273,9966664342,1,3543830,0,20,30,30,5159,138,675,746605,2,16,38381,45,29,143207792,1352,1,0,44,44,16,14,147,675,0,0,0,28343849,1228,2964970834,0,673,311,2,2,1,14,14,366,1,2966845978,2917357291,63805625,226161079,226161079,1,2,1,9951087476,73389,73389,14,14,14,226161079,7,3,523854,763049,1644977,22655,2966845978,746605,26699998,1673
359507.24,253952,62,172557,11368640850,1,3543830,0,20,30,30,5159,142,675,840873,2,16,44402,45,29,144004148,1352,1,0,44,44,16,14,147,675,0,0,0,32649567,1277,3374288469,0,673,311,2,2,1,14,14,366,1,3375598544,3327018928,71558511,258030884,258030884,1,2,1,11353358896,73389,73389,14,14,14,258030884,7,3,529648,859636,1756805,25776,3375598544,840873,30894060,1673
361511.36,253952,62,194235,12797028366,4,6543994,0,23,30,30,5159,145,675,930899,2,16,50480,45,29,144535052,1352,1,0,44,44,16,14,147,675,0,0,0,36966296,1435,3794416584,0,673,311,2,2,1,14,14,366,1,3793325008,3744629385,97861644,290490513,290490513,1,2,1,12781582572,73389,73389,14,14,14,290490513,7,3,533409,952045,1870406,28963,3793325008,930899,35097363,1673
363515.91,253952,62,216277,14249536438,4,6543994,0,23,30,30,5159,149,675,1010359,2,16,56712,45,29,145065956,1352,1,0,44,44,16,14,147,675,0,0,0,41099134,1479,4217691427,0,673,311,2,2,1,14,14,366,1,4217474000,4169217887,103907936,323505039,323505039,1,2,1,14234221716,73389,73389,14,14,14,323505039,7,3,536902,1033692,1960288,32199,4217474000,1010359,39140483,1673
365520.33,253952,62,238148,15690572402,4,6543994,0,23,30,30,5159,153,675,1094495,2,16,62897,45,29,145596860,1352,1,0,44,44,16,14,147,675,0,0,0,45262524,1536,4638998653,0,673,311,2,2,1,14,14,366,1,4638346192,4590399006,109900672,356259580,356259580,1,2,1,15674700624,73389,73389,14,14,14,356243196,7,3,538256,1120072,2059105,35410,4638346192,1094495,43205227,1673
367524.84,253952,62,260011,17131084078,6,8544168,0,25,30,30,5159,156,675,1181059,2,16,69023,45,29,146127764,1352,1,0,44,44,16,14,147,675,0,0,0,49487432,1600,5060043764,0,673,311,2,2,1,14,14,366,1,5059218384,5011615433,159175713,388989545,388989545,1,2,1,17115539980,73389,73389,14,14,14,388989545,7,3,540808,1209046,2175170,38621,5059218384,1181059,47313246,1673
369529.43,253952,62,281453,18544005098,6,8544168,0,26,30,30,5159,160,675,1269225,2,16,75092,45,29,146658668,1352,1,0,44,44,16,14,147,675,0,0,0,53759957,2020,5472434145,0,673,311,2,2,1,14,14,366,1,5471964112,5424580234,165231182,421105110,421105110,1,2,1,18527903944,73389,73389,14,14,14,421088726,7,3,543366,1299557,2300839,41770,5471964112,1269225,51461274,1673
371533.90,253952,62,303121,19971311270,7,9544230,0,26,30,30,5159,163,675,1361697,2,16,81167,45,29,147189572,1352,1,0,44,44,16,14,147,675,0,0,0,58047802,2188,5888766438,0,673,311,2,2,1,14,14,366,1,5888383819,5841795825,221789581,453548355,453548355,1,2,1,19955406724,73389,73389,14,14,14,453531971,7,3,552084,1394338,2439281,44951,5888383819,1361697,55610855,1673
373538.18,253952,62,324661,21390196066,8,10544292,0,27,30,30,5159,168,675,1446638,2,16,87317,45,29,147985928,1352,1,0,44,44,16,14,147,675,0,0,0,62149714,2243,6303284483,0,673,311,2,2,1,14,14,366,1,6302340457,6256467708,257158588,485803184,485803184,1,2,1,21375340096,73389,73389,14,14,14,485803184,7,3,556474,1481561,2567187,48116,6302340457,1446638,59585023,1673
