timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
360812.62,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
362816.83,73728,18,22678,1492873774,0,0,0,0,24,24,5146,117,675,121164,14,2156,38,48,139503530,1352,1,0,37,38,111,13,171,675,0,0,0,2011193,178,487587306,0,675,425,2,1,14,14,357,0,1,491552964,440120086,2022348,33582377,33582377,1,2,1,0,1476903692,73389,73389,14,14,14,33565993,5,3,427675,123260,823181,3768,491552964,121164,1188091,1849
364821.59,253952,62,43275,2850416874,1,1000209,0,1,24,24,5146,121,675,205198,14,7991,38,48,140565338,1352,1,0,37,38,111,13,171,675,0,0,0,6248151,239,886839974,0,675,425,2,1,14,14,357,0,1,887749424,837060193,12058611,64428182,64428182,1,2,1,0,2834840008,73389,73389,14,14,14,64428182,5,3,471618,209644,1007879,6792,887749424,205198,5240526,1849
366826.69,253952,62,64317,4236858042,1,1000209,0,1,24,24,5146,124,675,298271,14,13895,38,48,141096242,1352,1,0,37,38,111,13,171,675,0,0,0,10550563,357,1290972872,0,675,425,2,1,14,14,357,0,1,1292630832,1242360161,20903195,95939698,95939698,1,2,1,0,4221346712,73389,73389,14,14,14,95939698,5,3,473487,305284,1123527,9881,1292630832,298271,9427463,1849
368831.24,253952,62,85651,5642435722,1,1000209,0,1,24,24,5146,128,675,383907,14,19934,38,48,141627146,1352,1,0,37,38,111,13,171,675,0,0,0,14840501,458,1701268756,0,675,425,2,1,14,14,357,0,1,1703410480,1653241945,30348987,127885390,127885390,1,2,1,0,5626957160,73389,73389,14,14,14,127885390,5,3,480719,393369,1258855,13015,1703410480,383907,13582220,1849
370835.51,253952,62,107101,7055995657,1,1000209,0,1,24,24,5146,131,675,473438,14,25949,38,48,142158050,1352,1,0,37,38,111,13,171,675,0,0,0,19140100,658,2114448243,0,675,425,2,1,14,14,357,0,1,2116418352,2066518688,38765981,159992763,160015180,1,2,1,0,7039681572,73389,73389,14,14,14,159992763,5,3,487631,485401,1383062,16166,2116418352,473438,17757786,1849
372839.43,253952,62,127975,8431312150,1,1000209,0,1,24,24,5146,135,675,564912,14,31860,38,48,142423502,1352,1,0,37,38,111,13,171,675,0,0,0,23351009,713,2515169763,0,675,425,2,1,14,14,357,0,1,2518416176,2468521895,45819102,191266711,191266711,1,2,1,0,8415735284,73389,73389,14,14,14,191266711,5,3,494415,579359,1504095,19233,2518416176,564912,21847840,1849
374843.70,253952,62,149699,9862979774,1,1000209,0,1,24,24,5146,138,675,647387,14,37952,38,48,143207792,1352,1,0,37,38,111,13,171,675,0,0,0,27719462,789,2935953008,0,675,425,2,1,14,14,357,0,1,2936404784,2887022692,61884722,223806101,223806101,1,2,1,0,9847468444,73389,73389,14,14,14,223806101,5,3,498320,664150,1611211,22422,2936404784,647387,26109355,1849
376847.86,253952,62,171258,11282978682,1,1000209,0,1,24,24,5146,142,675,744276,14,44048,38,48,144004148,1352,1,0,37,38,111,13,171,675,0,0,0,31975267,826,3349889614,0,675,425,2,1,14,14,357,0,1,3350563792,3301993406,67885928,256069122,256085506,1,2,1,0,11267041368,73389,73389,14,14,14,256069122,5,3,501400,763336,1729334,25585,3350563792,744276,30247212,1849
378852.53,253952,62,192959,12713138978,1,1000209,0,1,24,24,5146,145,675,846072,14,50132,38,48,144535052,1352,1,0,37,38,111,13,171,675,0,0,0,36267408,926,3768446690,0,675,425,2,1,14,14,357,0,1,3768421328,3720098054,83106596,288583936,288583936,1,2,1,0,12697693184,73389,73389,14,14,14,288583936,5,3,508949,867488,1860050,28773,3768421328,846072,34408817,1849
380857.27,253952,62,213577,14071527430,1,1000209,0,1,24,24,5146,149,675,954682,14,55976,38,48,145065956,1352,1,0,37,38,111,13,171,675,0,0,0,40725915,1146,4166164580,0,675,425,2,1,14,14,357,0,1,4165176272,4117144872,92802103,319450443,319466827,1,2,1,0,14055819492,73389,73389,14,14,14,319450443,5,3,515064,978542,1989780,31800,4165176272,954682,38737765,1849
382862.10,253952,62,234315,15438045654,1,1000209,0,1,24,24,5146,152,675,1068814,14,61798,38,48,145596860,1352,1,0,37,38,111,13,171,675,0,0,0,45250347,1225,4564412956,0,675,425,2,1,14,14,357,0,1,4564552656,4516632388,102013161,350519591,350519591,1,2,1,0,15422862004,73389,73389,14,14,14,350519591,5,3,519330,1095316,2137263,34847,4564552656,1068814,43114891,1849
384875.23,253952,62,254961,16798534566,1,1000209,0,1,24,24,5146,155,675,1194031,14,67592,38,48,146127764,1352,1,0,37,38,111,13,171,675,0,0,0,49940236,21300,4961603792,0,675,425,2,1,14,14,357,0,1,4962094032,4914369713,113228062,381433091,381433091,1,2,1,0,16783056004,73389,73389,14,14,14,381433091,5,3,530664,1223212,2329758,37880,4962094032,1194031,47612458,1849
386884.37,253952,62,273617,18028075934,20,21980177,0,57,24,24,5146,158,675,1336870,14,72845,38,48,146658668,1352,1,0,37,38,111,13,171,675,0,0,0,54880386,229052,5322363350,0,675,425,2,1,14,14,357,0,1,5321362384,5273757801,543436997,409377213,409377213,1,2,1,0,18011876476,73389,73389,14,14,14,409360829,5,3,553242,1368830,2528241,40621,5321362384,1336870,52354312,1849
