timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
590683.55,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
592687.99,2,0,0,20907,1376266548,0,0,0,0,1,1,5626,117,630,130584,36,1952,7,1,130104650,1262,1,0,6,15,16,5,5167,630,0,0,0,1984325,576,452457398,0,630,432,2,1,14,14,417,0,1,453411012,405746352,1986430,30965255,30965255,1,2,1,0,1361750324,73389,73389,14,14,14,30948871,9,3,201747,133003,543556,3477,453411012,130584,1440896,1895
594693.44,2,253952,62,35947,2367249094,12,12747246,0,45,20,20,5626,120,675,237258,36,5936,26,32,140299886,1352,1,0,25,34,16,5,5260,675,0,0,0,5938311,878170,742611795,0,675,457,2,1,14,14,417,0,1,746978096,695896468,30255481,53441883,53441883,1,2,1,0,2351442852,73389,73389,14,14,14,53441883,9,3,298671,241819,864855,5718,746978096,237258,5073639,2022
596699.86,2,253952,62,45576,3002011566,18,20506719,0,74,20,20,5626,121,675,288626,36,8618,26,32,140565338,1352,1,0,25,34,16,5,5260,675,0,0,0,8279231,919743,931444846,0,675,457,2,1,14,14,417,0,1,932182832,881413381,40784176,67870537,67870537,1,2,1,0,2986303628,73389,73389,14,14,14,67870537,9,3,303462,294431,941028,7131,932182832,288626,7338472,2022
598708.21,2,253952,62,55844,3678386090,18,22128391,0,99,21,21,5626,123,675,348815,36,11530,26,32,140830790,1352,1,0,25,35,16,5,5260,675,0,0,0,10835706,971805,1129595471,0,675,457,2,1,14,14,417,0,1,1129577264,1079133864,45066038,83227046,83243430,1,2,1,0,3661990024,73389,73389,14,14,14,83227046,9,3,308403,356014,1028854,8637,1129577264,348815,9807223,2022
600724.61,2,253952,62,70612,4651796230,18,25593933,0,142,24,24,5626,125,675,467094,36,15682,26,32,141361694,1352,1,0,25,38,16,5,5260,675,0,0,0,14836670,2137872,1412315526,0,675,457,2,1,14,14,417,0,1,1414003504,1363702447,53821854,105357451,105373835,1,2,1,0,4635727844,73389,73389,14,14,14,105357451,9,3,330617,476546,1232740,10807,1414003504,467094,13604421,2022
602736.70,2,253952,62,84859,5590265758,19,31373016,0,193,24,24,5626,128,675,582354,36,19720,26,32,141361694,1352,1,0,25,38,16,5,5260,675,0,0,0,18825537,3153636,1684947977,0,675,457,2,1,14,14,417,0,1,1688337200,1637992178,63706338,126699709,126699709,1,2,1,0,5574066300,73389,73389,14,14,14,126683325,9,3,343348,594763,1429200,12900,1688337200,582354,17396958,2022
604743.06,2,253952,62,99355,6545584654,21,35647064,0,237,24,24,5626,130,675,691583,36,23780,26,32,141892598,1352,1,0,25,38,16,5,5260,675,0,0,0,22738560,4011694,1967129784,0,675,457,2,1,14,14,417,0,1,1967520560,1917334910,75763275,148406289,148406289,1,2,1,0,6529876716,73389,73389,14,14,14,148406289,9,3,357586,706093,1584656,15030,1967520560,691583,21154641,2022
606753.61,2,253952,62,109431,7209641718,22,38303869,0,257,25,25,5626,131,675,751605,36,26585,26,32,142158050,1352,1,0,25,39,16,5,5260,675,0,0,0,25215460,4077478,2160690901,0,675,457,2,1,14,14,417,0,1,2161376048,2111482284,80891670,163490303,163506687,1,2,1,0,7193573332,73389,73389,14,14,14,163490303,9,3,362911,767498,1671496,16509,2161376048,751605,23544800,2022
608761.18,2,253952,62,123946,8165674894,23,42613392,0,294,29,29,5626,134,675,857163,36,30709,26,32,142423502,1352,1,0,25,43,16,5,5260,675,0,0,0,29105365,5429377,2436726313,0,675,457,2,1,14,14,417,0,1,2440952624,2390902260,90922417,185225777,185225777,1,2,1,0,8149934188,73389,73389,14,14,14,185225777,9,3,389195,875159,1856062,18642,2440952624,857163,27250276,2022
610770.30,2,253952,62,139091,9164057558,25,47437623,0,340,29,29,5626,136,675,978171,36,34951,26,32,142942340,1352,1,0,25,43,16,5,5260,675,0,0,0,33337997,6641530,2732948384,0,675,457,2,1,14,14,417,0,1,2732456752,2682720765,103161924,207919271,207919271,1,2,1,0,9147727028,73389,73389,14,14,14,207902887,9,3,406063,998605,2051251,20866,2732456752,978171,31287849,2022
612781.30,2,253952,62,153986,10144935494,25,51305573,0,375,34,34,5626,139,675,1111437,36,39181,26,32,143473244,1352,1,0,25,48,16,5,5260,675,0,0,0,37469915,8229674,3013928588,0,675,457,2,1,14,14,417,0,1,3018296272,2969406117,117150571,230215675,230215675,1,2,1,0,10129489700,73389,73389,14,14,14,230215675,9,3,439645,1134179,2274433,23050,3018296272,1111437,35196711,2022
614788.73,2,253952,62,171388,11291510428,29,57986810,0,430,34,34,5626,142,675,1243952,36,44084,26,32,144004148,1352,1,0,25,48,16,5,5260,675,0,0,0,42131330,8874022,3350662870,0,675,457,2,1,14,14,417,0,1,3353054160,3304477383,130905253,256265730,256282114,1,2,1,0,11275692120,73389,73389,14,14,14,256265730,9,3,449330,1269269,2464613,25604,3353054160,1243952,39668090,2022
616793.86,2,253952,62,186697,12300363478,33,63458878,0,480,35,35,5626,144,675,1344273,36,48366,26,32,144269600,1352,1,0,25,49,16,5,5260,675,0,0,0,45575489,8947825,3648863043,0,675,457,2,1,14,14,417,0,1,3647835088,3599484895,140370656,279198951,279198951,1,2,1,0,12284753844,73389,73389,14,14,14,279198951,9,3,455942,1371489,2591364,27853,3647835088,1344273,42985637,2022
618799.59,2,253952,62,199366,13135151746,33,64976112,0,503,36,36,5626,146,675,1414798,36,51935,26,32,144535052,1352,1,0,25,50,16,5,5260,675,0,0,0,48177938,8949533,3891581457,0,675,457,2,1,14,14,417,0,1,3891891152,3843409478,144561386,298167688,298184072,1,2,1,0,13119378272,73389,73389,14,14,14,298167688,9,3,460272,1443404,2679483,29715,3891891152,1414798,45500075,2022
620809.58,2,253952,62,210546,13872091458,34,67703701,0,529,36,36,5626,148,675,1475679,36,55092,26,32,145065956,1352,1,0,25,50,16,5,5260,675,0,0,0,50445188,8950094,4108071000,0,675,457,2,1,14,14,417,0,1,4106980304,4058855963,149573387,314926744,314926744,1,2,1,0,13856055840,73389,73389,14,14,14,314910360,9,3,460974,1505542,2746430,31356,4106980304,1475679,47700469,2022
