timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
631071.97,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
633077.68,0,0,19436,1279332188,0,0,0,0,1,1,9825,117,585,127192,20,1814,1,13,0,120,120717836,1172,1,0,12,15,0,11,290,585,0,0,0,1997783,626,421262943,0,585,379,2,1,14,14,350,1,421298372,377250061,1998977,28757733,28774117,1,2,1,1265340252,73389,73389,14,14,14,28757733,6,3,299761,129522,746742,3232,421298372,127192,1251136,1788
635093.88,253952,62,34174,2250546994,12,12991095,0,34,16,16,9825,119,675,244304,20,5399,8,28,1,508,140299886,1352,1,0,27,30,1,11,1304,675,0,0,0,5588506,1325149,710885636,0,675,430,2,1,14,14,350,1,712899376,661739607,26229058,50791993,50791993,1,2,1,2234847692,73389,73389,14,14,14,50791993,6,3,421124,248744,1104933,5458,712899376,244304,4483981,2028
637109.99,253952,62,46785,3081510042,13,16009158,0,70,18,18,9825,121,675,338546,20,8950,8,28,1,508,140565338,1352,1,0,27,32,1,11,1304,675,0,0,0,9162411,2904840,954150391,0,675,430,2,1,14,14,350,1,955775792,904654865,34554497,69678810,69678810,1,2,1,3065146744,73389,73389,14,14,14,69662426,6,3,424903,344992,1197994,7311,955775792,338546,7964948,2028
639115.62,253952,62,57141,3763917186,16,20354190,0,103,18,18,9825,123,675,394192,20,11882,8,28,1,508,140830790,1352,1,0,27,32,1,11,1304,675,0,0,0,11668657,3232562,1154523959,0,675,430,2,1,14,14,350,1,1155005232,1104123729,42516325,85188808,85188808,1,2,1,3748307552,73389,73389,14,14,14,85188808,6,3,426660,401915,1265388,8831,1155005232,394192,10403909,2028
641131.04,253952,62,70413,4638754566,16,22135388,0,132,21,21,9825,125,675,483212,20,15614,8,28,1,508,141361694,1352,1,0,27,35,1,11,1304,675,0,0,0,15226425,4071046,1410647964,0,675,430,2,1,14,14,350,1,1410333488,1359851777,49146319,105062539,105078923,1,2,1,4622751716,73389,73389,14,14,14,105062539,6,3,438249,493717,1395177,10779,1410333488,483212,13832033,2028
643143.72,253952,62,84732,5581942686,18,26555564,0,162,22,22,9825,127,675,583803,20,19628,8,28,1,508,141361694,1352,1,0,27,36,1,11,1304,675,0,0,0,19164619,5264669,1684079285,0,675,430,2,1,14,14,350,1,1685846832,1635591614,59717883,126511293,126511293,1,2,1,5565775996,73389,73389,14,14,14,126494909,6,3,442350,596454,1534334,12881,1685846832,583803,17631218,2028
645155.18,253952,62,98602,6495970594,18,29534616,0,195,24,24,9825,130,675,684631,20,23576,8,28,1,508,141892598,1352,1,0,27,38,1,11,1304,675,0,0,0,22990019,6285949,1950290657,0,675,430,2,1,14,14,350,1,1952840496,1902806619,67550529,147269760,147286144,1,2,1,6479869440,73389,73389,14,14,14,147269760,6,3,452576,699548,1684588,14918,1952840496,684631,21306499,2028
647160.78,253952,62,112025,7380703910,21,33967561,0,236,26,26,9825,132,675,777853,20,27383,8,28,1,508,142423502,1352,1,0,27,40,1,11,1304,675,0,0,0,26744937,6846746,2208114735,0,675,430,2,1,14,14,350,1,2211707696,2161451964,77287076,167372867,167389251,1,2,1,7364406148,73389,73389,14,14,14,167372867,6,3,458197,794807,1800083,16893,2211707696,777853,24946062,2028
649173.48,253952,62,122169,8048686518,24,38741428,0,252,27,27,9825,134,675,827279,20,30224,8,28,1,508,142423502,1352,1,0,27,41,1,11,1304,675,0,0,0,29022953,6869867,2407306284,0,675,430,2,1,14,14,350,1,2406611760,2356658963,84745067,182559503,182575887,1,2,1,8032618132,73389,73389,14,14,14,182559503,6,3,458753,845427,1860130,18380,2406611760,827279,27164125,2028
