timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
65121.24,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
67126.57,94208,23,22738,1496805934,0,0,0,0,30,30,4247,117,675,124993,2,15,2174,42,141,139503530,1352,1,0,41,44,14,11,268,675,0,0,0,2027610,53,490994902,0,673,528,2,2,1,14,14,364,1,492470468,441254463,2034006,33664297,33680681,1,2,1,1481229068,73389,73389,14,14,14,33664297,7,3,429665,127112,819594,3775,492470468,124993,1208110,1863
69131.51,253952,62,43661,2875713770,1,1035859,0,4,30,30,4247,121,675,220415,2,15,8096,42,141,140565338,1352,1,0,41,44,14,11,268,675,0,0,0,6500874,129,893787461,0,673,528,2,2,1,14,14,364,1,895089456,844490993,13515037,65001622,65001622,1,2,1,2859350472,73389,73389,14,14,14,64985238,7,3,475634,225059,1016575,6848,895089456,220415,5484565,1863
71136.16,253952,62,64977,4280377254,1,1268931,0,4,30,30,4247,124,675,314749,2,15,14075,42,141,141096242,1352,1,0,41,44,14,11,268,675,0,0,0,10919709,369,1305005967,0,673,528,2,2,1,14,14,364,1,1305738032,1255082180,21370188,96928771,96928771,1,2,1,4264145028,73389,73389,14,14,14,96912387,7,3,485223,321863,1151677,9981,1305738032,314749,9768471,1863
73140.59,253952,62,86394,5691394422,4,4571929,0,10,30,30,4247,128,675,403565,2,15,20138,42,141,141627146,1352,1,0,41,44,14,11,268,675,0,0,0,15218942,508,1716872362,0,673,528,2,2,1,14,14,364,1,1717566256,1667531079,44884781,128989151,129005535,1,2,1,5675522644,73389,73389,14,14,14,128989151,7,3,503813,413024,1286145,13123,1717566256,403565,13933398,1863
75145.74,253952,62,108262,7132499230,6,6572163,0,14,30,30,4247,131,675,492474,2,15,26264,42,141,142158050,1352,1,0,41,44,14,11,268,675,0,0,0,19474225,605,2138312518,0,673,528,2,2,1,14,14,364,1,2139093808,2088925609,59729395,161741533,161741533,1,2,1,7116627452,73389,73389,14,14,14,161741533,7,3,511650,504293,1416019,16339,2139093808,492474,18058986,1863
77150.25,253952,62,129285,8517695214,16,17234156,0,26,30,30,4247,135,675,585831,2,15,32219,42,141,142688954,1352,1,0,41,44,14,11,268,675,0,0,0,23818942,732,2542976880,0,673,528,2,2,1,14,14,364,1,2543450928,2493801574,197323501,193228473,193228473,1,2,1,8502052812,73389,73389,14,14,14,193228473,7,3,533239,600050,1551107,19424,2543450928,585831,22268780,1863
79155.24,253952,62,151181,9960635030,17,18234388,0,27,30,30,4247,138,675,667459,2,15,38357,42,141,143207792,1352,1,0,41,44,14,11,268,675,0,0,0,28037440,770,2963403279,0,673,528,2,2,1,14,14,364,1,2965142042,2915590732,209589130,226013623,226030007,1,2,1,9944599412,73389,73389,14,14,14,226013623,7,3,537353,683950,1644088,22642,2965142042,667459,26394478,1863
81160.06,253952,62,171778,11317322854,17,18234388,0,27,30,30,4247,142,675,776818,2,15,44189,42,141,144004148,1352,1,0,41,44,14,11,268,675,0,0,0,32551295,1484,3359096072,0,673,528,2,2,1,14,14,364,1,3360656336,3312054237,217412635,256861587,256861587,1,2,1,11301188932,73389,73389,14,14,14,256845203,7,3,544318,795881,1794719,25662,3360656336,776818,30756888,1863
83165.11,253952,62,192831,12704750370,17,18912818,0,40,30,30,4247,145,675,886968,2,15,50099,42,141,144535052,1352,1,0,41,44,14,11,268,675,0,0,0,37002433,1624,3762454930,0,673,528,2,2,1,14,14,364,1,3765799888,3717567092,292717945,288387328,288403712,1,2,1,12689042432,73389,73389,14,14,14,288387328,7,3,566001,908643,1976820,28753,3765799888,886968,35027104,1863
85170.20,253952,62,213779,14084765702,22,24692060,0,44,33,33,4247,149,675,994710,2,15,56030,42,141,145065956,1352,1,0,41,47,14,11,268,675,0,0,0,41442872,1659,4166070950,0,673,528,2,2,1,14,14,364,1,4168977360,4121033232,311715532,319761739,319761739,1,2,1,14069516516,73389,73389,14,14,14,319761739,7,3,581317,1018824,2121354,31829,4168977360,994710,39323182,1863
87175.45,253952,62,234807,15470554818,23,27690049,0,59,33,33,4247,152,675,1110396,2,15,61931,42,141,145596860,1352,1,0,41,47,14,11,268,675,0,0,0,46037264,2067,4573755354,0,673,528,2,2,1,14,14,364,1,4573989840,4526124694,326134190,351246520,351262904,1,2,1,15454846880,73389,73389,14,14,14,351246520,7,3,602531,1137090,2301959,34919,4573989840,1110396,43737154,1863
89180.23,253952,62,255617,16841791634,23,29708082,0,76,33,33,4247,155,675,1229137,2,15,67772,42,141,146127764,1352,1,0,41,47,14,11,268,675,0,0,0,50602130,5984,4974236800,0,673,528,2,2,1,14,14,364,1,4974676944,4927009118,341185118,382405780,382422164,1,2,1,16825854320,73389,73389,14,14,14,382405780,7,3,615851,1258547,2457540,37976,4974676944,1229137,48146634,1863
