timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
655557.77,0,0,0,20280,1334910024,0,0,0,0,1,1,4710,117,612,126893,10,1893,13,143,126296834,1226,1,0,12,15,36,11,196,612,0,0,0,1965634,11800,438169938,0,612,472,2,1,14,14,3500,1,439910596,393632854,1978223,30025334,30025334,1,2,1,1320393800,73389,73389,14,14,14,30008950,9,3,381572,128932,815393,3374,439910596,126893,1150329,1813
657566.23,6,253952,62,35859,2361481926,15,16612700,0,33,19,19,4710,120,675,245430,10,5944,31,189,140299886,1352,1,0,30,33,43,11,312,675,0,0,0,5807035,1217319,742214215,0,675,518,2,1,14,14,3500,1,745405232,694210955,30555861,53310811,53310811,1,2,1,2345675684,73389,73389,14,14,14,53310811,9,3,496510,249655,1175740,5706,745405232,245430,4631501,1986
659576.80,6,253952,62,50373,3318101130,15,19287468,0,78,19,19,4710,122,675,358327,10,9993,31,189,140830790,1352,1,0,30,33,43,11,312,675,0,0,0,9763768,2198238,1021790117,0,675,518,2,1,14,14,3500,1,1024719664,973763488,38227010,75041967,75064384,1,2,1,3301846548,73389,73389,14,14,14,75041967,9,3,504555,364803,1334282,7837,1024719664,358327,8429829,1986
661581.96,6,253952,62,61579,4056358666,17,22400292,0,103,19,19,4710,124,675,412621,10,13148,31,189,141096242,1352,1,0,30,33,43,11,312,675,0,0,0,12244185,2298087,1239471402,0,675,518,2,1,14,14,3500,1,1240333104,1189627379,44475979,91835950,91835950,1,2,1,4040781800,73389,73389,14,14,14,91835950,9,3,505934,420420,1407301,9482,1240333104,412621,10837334,1986
663586.90,6,253952,62,73521,4843236810,20,27237804,0,134,22,22,4710,126,675,483322,10,16512,31,189,141361694,1352,1,0,30,36,43,11,312,675,0,0,0,15095615,2585922,1470136361,0,675,518,2,1,14,14,3500,1,1470102320,1419702001,52699086,109717310,109717310,1,2,1,4827561640,73389,73389,14,14,14,109717310,9,3,517687,492736,1517741,11235,1470102320,483322,13578432,1986
665595.36,6,253952,62,85970,5663607158,20,28719425,0,154,24,24,4710,128,675,553518,10,20023,31,189,141627146,1352,1,0,30,38,43,11,312,675,0,0,0,17968113,2915581,1707491005,0,675,518,2,1,14,14,3500,1,1709570864,1659443054,57588722,128366559,128366559,1,2,1,5647407700,73389,73389,14,14,14,128350175,9,3,528645,564557,1596785,13062,1709570864,553518,16372002,1986
667607.17,6,253952,62,99991,6587531002,21,31532211,0,185,25,25,4710,130,675,660927,10,23956,31,189,141892598,1352,1,0,30,39,43,11,312,675,0,0,0,21734910,3776354,1979478617,0,675,518,2,1,14,14,3500,1,1979710256,1929581034,65397670,149346210,149362594,1,2,1,6571233240,73389,73389,14,14,14,149346210,9,3,534932,674191,1730031,15123,1979710256,660927,20005700,1986
669622.82,6,253952,62,114667,7554646378,22,34986219,0,220,27,27,4710,132,675,759238,10,28067,31,189,142423502,1352,1,0,30,41,43,11,312,675,0,0,0,25542543,5104882,2261160422,0,675,518,2,1,14,14,3500,1,2262301488,2212303214,74053225,171323126,171339510,1,2,1,7538217544,73389,73389,14,14,14,171323126,9,3,549247,774601,1879888,17279,2262301488,759238,23663611,1986
671636.69,6,253952,62,128659,8476404226,23,38865809,0,252,29,29,4710,135,675,866106,10,32052,31,189,142688954,1352,1,0,30,43,43,11,312,675,0,0,0,29240477,6304287,2527765170,0,675,518,2,1,14,14,3500,1,2531392304,2481699811,84376690,192288552,192304936,1,2,1,8460696288,73389,73389,14,14,14,192288552,9,3,562761,884696,2040591,19332,2531392304,866106,27200989,1986
673642.18,6,253952,62,141390,9315255726,27,44774822,0,293,30,30,4710,137,675,947401,10,35630,31,189,142942340,1352,1,0,30,44,43,11,312,675,0,0,0,32493993,6953521,2776262753,0,675,518,2,1,14,14,3500,1,2776496944,2726947926,94545806,211355593,211355593,1,2,1,9299646092,73389,73389,14,14,14,211355593,9,3,572586,967804,2142057,21202,2776496944,947401,30353164,1986
675659.60,6,253952,62,152753,10063598702,28,47267254,0,309,31,31,4710,139,675,1004970,10,38839,31,189,143207792,1352,1,0,30,45,43,11,312,675,0,0,0,35044346,7028645,2994703958,0,675,518,2,1,14,14,3500,1,2994441168,2945643465,99759421,228352217,228368601,1,2,1,10047497548,73389,73389,14,14,14,228352217,9,3,576754,1026699,2228113,22868,2994441168,1004970,32817562,1986
677672.34,6,253952,62,166695,10982610654,28,49633867,0,345,32,32,4710,141,675,1109203,10,42749,31,189,144004148,1352,1,0,30,46,43,11,312,675,0,0,0,38766657,7839541,3263270514,0,675,518,2,1,14,14,3500,1,3263138768,3214191865,106711690,249255981,249255981,1,2,1,10967263164,73389,73389,14,14,14,249255981,9,3,587289,1133044,2376572,24918,3263138768,1109203,36391546,1986
