timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
659574.20,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,382,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0
661579.59,0,0,19405,1277300572,0,0,0,0,1,1,5457,117,585,123185,42,1811,8,0,120717836,1172,1,0,7,15,107,6,4269,585,0,0,0,1993693,1030,419689202,0,585,407,2,1,14,14,382,1,420774084,376695857,1995692,28724965,28724965,1,2,1,1263177564,73389,73389,14,14,14,28708581,10,3,367132,125229,819182,3228,420774084,123185,1174602,1763
663585.15,253952,62,34329,2260946394,23,23677835,0,47,26,26,5457,119,675,207031,42,5439,33,59,140299886,1352,1,0,32,40,128,6,4416,675,0,0,0,5170787,779613,715464204,0,675,483,2,1,14,14,382,1,715782960,664780200,37208864,51027402,51027402,1,2,1,2245205688,73389,73389,14,14,14,51027402,10,3,505273,210894,1178888,5480,715782960,207031,3992105,2013
665594.41,253952,62,46437,3058703514,24,26245391,0,66,27,27,5457,121,675,280924,42,8855,33,59,140565338,1352,1,0,32,41,128,6,4416,675,0,0,0,8135465,1004282,948371733,0,675,483,2,1,14,14,382,1,948960048,897906043,43739077,69154522,69170906,1,2,1,3042798968,73389,73389,14,14,14,69154522,10,3,509760,286507,1287169,7259,948960048,280924,6848639,2013
667606.73,253952,62,60055,3955950898,24,28387439,0,97,29,29,5457,123,675,388156,42,12679,33,59,140830790,1352,1,0,32,43,128,6,4416,675,0,0,0,11916414,2073100,1208815359,0,675,483,2,1,14,14,382,1,1210841904,1160233834,51362349,89554700,89554700,1,2,1,3940406800,73389,73389,14,14,14,89554700,10,3,526555,395964,1444929,9257,1210841904,388156,10471968,2013
669618.20,253952,62,73768,4859689654,25,32845862,0,131,30,30,5457,126,675,498573,42,16581,33,59,141361694,1352,1,0,32,44,128,6,4416,675,0,0,0,15593671,3021871,1470306079,0,675,483,2,1,14,14,382,1,1474689840,1424460707,60350022,110083791,110100175,1,2,1,4843686804,73389,73389,14,14,14,110083791,10,3,543579,508621,1610768,11270,1474689840,498573,13983517,2013
671630.78,253952,62,88283,5815988282,26,36265203,0,167,32,32,5457,128,675,610645,42,20652,33,59,141627146,1352,1,0,32,46,128,6,4416,675,0,0,0,19423537,4098090,1754217618,0,675,483,2,1,14,14,382,1,1754266416,1703963200,70102567,131825298,131841682,1,2,1,5800313112,73389,73389,14,14,14,131825298,10,3,560940,623674,1781636,13403,1754266416,610645,17642648,2013
673636.54,253952,62,100970,6651956198,27,40604103,0,208,32,32,5457,130,675,696819,42,24221,33,59,141892598,1352,1,0,32,46,128,6,4416,675,0,0,0,22619993,4928040,1996426372,0,675,483,2,1,14,14,382,1,1998322480,1948382765,79107124,150826803,150826803,1,2,1,6636379332,73389,73389,14,14,14,150826803,10,3,566996,714193,1886670,15265,1998322480,696819,20734189,2013
675647.83,253952,62,112144,7388502694,30,45122314,0,222,34,34,5457,132,675,752421,42,27378,33,59,142423502,1352,1,0,32,48,128,6,4416,675,0,0,0,25159750,5147969,2212666427,0,675,483,2,1,14,14,382,1,2213804848,2163710416,86527280,167553091,167569475,1,2,1,7372336004,73389,73389,14,14,14,167553091,10,3,576519,771235,1975426,16909,2213804848,752421,23185294,2013
677663.73,253952,62,126210,8314844754,31,48820378,0,250,36,36,5457,134,675,864978,42,31343,33,59,142423502,1352,1,0,32,50,128,6,4416,675,0,0,0,28743571,6370755,2482284552,0,675,483,2,1,14,14,382,1,2484206384,2434503710,95785627,188602596,188618980,1,2,1,8298514224,73389,73389,14,14,14,188602596,10,3,594115,885965,2133291,18972,2484206384,864978,26611392,2013
679680.18,253952,62,140341,9246243010,32,52685582,0,286,37,37,5457,137,675,971683,42,35348,33,59,142942340,1352,1,0,32,51,128,6,4416,675,0,0,0,32595878,7826628,2755966417,0,675,483,2,1,14,14,382,1,2756442928,2706759919,105585718,209776696,209793080,1,2,1,9230174624,73389,73389,14,14,14,209776696,10,3,614004,994816,2312410,21049,2756442928,971683,30284715,2013
681692.50,253952,62,154415,10173050438,32,57498245,0,331,38,38,5457,139,675,1084879,42,39292,33,59,143473244,1352,1,0,32,52,128,6,4416,675,0,0,0,36510707,8861379,3023494249,0,675,483,2,1,14,14,382,1,3026291664,2977655205,115655187,230838267,230854651,1,2,1,10156883748,73389,73389,14,14,14,230838267,10,3,628339,1110280,2483331,23111,3026291664,1084879,34028750,2013
683702.13,253952,62,169006,11134860706,34,62111568,0,374,39,39,5457,141,675,1206181,42,43387,33,59,144004148,1352,1,0,32,53,128,6,4416,675,0,0,0,40613178,9735753,3307115568,0,675,483,2,1,14,14,382,1,3307441104,3258707414,126497104,252714720,252714720,1,2,1,11119447680,73389,73389,14,14,14,252714720,10,3,646435,1234017,2671049,25256,3307441104,1206181,37943650,2013
