timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
723316.56,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
725321.64,0,0,21548,1418552642,0,512,0,1,1,1,10619,117,657,121798,14,2012,16,36,135695714,1316,1,0,15,15,0,14,83,657,0,0,0,1994672,19,467925123,0,657,397,2,1,14,14,344,0,1,468222148,418293470,1996213,31905176,31905176,1,2,1,0,1403106848,73389,73389,14,14,14,31888792,6,3,409554,123871,824194,3590,468222148,121798,1170570,1873
727332.56,253952,62,41637,2742272550,0,512,0,15,29,29,10619,121,675,263831,14,7496,44,116,140299886,1352,1,0,43,43,7,14,249,675,0,0,0,6845094,209036,853960800,0,675,406,2,1,14,14,344,0,1,856423216,805481194,15782050,61968867,61968867,1,2,1,0,2726630148,73389,73389,14,14,14,61968867,6,3,488413,268854,1173629,6553,856423216,263831,5671780,1914
729337.64,253952,62,62656,4127471842,16,16003188,0,17,29,29,10619,124,675,368141,14,13442,44,116,141096242,1352,1,0,43,43,7,14,249,675,0,0,0,11287910,239741,1259939085,0,675,406,2,1,14,14,344,0,1,1261173552,1210399913,60080763,93453648,93453648,1,2,1,0,4111960512,73389,73389,14,14,14,93453648,6,3,496371,375692,1318830,9641,1261173552,368141,9969513,1914
731345.41,253952,62,81098,5342457602,23,25070785,0,43,29,29,10619,127,675,497953,14,18636,44,116,141361694,1352,1,0,43,43,7,14,249,675,0,0,0,15987401,580343,1613629061,0,675,406,2,1,14,14,344,0,1,1615854384,1565558991,117816185,121058024,121074408,1,2,1,0,5326553056,73389,73389,14,14,14,121058024,6,3,523485,508362,1549875,12347,1615854384,497953,14438138,1914
733354.26,253952,62,98833,6511109410,25,28716032,0,88,30,30,10619,130,675,636505,14,23639,44,116,141892598,1352,1,0,43,44,7,14,249,675,0,0,0,20686770,990046,1953276980,0,675,406,2,1,14,14,344,0,1,1957296944,1907227648,128325135,147613824,147630208,1,2,1,0,6495008256,73389,73389,14,14,14,147613824,6,3,539364,649661,1763874,14952,1957296944,636505,18923688,1914
735359.80,253952,62,111870,7370280378,28,32714848,0,119,30,30,10619,132,675,708547,14,27303,44,116,142423502,1352,1,0,43,44,7,14,249,675,0,0,0,23632616,1050017,2208332668,0,675,406,2,1,14,14,344,0,1,2208561968,2158418912,135529555,167137458,167153842,1,2,1,0,7354048152,73389,73389,14,14,14,167137458,6,3,541289,723376,1854457,16869,2208561968,708547,21779073,1914
737367.22,253952,62,127975,8431312150,28,34499079,0,157,33,33,10619,135,675,815346,14,31832,44,116,142423502,1352,1,0,43,47,7,14,249,675,0,0,0,27514524,1231798,2518343871,0,675,406,2,1,14,14,344,0,1,2518416176,2468521895,141562081,191266711,191266711,1,2,1,0,8415735284,73389,73389,14,14,14,191266711,6,3,556572,832567,2033068,19233,2518416176,815346,25482520,1914
739376.91,253952,62,146477,9650495522,29,38543992,0,186,34,34,10619,138,675,950438,14,37047,44,116,142942340,1352,1,0,43,48,7,14,249,675,0,0,0,32234775,1530227,2875038588,0,675,406,2,1,14,14,344,0,1,2874538800,2824954465,152228191,218975424,218975424,1,2,1,0,9634918656,73389,73389,14,14,14,218975424,6,3,572374,970483,2254742,21950,2874538800,950438,29981282,1914
741381.72,253952,62,160197,10554368658,33,43429380,0,212,35,35,10619,140,675,1029449,14,40920,44,116,143738696,1352,1,0,43,49,7,14,249,675,0,0,0,35406495,1649864,3138063181,0,675,406,2,1,14,14,344,0,1,3137702864,3089041904,162780238,239510548,239526932,1,2,1,0,10538464112,73389,73389,14,14,14,239510548,6,3,583673,1051296,2378111,23961,3137702864,1029449,33029757,1914
