timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
76454.20,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
78458.48,0,0,21679,1427137858,0,0,0,0,1,1,4187,117,657,122546,17,2024,14,25,135695714,1316,1,0,13,15,0,12,143,657,0,0,0,1988322,26,468972691,0,657,333,2,1,14,14,381,1,470581444,420855902,1988875,32085400,32101784,1,2,1,1411757600,73389,73389,14,14,14,32085400,6,3,412081,124595,755726,3608,470581444,122546,1232690,1651
80464.07,253952,62,42205,2779762450,0,22768,0,1,21,21,4187,121,675,237495,17,7700,34,38,140565338,1352,1,0,33,35,4,12,520,675,0,0,0,6612505,120,864183889,0,675,341,2,1,14,14,381,1,867302192,816436863,11756818,62810484,62826868,1,2,1,2763661296,73389,73389,14,14,14,62810484,6,3,461288,242227,986145,6636,867302192,237495,5626647,1693
82469.11,253952,62,63018,4151195874,2,3414853,0,12,21,21,4187,124,675,348287,17,13541,34,38,141096242,1352,1,0,33,35,4,12,520,675,0,0,0,11187024,442,1265051993,0,675,341,2,1,14,14,381,1,1267858224,1217314180,29222965,93994320,93994320,1,2,1,4135029184,73389,73389,14,14,14,93977936,6,3,479620,355576,1128038,9692,1267858224,348287,10059455,1693
84474.91,253952,62,83885,5526168242,2,3515970,0,14,21,21,4187,127,675,454961,17,19397,34,38,141361694,1352,1,0,33,35,4,12,520,675,0,0,0,15648122,593,1666959585,0,675,341,2,1,14,14,381,1,1669593904,1619261696,36764520,125243692,125243692,1,2,1,5510722448,73389,73389,14,14,14,125243692,6,3,486069,464728,1253790,12757,1669593904,454961,14394980,1693
86480.62,253952,62,104313,6872370306,2,3756515,0,16,21,21,4187,131,675,563698,17,25187,34,38,142158050,1352,1,0,33,35,4,12,520,675,0,0,0,20176021,703,2061005943,0,675,341,2,1,14,14,381,1,2063072048,2012896105,49827344,155829512,155829512,1,2,1,6855777632,73389,73389,14,14,14,155813128,6,3,496948,576016,1375840,15759,2063072048,563698,18801001,1693
88489.16,253952,62,124748,8218512284,2,3756515,0,16,21,21,4187,134,675,677584,17,30926,34,38,142423502,1352,1,0,33,35,4,12,520,675,0,0,0,24778201,4216,2454667403,0,675,341,2,1,14,14,381,1,2456288048,2406312099,59758316,186427842,186427842,1,2,1,8202104152,73389,73389,14,14,14,186411458,6,3,504546,692583,1531480,18759,2456288048,677584,23247722,1693
90493.64,253952,62,146000,9618969398,7,8757106,0,21,21,21,4187,137,675,777238,17,36887,34,38,142942340,1352,1,0,33,35,4,12,520,675,0,0,0,29289185,4508,2864689280,0,675,341,2,1,14,14,381,1,2865232688,2815769881,102026588,218256687,218256687,1,2,1,9603294228,73389,73389,14,14,14,218256687,6,3,550370,794645,1754931,21879,2865232688,777238,27535418,1693
92499.02,253952,62,166146,10946365938,8,9757129,0,24,21,21,4187,141,675,892550,17,42599,34,38,144004148,1352,1,0,33,35,4,12,520,675,0,0,0,33991362,15992,3251252573,0,675,341,2,1,14,14,381,1,3252521936,3203610611,148928959,248430748,248430748,1,2,1,10930952912,73389,73389,14,14,14,248430748,6,3,571121,912690,1952270,24837,3252521936,892550,32040444,1693
94504.59,253952,62,185423,12216339710,15,18127277,0,46,21,21,4187,144,675,1016290,17,48023,34,38,144269600,1352,1,0,33,35,4,12,520,675,0,0,0,38814292,65372,3621858836,0,675,341,2,1,14,14,381,1,3623455696,3574889185,283318571,277286341,277302725,1,2,1,12200599004,73389,73389,14,14,14,277286341,6,3,599014,1039294,2178060,27667,3623455696,1016290,36637778,1693
