timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
851951.83,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
853956.31,253952,62,23131,1522827034,0,0,0,0,49,49,5608,118,675,120158,61,2332,64,161,139768982,1352,1,0,63,63,28,14,375,675,0,0,0,2085868,129,497551261,0,675,392,2,1,14,14,362,1,500038448,448914620,2201105,34260154,34260154,1,2,1,1507446776,73389,73389,14,14,14,34260154,7,3,451835,122283,822782,3834,500038448,120158,1263177,1723
855961.48,253952,62,45012,2964783810,0,0,0,0,49,49,5608,121,675,229812,61,8465,64,161,140565338,1352,1,0,63,63,28,14,375,675,0,0,0,6439060,282,917911436,0,675,392,2,1,14,14,362,1,921566000,870506821,10016611,67012536,67028920,1,2,1,2948551584,73389,73389,14,14,14,67012536,7,3,474340,234309,997519,7050,921566000,229812,5441806,1723
857966.40,253952,62,66501,4380785022,0,0,0,0,49,49,5608,125,675,338392,61,14548,64,161,141096242,1352,1,0,63,63,28,14,375,675,0,0,0,10786501,404,1334502255,0,675,392,2,1,14,14,362,1,1335098160,1284459276,18171050,99210021,99210021,1,2,1,4365240924,73389,73389,14,14,14,99210021,7,3,487130,345331,1136721,10206,1335229232,338427,9650217,1723
859971.24,253952,62,87730,5779481422,0,0,0,0,49,49,5608,128,675,439044,61,20501,64,161,141627146,1352,1,0,63,63,28,14,375,675,0,0,0,15168765,484,1741395900,0,675,392,2,1,14,14,362,1,1743649584,1693318262,26004516,130983681,131000065,1,2,1,5763281964,73389,73389,14,14,14,130983681,7,3,497694,448579,1257831,13322,1743649584,439044,13911543,1723
861976.63,253952,62,109450,7210886902,0,0,0,0,49,49,5608,131,675,531681,61,26588,64,161,142158050,1352,1,0,63,63,28,14,375,675,0,0,0,19495807,562,2159034001,0,675,392,2,1,14,14,362,1,2161769264,2111834037,34206751,163523071,163523071,1,2,1,7195015124,73389,73389,14,14,14,163523071,7,3,513692,543638,1404504,16512,2161769264,531681,18092090,1723
863981.90,253952,62,130416,8592347334,0,0,0,0,49,49,5608,135,675,636175,61,32528,64,161,142688954,1352,1,0,63,63,28,14,375,675,0,0,0,23908185,648,2563041057,0,675,392,2,1,14,14,362,1,2565339952,2515576365,42340306,194928091,194928091,1,2,1,8575849656,73389,73389,14,14,14,194905674,7,3,522403,650666,1524281,19591,2565339952,636175,22384861,1723
865986.86,253952,62,151547,9984621206,0,0,0,0,49,49,5608,138,675,740573,61,38456,64,161,143207792,1352,1,0,63,63,28,14,375,675,0,0,0,28364091,721,2969313235,0,675,392,2,1,14,14,362,1,2971957786,2922580322,60668486,226570679,226570679,1,2,1,9968388980,73389,73389,14,14,14,226554295,7,3,534727,757624,1645388,22694,2971957786,740573,26719835,1723
867991.21,253952,62,173494,11430313534,0,0,0,0,49,49,5608,142,675,834717,61,44657,64,161,144004148,1352,1,0,63,63,28,14,375,675,0,0,0,32412452,781,3391869440,0,675,392,2,1,14,14,362,1,3393948624,3345090275,66632392,259429557,259429557,1,2,1,11414900508,73389,73389,14,14,14,259429557,7,3,536250,853928,1750002,25916,3393948624,834717,30663754,1723
869996.12,253952,62,194817,12835435770,0,0,0,0,49,49,5608,146,675,938363,61,50665,64,161,144535052,1352,1,0,63,63,28,14,375,675,0,0,0,36864624,909,3802037294,0,675,392,2,1,14,14,362,1,3804335056,3755827350,81321895,291364898,291364898,1,2,1,12820055512,73389,73389,14,14,14,291364898,7,3,552137,959992,1903347,29047,3804335056,938363,34962754,1723
