timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
899416.48,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
901420.57,253952,62,24816,1633798164,0,1548,0,1,29,29,11936,118,675,118117,13,2794,44,464,140034434,1352,1,0,43,43,1,14,590,675,0,0,0,2320218,53,529506616,0,675,352,2,1,14,14,299,1,532282160,481388347,2580335,36778972,36778972,1,2,1,1618274768,73389,73389,14,14,14,36778972,3,3,350122,120471,632409,4080,532282160,118117,1687910,1653
903424.17,253952,62,46316,3050773658,0,1548,0,1,29,29,11936,121,675,202846,13,8822,44,464,140565338,1352,1,0,43,43,1,14,590,675,0,0,0,6474489,153,943865265,0,675,352,2,1,14,14,299,1,946469680,895636924,9682809,68974298,68990682,1,2,1,3034869112,73389,73389,14,14,14,68974298,3,3,361239,207624,745312,7240,946469680,202846,5729452,1653
905427.87,253952,62,67327,4435448662,3,3002039,0,5,29,29,11936,125,675,292157,13,14771,44,464,141361694,1352,1,0,43,43,1,14,590,675,0,0,0,10836837,280,1348390072,0,675,352,2,1,14,14,299,1,1350826800,1300455031,28828780,100450887,100450887,1,2,1,4419118132,73389,73389,14,14,14,100434503,3,3,376939,299335,888571,10325,1350826800,292157,9948715,1653
907431.47,253952,62,88979,5861866790,4,4002175,0,5,29,29,11936,128,675,386690,13,20843,44,464,141627146,1352,1,0,43,43,1,14,590,675,0,0,0,15016735,301,1766025588,0,675,352,2,1,14,14,299,1,1767373616,1717365340,40894849,132863523,132879907,1,2,1,5845995012,73389,73389,14,14,14,132863523,3,3,380130,396309,1017320,13503,1767373616,386690,14000030,1653
909435.00,253952,62,110355,7270462434,4,4002175,0,5,29,29,11936,132,675,469430,13,26891,44,464,142423502,1352,1,0,43,43,1,14,590,675,0,0,0,19322291,435,2176579189,0,675,352,2,1,14,14,299,1,2179201840,2129228654,47862575,164880784,164880784,1,2,1,7254754496,73389,73389,14,14,14,164880784,3,3,386167,481339,1131704,16645,2179201840,469430,18191380,1653
911438.54,253952,62,132197,8709597854,4,4002175,0,7,29,29,11936,135,675,556806,13,33014,44,464,142688954,1352,1,0,43,43,1,14,590,675,0,0,0,23515688,486,2596704464,0,675,352,2,1,14,14,299,1,2599549744,2549872907,63873393,197577981,197594365,1,2,1,8693431164,73389,73389,14,14,14,197577981,3,3,387937,571152,1245470,19852,2599549744,556806,22271186,1653
913442.33,253952,62,154305,10165841478,7,7002501,0,8,29,29,11936,139,675,649196,13,39260,44,464,143473244,1352,1,0,43,43,1,14,590,675,0,0,0,27686571,545,3022967288,0,675,352,2,1,14,14,299,1,3024194512,2975535424,97048855,230690811,230690811,1,2,1,10150395684,73389,73389,14,14,14,230690811,3,3,395475,665727,1371418,23095,3024194512,649196,26316297,1653
915445.74,253952,62,176587,11634078190,7,7002501,0,8,29,29,11936,143,675,724036,13,45557,44,464,144004148,1352,1,0,43,43,1,14,590,675,0,0,0,31732254,597,3451220821,0,675,352,2,1,14,14,299,1,3453193168,3404677854,103048064,264049401,264065785,1,2,1,11618173644,73389,73389,14,14,14,264049401,3,3,398488,742685,1482274,26368,3453193168,724036,30251305,1653
917449.80,253952,62,198668,13089142166,7,7002501,0,10,29,29,11936,146,675,807193,13,51743,44,464,144535052,1352,1,0,43,43,1,14,590,675,0,0,0,35781453,698,3876591795,0,675,352,2,1,14,14,299,1,3878390736,3830010201,144704775,297113079,297129463,1,2,1,13072975476,73389,73389,14,14,14,297113079,3,3,401416,828172,1599060,29612,3878390736,807193,34183884,1653
919453.64,253952,62,220018,14496033874,9,9002671,0,10,29,29,11936,150,675,894806,13,57788,44,464,145331408,1352,1,0,43,43,1,14,590,675,0,0,0,40188725,782,4288852195,0,675,352,2,1,14,14,299,1,4289301456,4241252601,154340636,329097572,329113956,1,2,1,14480293168,73389,73389,14,14,14,329097572,3,3,403985,918108,1704197,32747,4289301456,894806,38486192,1653
921457.59,253952,62,241637,15920313446,9,9002671,0,11,29,29,11936,153,675,972953,13,63848,44,464,145596860,1352,1,0,43,43,1,14,590,675,0,0,0,44419800,848,4703342753,0,675,352,2,1,14,14,299,1,4705323984,4657613939,163217268,361461056,361477440,1,2,1,15904286464,73389,73389,14,14,14,361461056,3,3,407365,998403,1792270,35921,4705323984,972953,42629367,1653
923461.79,253952,62,263553,17364805302,11,11002856,0,12,29,29,11936,157,675,1052871,13,70046,44,464,146393216,1352,1,0,43,43,1,14,590,675,0,0,0,48568523,898,5127926429,0,675,352,2,1,14,14,299,1,5127506896,5079886194,213969437,394293199,394309583,1,2,1,17348900756,73389,73389,14,14,14,394293199,3,3,417558,1080490,1909739,39142,5127506896,1052871,46660792,1653
925466.38,253952,62,285356,18801119366,11,11002856,0,13,29,29,11936,160,675,1147850,13,76157,44,464,146658668,1352,1,0,43,43,1,14,590,675,0,0,0,52884282,992,5546741562,0,675,352,2,1,14,14,299,1,5546937296,5499714251,221612077,426951595,426951595,1,2,1,18785870180,73389,73389,14,14,14,426951595,3,3,421137,1177760,2040718,42342,5546937296,1147850,50845737,1653
927470.27,253952,62,306989,20226397230,13,13002982,0,15,29,29,11936,164,675,1237578,13,82277,44,464,147455024,1352,1,0,43,43,1,14,590,675,0,0,0,57117953,1085,5962677442,0,675,352,2,1,14,14,299,1,5962832715,5916370813,254106920,459343529,459343529,1,2,1,20210394380,73389,73389,14,14,14,459327145,3,3,424440,1269874,2142436,45519,5962832715,1237578,54977861,1653
929474.18,253952,62,328198,21623336224,14,14003043,0,15,29,29,11936,169,675,1338993,13,88337,44,464,148251380,1352,1,0,43,43,1,14,590,675,0,0,0,61388643,1251,6371432596,0,675,352,2,1,14,14,299,1,6370628969,6324639672,315245967,491084421,491100805,1,2,1,21607714524,73389,73389,14,14,14,491084421,3,3,435121,1373480,2273574,48637,6370628969,1338993,59117586,1653
931478.80,253952,62,349372,23018267612,14,14003043,0,15,29,29,11936,173,675,1441325,13,94372,44,464,148782284,1352,1,0,43,43,1,14,590,675,0,0,0,65659152,1376,6777602502,0,675,352,2,1,14,14,299,1,6777548810,6732342742,321987196,522806770,522806770,1,2,1,23002776984,73389,73389,14,14,14,522790386,3,3,440251,1478032,2397002,51748,6777548810,1441325,63264830,1653
933482.93,253952,62,370825,24431748996,14,14003043,0,15,29,29,11936,177,675,1547189,13,100444,44,464,149844092,1352,1,0,43,43,1,14,590,675,0,0,0,69984731,1506,7191037265,0,675,352,2,1,14,14,299,1,7190027075,7145487752,330018810,554928368,554944752,1,2,1,24416848192,73389,73389,14,14,14,554928368,3,3,444881,1586286,2523010,54901,7190027075,1547189,67464583,1653
935487.14,253952,62,391494,25792336212,16,16003298,0,17,29,29,11936,184,675,1639823,13,106456,44,464,150640448,1352,1,0,43,43,1,14,590,675,0,0,0,74247461,1594,7586913057,0,675,352,2,1,14,14,299,1,7585216239,7543139678,407093300,585858252,585858252,1,2,1,25777042192,73389,73389,14,14,14,585841868,3,3,453448,1681121,2639945,57934,7585216239,1639823,71610547,1653
936506.17,253952,62,400982,26415782060,25,16026189,9,26,29,29,11936,191,675,1683692,13,109422,51,464,158511825,1359,1,1035,50,50,1,43,605,675,360,1035,74,76354116,1725,7766973860,8,675,352,2,1,14,14,299,1,7763869224,7725268584,766450149,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,3,3,458411,1725984,2694931,59330,7763869224,1683692,73662306,1653
