timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
9026.20,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
11029.24,253952,62,24848,1636148702,0,0,0,0,26,26,5305,118,675,115932,16,2802,41,33,140034434,1352,1,0,40,40,20,14,123,675,0,0,0,2173371,50,527046959,0,675,264,2,1,14,14,287,1,533068592,482076968,2321433,36834157,36834157,1,2,1,1620702908,73389,73389,14,14,14,36834157,4,3,460015,117970,725786,4086,533068592,115932,1447685,1430
13032.27,253952,62,47803,3148756594,0,0,0,0,26,26,5305,122,675,188169,16,9279,41,33,140565338,1352,1,0,40,40,20,14,123,675,0,0,0,6136319,95,970476551,0,675,264,2,1,14,14,287,1,975174448,924290660,8312571,71206396,71206396,1,2,1,3133081424,73389,73389,14,14,14,71206396,4,3,465183,192128,807020,7459,975174448,188169,5329574,1430
15035.79,253952,62,70128,4619811354,3,3000355,0,3,26,26,5305,125,675,268433,16,15536,41,33,141361694,1352,1,0,40,40,20,14,123,675,0,0,0,10254447,173,1403452502,0,675,264,2,1,14,14,287,1,1404697392,1354332174,24308581,104630522,104646906,1,2,1,4603742968,73389,73389,14,14,14,104630522,4,3,475713,274660,920871,10736,1404697392,268433,9334030,1430
17039.60,253952,62,92126,6069435842,3,3000355,0,4,26,26,5305,129,675,349996,16,21755,41,33,141892598,1352,1,0,40,40,20,14,123,675,0,0,0,14463687,241,1827641513,0,675,264,2,1,14,14,287,1,1828191024,1778101065,30542614,137587704,137587704,1,2,1,6053858976,73389,73389,14,14,14,137587704,4,3,476886,358472,1028140,13967,1828191024,349996,13436172,1430
19043.53,253952,62,114369,7535116650,4,4000523,0,7,26,26,5305,132,675,434091,16,27986,41,33,142423502,1352,1,0,40,40,20,14,123,675,0,0,0,18594892,297,2254190896,0,675,264,2,1,14,14,287,1,2256665392,2206560367,59364848,170880758,170897142,1,2,1,7518753352,73389,73389,14,14,14,170880758,4,3,487630,444842,1161945,17236,2256665392,434091,17433746,1430
21047.01,253952,62,136156,8970647590,7,7001043,0,7,26,26,5305,136,675,523566,16,34148,41,33,142942340,1352,1,0,40,40,20,14,123,675,0,0,0,22748846,365,2674448978,0,675,264,2,1,14,14,287,1,2675702576,2626223873,93471723,203520611,203520611,1,2,1,8954906884,73389,73389,14,14,14,203520611,4,3,489801,536535,1275135,20433,2675702576,523566,21474687,1430
23050.57,253952,62,157814,10397134562,7,7001043,0,7,26,26,5305,140,675,610574,16,40223,41,33,143473244,1352,1,0,40,40,20,14,123,675,0,0,0,26892016,467,3091003482,0,675,264,2,1,14,14,287,1,3091958736,3043119194,99446236,235947472,235947472,1,2,1,10381688768,73389,73389,14,14,14,235947472,4,3,492646,625911,1390968,23612,3091958736,610574,25502194,1430
25054.22,253952,62,179252,11809527986,7,7001043,0,7,26,26,5305,143,675,691794,16,46283,41,33,144004148,1352,1,0,40,40,20,14,123,675,0,0,0,31042477,511,3503653842,0,675,264,2,1,14,14,287,1,3504573392,3455956501,105528704,268048812,268048812,1,2,1,11794147728,73389,73389,14,14,14,268048812,4,3,495304,709508,1490790,26760,3504573392,691794,29553000,1430
27058.08,253952,62,200823,13231168602,7,7001043,0,7,26,26,5305,146,675,775826,16,52331,41,33,144535052,1352,1,0,40,40,20,14,123,675,0,0,0,35238218,603,3919190427,0,675,264,2,1,14,14,287,1,3919809488,3871521652,123718341,300342442,300358826,1,2,1,13215067448,73389,73389,14,14,14,300342442,4,3,505281,795940,1624719,29928,3919809488,775826,33614985,1430
