timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
909417.11,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
911420.97,253952,62,23745,1563331590,0,0,0,0,26,26,7087,118,675,122386,21,2501,41,69,140034434,1352,1,0,40,40,10,14,174,675,0,0,0,2194386,80,509708144,0,675,330,2,1,14,14,341,1,511966000,460755368,2394552,35167307,35183691,1,2,1,1547361508,73389,73389,14,14,14,35167307,5,3,465574,124489,807217,3925,511966000,122386,1387268,1529
913424.90,253952,62,48067,3166058098,0,0,0,1,26,26,7087,122,675,221125,21,9353,41,69,140565338,1352,1,0,40,40,10,14,174,675,0,0,0,6407664,196,977543054,0,675,330,2,1,14,14,341,1,980155184,929352839,9611114,71599612,71599612,1,2,1,3150382928,73389,73389,14,14,14,71599612,5,3,472222,225491,947407,7497,980155184,221125,5460536,1529
915428.80,253952,62,72475,4774420702,1,1000231,0,1,26,26,7087,126,675,318157,21,16217,41,69,141361694,1352,1,0,40,40,10,14,174,675,0,0,0,10600467,275,1447865786,0,675,330,2,1,14,14,341,1,1450048304,1399548164,16588319,108154797,108154797,1,2,1,4758811068,73389,73389,14,14,14,108154797,5,3,475074,324827,1068960,11082,1450048304,318157,9531947,1529
917432.53,253952,62,96909,6384487242,1,1000231,0,1,26,26,7087,129,675,418293,21,23060,41,69,141892598,1352,1,0,40,40,10,14,174,675,0,0,0,14875045,328,1919244132,0,675,330,2,1,14,14,341,1,1920465712,1870154739,28374333,144750942,144750942,1,2,1,6369041448,73389,73389,14,14,14,144750942,5,3,484721,427328,1225623,14671,1920465712,418293,13650041,1529
919436.53,253952,62,121043,7974627530,1,1000231,0,3,26,26,7087,133,675,522655,21,29861,41,69,142423502,1352,1,0,40,40,10,14,174,675,0,0,0,19129242,350,2382229044,0,675,330,2,1,14,14,341,1,2385115952,2335034926,34364682,180874110,180890494,1,2,1,7958460840,73389,73389,14,14,14,180874110,5,3,488061,534012,1343138,18216,2385115952,522655,17786896,1529
921441.78,253952,62,145130,9561687626,3,3000572,0,3,26,26,7087,137,675,626344,21,36651,41,69,142942340,1352,1,0,40,40,10,14,174,675,0,0,0,23455543,454,2847839827,0,675,330,2,1,14,14,341,1,2848586544,2798993149,52425030,216956318,216956318,1,2,1,9546077992,73389,73389,14,14,14,216956318,5,3,488241,640036,1475934,21752,2848586544,626344,21980570,1529
923446.75,253952,62,169148,11144166818,3,3000572,0,6,26,26,7087,141,675,715642,21,43418,41,69,144004148,1352,1,0,40,40,10,14,174,675,0,0,0,27687457,541,3308178051,0,675,330,2,1,14,14,341,1,3310324688,3261448798,82270550,252911328,252927712,1,2,1,11128098432,73389,73389,14,14,14,252911328,5,3,502097,731755,1596134,25278,3310324688,715642,26092461,1529
925451.46,253952,62,192783,12701363322,6,6000765,0,9,26,26,7087,145,675,808368,21,50084,41,69,144535052,1352,1,0,40,40,10,14,174,675,0,0,0,32061851,591,3763965033,0,675,330,2,1,14,14,341,1,3765013456,3716665132,116272342,288315759,288315759,1,2,1,12685172500,73389,73389,14,14,14,288299375,5,3,507994,826901,1703576,28747,3765013456,808368,30359585,1529
927456.13,253952,62,216551,14267493302,11,11001149,0,11,26,26,7087,149,675,900229,21,56786,41,69,145065956,1352,1,0,40,40,10,14,174,675,0,0,0,36407860,631,4222500106,0,675,330,2,1,14,14,341,1,4222323664,4174438654,199977911,323914639,323914639,1,2,1,14251523220,73389,73389,14,14,14,323898255,5,3,526515,921191,1852727,32236,4222323664,900229,34556622,1529
