timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
914397.04,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
916400.64,253952,62,23838,1569426438,0,0,0,0,31,31,5574,118,675,121006,14,2528,46,55,140034434,1352,1,0,45,45,9,14,166,675,0,0,0,2191253,72,510627894,0,675,333,2,1,14,14,322,1,513538864,462543555,2348008,35314763,35331147,1,2,1,1553849572,73389,73389,14,14,14,35314763,4,3,466000,123213,760247,3937,513538864,121006,1431097,1565
918404.87,253952,62,46456,3059948698,0,0,0,0,31,31,5574,121,675,218468,14,8858,46,55,140565338,1352,1,0,45,45,9,14,166,675,0,0,0,6312906,149,946750687,0,675,333,2,1,14,14,322,1,949222192,898355997,8362081,69187290,69187290,1,2,1,3044240760,73389,73389,14,14,14,69187290,4,3,471553,222864,868669,7261,949222192,218468,5444501,1565
920408.92,253952,62,68745,4528644162,0,0,0,0,31,31,5574,125,675,315212,14,15158,46,55,141361694,1352,1,0,45,45,9,14,166,675,0,0,0,10358285,234,1376053647,0,675,333,2,1,14,14,322,1,1378220848,1327675943,17570139,102570456,102570456,1,2,1,4512379168,73389,73389,14,14,14,102554072,4,3,478740,321754,998183,10534,1378220848,315212,9360537,1565
922413.52,253952,62,90896,5988054338,2,2000298,0,2,31,31,5574,128,675,408247,14,21365,46,55,141627146,1352,1,0,45,45,9,14,166,675,0,0,0,14590509,282,1803391194,0,675,333,2,1,14,14,322,1,1804598064,1754293559,32265004,135726405,135742789,1,2,1,5971961820,73389,73389,14,14,14,135726405,4,3,491330,417046,1146288,13787,1804598064,408247,13443827,1565
924418.36,253952,62,112358,7402527398,2,2000298,0,5,31,31,5574,132,675,503739,14,27437,46,55,142423502,1352,1,0,45,45,9,14,166,675,0,0,0,18794217,361,2216438444,0,675,333,2,1,14,14,322,1,2217868080,2167845408,38271663,167880771,167880771,1,2,1,7386033028,73389,73389,14,14,14,167864387,4,3,497060,514879,1284591,16940,2217868080,503739,17510402,1565
926423.65,253952,62,134091,8834253942,10,10001071,0,10,31,31,5574,135,675,607256,14,33530,46,55,142688954,1352,1,0,45,45,9,14,166,675,0,0,0,23068132,547,2635915269,0,675,333,2,1,14,14,322,1,2635987760,2586315363,126719199,200424479,200424479,1,2,1,8818677076,73389,73389,14,14,14,200424479,4,3,513094,620868,1424190,20130,2635987760,607256,21645061,1565
928428.45,253952,62,155866,10268674078,10,10001071,0,10,31,31,5574,139,675,703395,14,39686,46,55,143473244,1352,1,0,45,45,9,14,166,675,0,0,0,27310350,681,3052606138,0,675,333,2,1,14,14,322,1,3054341072,3005612047,135186770,233013021,233029405,1,2,1,10252572924,73389,73389,14,14,14,233013021,4,3,518178,719353,1557187,23325,3054341072,703395,25754449,1565
930432.92,253952,62,177800,11714104262,13,13001265,0,13,31,31,5574,143,675,781697,14,45887,46,55,144004148,1352,1,0,45,45,9,14,166,675,0,0,0,31439883,808,3474831127,0,675,333,2,1,14,14,322,1,3476523984,3428056155,184054876,265880091,265880091,1,2,1,11698724004,73389,73389,14,14,14,265880091,4,3,529356,799958,1705435,26546,3476523984,781697,29735910,1565
932438.09,253952,62,199569,13148455554,14,14001326,0,19,31,31,5574,146,675,871885,14,51989,46,55,144535052,1352,1,0,45,45,9,14,166,675,0,0,0,35773692,900,3894564567,0,675,333,2,1,14,14,322,1,3895954384,3847335568,224508959,298462600,298478984,1,2,1,13132354400,73389,73389,14,14,14,298462600,4,3,540869,892669,1840597,29746,3895954384,871885,33934727,1565
