timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
169985.00,2,253952,62,9614,632331512,1,2230037,83,4,4,4119,116,0,558,75127,0,6,3747,15,85,95795055,1118,1,1081,0,4,473,11776697,6,47106788,14,18,10,159,558,1081,4,0,0,4607060,116880,226685135,0,558,606,0,3,1,14,14,1022,0,3,227403010,201927838,6914730,11977975,11977975,1,3,1,0,621150796,73389,73389,14,14,14,11945211,9,3,80544,76910,228828,1939,227403010,75127,4378420,1822
171989.80,2,253952,62,18350,1207954970,1,3428017,146,4,4,4119,149,0,558,133458,0,6,7170,15,85,97641153,1118,1,1081,0,4,473,22707734,6,90830936,14,18,10,159,558,1081,4,0,0,8671250,173922,410350049,0,558,606,0,3,1,14,14,1022,0,3,410369310,383038345,12248584,23048353,23064737,1,3,1,0,1198514388,73389,73389,14,14,14,23048357,9,3,83744,136795,311642,3404,410369310,133458,8359979,1822
173996.52,2,253952,62,24853,1635716224,2,5924118,158,5,5,4119,213,0,558,168543,0,6,9744,15,85,98908083,1118,1,1081,0,4,473,30837826,6,123286588,14,19,10,159,558,1081,4,0,0,11365228,187767,547629604,0,558,606,0,3,1,14,14,1022,0,3,547149879,517754966,17451921,31278710,31278710,1,3,1,0,1626492952,73389,73389,14,14,14,31278714,9,3,89185,172906,360589,4589,547149879,168543,11005112,1822
176001.49,2,253952,62,32533,2142761098,3,8264088,208,5,5,4119,240,0,567,216119,0,6,12752,15,85,103194625,1136,1,1081,0,4,473,40414462,6,161657848,14,19,10,159,567,1081,4,0,0,14866498,239418,705504710,0,567,611,0,3,1,14,14,1022,0,3,704879413,677507073,23342635,41025858,41025858,1,3,1,0,2133344648,73389,73389,14,14,14,41025862,9,3,93698,221760,426333,5851,704879413,216119,14440786,1846
178009.82,2,253952,62,39284,2586449498,3,9694686,229,6,6,4119,306,0,567,258878,0,6,15426,15,85,103822057,1136,1,1081,0,4,473,48822203,6,195288812,14,20,10,159,567,1081,4,0,0,17966896,280159,848879072,0,567,611,0,3,1,14,14,1022,0,3,848134639,817236564,27913333,49553286,49553286,1,3,1,0,2576770904,73389,73389,14,14,14,49553290,9,3,100783,265665,491263,7083,848134639,258878,17476374,1846
180018.82,3,253952,62,47889,3154199634,3,11189232,287,6,6,4119,344,0,567,318669,0,6,18804,15,85,106066333,1136,1,1081,0,4,473,59586039,6,238344156,14,20,10,159,567,1081,4,0,0,22326796,440223,1027426813,0,567,611,0,3,1,14,14,1022,0,3,1026651318,996297371,33910181,60455506,60455506,1,3,1,0,3143686344,73389,73389,14,14,14,60455510,9,3,106417,326991,575978,8527,1026651318,318669,21751288,1846
182029.43,3,253952,62,56438,3716928362,3,12665864,353,6,6,4119,424,1,567,384237,0,6,22191,15,85,107272933,1136,1,1081,0,4,473,70246766,6,280987064,14,20,10,159,567,1081,4,0,0,26729295,606013,1208527487,0,567,611,0,3,1,14,14,1022,0,3,1207954173,1173062910,39940610,71284442,71300826,1,3,1,0,3706791016,73389,73389,14,14,14,71284446,9,3,112384,394148,663465,10075,1207954173,384237,26066915,1846
184034.99,3,253952,62,63517,4182462484,4,15080802,395,6,6,4119,448,2,567,429699,0,6,24949,15,85,107936563,1136,1,1081,0,4,473,79087997,6,316351988,14,20,10,159,567,1081,4,0,0,30033426,678501,1357271031,0,567,611,0,3,1,14,14,1022,0,3,1356301967,1319881882,45726365,80235695,80235695,1,3,1,0,4172256172,73389,73389,14,14,14,80235699,9,3,115306,440785,730580,11263,1356301967,429699,29304069,1846
186040.34,3,253952,62,69130,4552813714,4,16696181,426,6,6,4119,508,2,567,460787,0,6,27193,15,85,109782661,1136,1,1081,0,4,473,86113546,6,344454184,14,20,10,159,567,1081,4,0,0,32444653,678625,1471852291,0,567,611,0,3,1,14,14,1022,0,3,1470525769,1436408398,49752344,87361847,87361847,1,3,1,0,4542816076,73389,73389,14,14,14,87361851,9,3,116674,472748,771403,12259,1470525769,460787,31674569,1846
188054.71,3,253952,62,76198,5018218174,4,18232242,441,7,7,4119,529,2,567,506503,0,6,29940,15,85,110747941,1136,1,1081,0,4,473,94919569,6,379678276,14,21,10,159,567,1081,4,0,0,35780805,713863,1614173794,0,567,611,0,3,1,14,14,1022,0,3,1612849667,1583254641,54658922,96292398,96292398,1,3,1,0,5007204728,73389,73389,14,14,14,96292402,9,3,120086,519592,828153,13393,1612849667,506503,34954109,1846
190060.09,4,253952,62,83730,5514139932,4,19858655,479,7,7,4119,604,3,567,562292,0,6,32922,15,85,111737353,1136,1,1081,0,4,473,104321267,6,417285068,14,21,10,159,567,1081,4,0,0,39451890,826026,1773828141,0,567,611,0,3,1,14,14,1022,0,3,1773011290,1739407459,60075287,105829157,105829157,1,3,1,0,5503116196,73389,73389,14,14,14,105829161,9,3,121956,576792,893038,14772,1773011290,562292,38560462,1846
192070.46,5,253952,62,89512,5897654164,5,22474039,489,7,7,4119,618,3,567,596031,0,6,35199,15,85,115103767,1136,1,1081,0,4,473,111574754,6,446299016,14,21,10,159,567,1081,4,0,0,41885154,826778,1898527228,0,567,611,0,3,1,14,14,1022,0,3,1896832105,1860310926,65130019,113185956,113185956,1,3,1,0,5885669744,73389,73389,14,14,14,113185960,9,3,125798,611418,938002,15751,1896832105,596031,40948859,1846
