timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
296046.92,0,253952,62,6603,434954352,0,2930933,66,4,4,5127,104,0,558,78462,0,8,2585,12,96060507,1118,1,4,1722,8077614,9,32245968,11,18,7,2644,558,4222768,252236,171924159,558,688,0,3,1,14,14,2354,3,172574777,139501876,7347042,8193271,8209655,1,3,1,426050124,73389,73389,14,14,14,8193275,9,3,69599,80122,253309,1496,172574777,78462,3969602,1973
298060.73,1,253952,62,14141,931148666,1,5407549,129,4,4,5127,130,0,558,141047,0,8,5519,12,97303305,1118,1,4,1722,17464200,9,69792216,11,18,7,2644,558,8678311,412069,321988499,558,688,0,3,1,14,14,2354,3,321946143,295993184,14481224,17730030,17730030,1,3,1,921961592,73389,73389,14,14,14,17730034,9,3,78617,144362,347065,2693,321946143,141047,8331551,1973
300069.28,2,253952,62,21588,1421403336,1,7016960,181,4,4,5127,197,0,558,212039,0,8,8464,12,98256519,1118,1,4,1722,26737503,9,106885228,11,18,7,2644,558,12998572,513511,482109840,558,688,0,3,1,14,14,2354,3,481916477,450408965,20508320,27152101,27152101,1,3,1,1411909284,73389,73389,14,14,14,27152105,9,3,82912,217118,441073,4055,481916477,212039,12557957,1973
302074.45,3,253952,62,27007,1777797784,2,9649113,201,4,4,5127,220,0,558,242552,0,8,10590,12,99511383,1118,1,4,1722,33528853,9,134115412,11,18,7,2644,558,15363634,513719,593733308,558,688,0,3,1,14,14,2354,3,593313832,562623871,25504838,34008361,34008361,1,3,1,1768434804,73389,73389,14,14,14,34008365,9,3,91967,248487,476120,4958,593313832,242552,14888074,1973
304087.64,5,253952,62,34858,2295458080,2,10777800,259,5,5,5127,256,1,567,312898,0,8,13670,12,102892975,1136,1,4,1722,43320612,9,173282448,11,19,7,2644,567,19652057,646316,757334533,567,706,0,3,1,14,14,2354,3,756884223,725385751,31040974,43972819,43972819,1,3,1,2286586620,73389,73389,14,14,14,43972823,9,3,103977,320496,582893,6292,756884223,312898,19069892,2007
306101.88,6,253952,62,43048,2834695582,2,12070822,342,5,5,5127,334,1,567,390371,0,8,16907,12,103822057,1136,1,4,1722,53529253,9,214060896,11,19,7,2644,567,24240615,814734,926221133,567,706,0,3,1,14,14,2354,3,925603941,895408255,37069773,54326619,54326619,1,3,1,2824984220,73389,73389,14,14,14,54326623,9,3,116577,399711,709919,7738,925603941,390371,23531589,2007
308106.95,6,253952,62,49582,3265731250,3,14237434,377,5,5,5127,354,1,567,433124,0,8,19462,12,106331785,1136,1,4,1722,61667742,9,246670968,11,19,7,2644,567,27279714,849152,1054659213,567,706,0,3,1,14,14,2354,3,1053663641,1031209716,42305460,62613876,62613876,1,3,1,3255921584,73389,73389,14,14,14,62613880,9,3,120585,443551,767846,8757,1053663641,433124,26512880,2007
310113.90,7,253952,62,56864,3745184546,3,15758030,414,6,6,5127,423,1,567,490177,0,8,22355,12,107297065,1136,1,4,1722,70779618,9,283118472,11,20,7,2644,567,30916808,919445,1209339805,567,706,0,3,1,14,14,2354,3,1208599900,1182028736,47498120,71839339,71839339,1,3,1,3735645660,73389,73389,14,14,14,71839343,9,3,129824,502033,855922,10082,1208599900,490177,30062038,2007
312119.23,7,253952,62,62262,4100528520,4,18422507,431,6,6,5127,436,1,567,520216,0,8,24458,12,108563995,1136,1,4,1722,77537021,9,310148084,11,20,7,2644,567,33134678,921684,1329454226,567,706,0,3,1,14,14,2354,3,1328236954,1293827412,52417273,78677056,78677056,1,3,1,4091206944,73389,73389,14,14,14,78677060,9,3,132702,532858,894880,11035,1328236954,520216,32241035,2007
314126.24,10,253952,62,70755,4659937146,4,19595739,495,7,7,5127,514,1,567,593377,0,8,27822,12,109806793,1136,1,4,1722,88131376,9,352460952,11,21,7,2644,567,37566490,1046177,1500786685,567,706,0,3,1,14,14,2354,3,1500061595,1469866123,58136151,89421913,89438297,1,3,1,4649939508,73389,73389,14,14,14,89421917,9,3,140738,607731,999812,12504,1500061595,593377,36568102,2007
