timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
459953.11,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
461959.61,3,253952,62,6637,436265560,0,1298776,62,3,3,4643,102,0,558,79147,0,6,2587,10,95457207,1118,1,0,4,1118,8099751,7,32399004,9,17,6,882,558,0,0,4136461,258234,173421313,0,558,726,0,3,1,14,14,1731,3,173266855,140046098,5671030,8216132,8216132,1,3,1,427238896,73389,73389,14,14,14,8216136,10,3,80203,80696,269031,1501,173266855,79147,3867574,2011
463970.41,3,253952,62,11438,752194958,1,4119732,79,3,3,4643,107,0,558,106110,0,6,4448,10,96748269,1118,1,0,4,1118,14084151,7,56271992,9,17,6,882,558,0,0,6322979,262479,268723354,0,558,726,0,3,1,14,14,1731,3,269277049,239477691,10682877,14285960,14302344,1,3,1,742869952,73389,73389,14,14,14,14285964,10,3,82922,108422,304903,2244,269277049,106110,6018322,2011
465977.31,6,253952,62,17988,1183615572,1,5445605,134,4,4,4643,187,0,558,169669,0,6,7063,11,97653219,1118,1,0,4,1118,22243014,7,88972056,10,18,6,891,558,0,0,10492103,539316,405029167,0,558,726,0,3,1,14,14,1731,3,405274141,375318755,16357177,22593919,22593919,1,3,1,1174883820,73389,73389,14,14,14,22593923,10,3,94712,173519,405818,3451,405274141,169669,10086670,2011
467989.62,6,253952,62,24577,1617350770,1,7012096,181,4,4,4643,208,0,558,232593,0,6,9642,11,98630565,1118,1,0,4,1118,30500621,7,122002484,10,18,6,891,558,0,0,14665775,811864,544427044,0,558,726,0,3,1,14,14,1731,3,544441419,511843848,22464521,30936805,30936805,1,3,1,1608713892,73389,73389,14,14,14,30936809,10,3,100630,237928,499105,4567,544441419,232593,14167193,2011
469994.88,7,253952,62,30060,1979435706,1,8586067,220,4,4,4643,231,0,567,280572,0,6,11771,11,101939761,1136,1,0,4,1118,37273902,7,149095608,10,18,6,891,567,0,0,17936881,921553,655754978,0,567,732,0,3,1,14,14,1731,3,655511969,626175617,27314265,37872382,37888766,1,3,1,1969363896,73389,73389,14,14,14,37872386,10,3,106292,286992,552248,5465,655511969,280572,17385266,2036
472007.54,7,253952,62,35294,2323428476,3,10908508,229,5,5,4643,287,0,567,322560,0,6,13855,11,102892975,1136,1,0,4,1118,43842159,7,175303948,10,19,6,891,567,0,0,20675399,929498,767017428,0,567,732,0,3,1,14,14,1731,3,766908324,734292450,32469186,44501425,44501425,1,3,1,2314074132,73389,73389,14,14,14,44501429,10,3,110359,330012,614106,6433,766908324,322560,20062028,2036
474017.57,8,253952,62,42083,2771139626,3,12248158,250,6,6,4643,315,0,567,387948,0,6,16521,11,103809991,1136,1,0,4,1118,52335479,7,209277296,10,20,6,891,567,0,0,24640568,1126785,907091611,0,567,732,0,3,1,14,14,1731,3,906212968,875197826,37969406,53116362,53116362,1,3,1,2762050856,73389,73389,14,14,14,53116366,10,3,115590,396794,686718,7560,906212968,387948,23954723,2036
476023.13,8,253952,62,47514,3128055054,4,14551214,278,6,6,4643,373,0,567,423020,0,6,18666,11,104799403,1136,1,0,4,1118,59048829,7,236195316,10,20,6,891,567,0,0,27218700,1157590,1018736138,0,567,732,0,3,1,14,14,1731,3,1017879665,987969299,42879904,59958397,59958397,1,3,1,3117836676,73389,73389,14,14,14,59958401,10,3,119705,432780,749517,8530,1017879665,423020,26470163,2036
478028.65,9,253952,62,52614,3465413748,4,16323916,310,6,6,4643,385,0,567,452585,0,6,20668,11,107297065,1136,1,0,4,1118,65489271,7,261957084,10,20,6,891,567,0,0,29591492,1176908,1123067887,0,567,732,0,3,1,14,14,1731,3,1121976875,1093976894,47042027,66457639,66457639,1,3,1,3455797260,73389,73389,14,14,14,66457643,10,3,126350,463175,802377,9354,1121976875,452585,28790204,2036
