timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
565800.64,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
567811.47,4,253952,62,8947,588606934,0,1291659,63,3,3,4998,112,0,558,72152,0,13,3488,14,0,95782989,1118,1,0,4,1113,10968687,6,43810176,13,17,10,174,558,0,0,4400832,147062,213098056,0,558,492,0,3,1,14,14,1651,0,3,213567205,188194646,5815672,11126007,11142391,1,3,1,0,578552396,73389,73389,14,14,14,11126011,6,3,81315,73752,231097,1832,213567205,72152,4169918,1520
569816.51,4,253952,62,16205,1066439102,1,3340728,102,3,3,4998,134,0,558,117563,0,13,6320,14,0,97641153,1118,1,0,4,1113,20047897,6,80126904,13,17,10,174,558,0,0,7692475,206969,367454682,0,558,492,0,3,1,14,14,1651,0,3,368182654,338449919,11218200,20335086,20335086,1,3,1,0,1057424504,73389,73389,14,14,14,20335090,6,3,85643,120310,287073,3059,368182654,117563,7405725,1520
571826.33,4,253952,62,23081,1519296848,1,5040055,129,4,4,4998,200,0,558,161325,0,13,9051,15,0,99535515,1118,1,0,4,1113,28627248,6,114444312,14,18,10,184,558,0,0,10957206,255174,514069183,0,558,492,0,3,1,14,14,1651,0,3,513755201,480928199,16232998,29052645,29052645,1,3,1,0,1510737572,73389,73389,14,14,14,29052649,6,3,94248,165251,335299,4315,513755201,161325,10622346,1520
573837.22,4,253952,62,31388,2067408662,1,6690088,182,4,4,4998,236,0,567,219144,0,13,12308,15,0,102880909,1136,1,0,4,1113,38979591,6,155918364,14,18,10,184,567,0,0,15200366,400284,682016310,0,567,499,0,3,1,14,14,1651,0,3,681401901,653813628,22264176,39569841,39586225,1,3,1,0,2057631764,73389,73389,14,14,14,39569845,6,3,97185,224550,401976,5675,681401901,219144,14798993,1549
575850.28,7,253952,62,39972,2632165698,1,8243366,232,4,4,4998,312,0,567,282564,0,13,15699,15,0,103822057,1136,1,0,4,1113,49690453,6,198697372,14,18,10,184,567,0,0,19536880,559939,862911904,0,567,499,0,3,1,14,14,1651,0,3,862777014,831657032,28305285,50433704,50433704,1,3,1,0,2622552640,73389,73389,14,14,14,50433708,6,3,106353,289606,500202,7215,862777014,282564,19037453,1549
577859.73,8,253952,62,48517,3194692612,1,9801571,292,4,4,4998,350,0,567,343488,0,13,19047,15,0,105402703,1136,1,0,4,1113,60382275,6,241399816,14,18,10,184,567,0,0,23906011,680435,1040526904,0,567,499,0,3,1,14,14,1651,0,3,1039955527,1008537025,34311624,61262640,61262640,1,3,1,0,3185657312,73389,73389,14,14,14,61262644,6,3,111523,352044,591070,8659,1039955527,343488,23315894,1549
579865.07,9,253952,62,54660,3599560734,2,12465108,318,4,4,4998,406,0,567,376798,0,13,21458,15,0,107043679,1136,1,0,4,1113,67975483,6,271837352,14,18,10,184,567,0,0,26528061,687658,1164322589,0,567,499,0,3,1,14,14,1651,0,3,1163257987,1136308816,39626605,69029927,69029927,1,3,1,0,3589556236,73389,73389,14,14,14,69029931,6,3,117569,386245,635891,9710,1163257987,376798,25893220,1549
581873.61,10,253952,62,62242,4099893496,2,13757043,362,5,5,4998,439,0,576,429809,0,13,24452,15,0,110714584,1154,1,0,4,1113,77507779,6,309966672,14,19,10,184,576,0,0,30296257,815632,1325834316,0,576,505,0,3,1,14,14,1651,0,3,1325015560,1293841803,44819323,78648162,78648162,1,3,1,0,4089704456,73389,73389,14,14,14,78648166,6,3,128849,440570,711838,11022,1325015560,429809,29585610,1581
583886.47,12,253952,62,70326,4633704498,2,15309772,423,5,5,4998,507,0,576,490616,0,13,27661,15,0,113176048,1154,1,0,4,1113,87640123,6,350495860,14,19,10,184,576,0,0,34634206,979476,1493743758,0,576,505,0,3,1,14,14,1651,0,3,1492364475,1461685132,50853775,88925631,88925631,1,3,1,0,4624132844,73389,73389,14,14,14,88925635,6,3,133855,502962,798469,12441,1492364475,490616,33837096,1581
585902.91,13,253952,62,78674,5182391738,2,16752589,486,5,5,4998,547,0,576,550142,0,13,30922,15,0,113489764,1154,1,0,4,1113,97984426,6,391937704,14,19,10,184,576,0,0,39035267,1173141,1662909118,0,576,505,0,3,1,14,14,1651,0,3,1662199005,1634463453,56868943,99466132,99482516,1,3,1,0,5172238896,73389,73389,14,14,14,99466136,6,3,138186,564021,869204,13821,1662199005,550142,38167598,1581
587909.32,13,253952,62,87067,5735560480,2,18140200,562,5,5,4998,614,0,585,614195,0,13,34240,15,0,116197847,1172,1,0,4,1113,108471933,6,433887732,14,19,10,184,585,0,0,43550369,1352037,1840494586,0,585,516,0,3,1,14,14,1651,0,3,1839292981,1808544236,62922854,110102334,110118718,1,3,1,0,5725321400,73389,73389,14,14,14,110102338,6,3,143123,629629,950894,15321,1839292981,614195,42601177,1609
589916.30,15,253952,62,95522,6292177088,2,19528800,637,5,5,4998,661,0,585,674741,0,13,37561,15,0,118043945,1172,1,0,4,1113,119067131,6,476139056,14,19,10,184,585,0,0,48047888,1502738,2013616869,0,585,516,0,3,1,14,14,1651,0,3,2011974336,1983903213,68947759,120816582,120816582,1,3,1,0,6282462296,73389,73389,14,14,14,120816586,6,3,151592,691707,1039609,16738,2011974336,674741,47010165,1609
591921.10,18,253952,62,102750,6768682674,3,21811562,685,5,5,4998,715,1,594,722508,0,13,40395,15,0,119567238,1190,1,0,4,1113,128021346,6,512085384,14,19,10,184,594,0,0,51480919,1563724,2167983513,0,594,532,0,3,1,14,14,1651,0,3,2166443789,2134136053,74715793,129963999,129963999,1,3,1,0,6758127980,73389,73389,14,14,14,129964003,6,3,158263,740668,1113569,18033,2166443789,722508,50369371,1642
593929.60,18,253952,62,109556,7217857850,3,23411523,709,6,6,4998,748,2,594,763353,0,13,43089,15,0,120170538,1190,1,0,4,1113,136563368,6,546188720,14,20,10,184,594,0,0,54621919,1605271,2305441973,0,594,532,0,3,1,14,14,1651,0,3,2304086335,2275518528,79494993,138593161,138609545,1,3,1,0,7206844404,73389,73389,14,14,14,138593165,6,3,167967,782565,1184477,19157,2304086335,763353,53439583,1642
